Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Please Enter The Discord Usernames Of All Your Team Members!
Spaceship Escape Room,https://revuc-x.devpost.com/submissions/210664-spaceship-escape-room,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:35:02,"Inspiration

One of my hobbies that I miss most during the pandemic is going to Escape Rooms with my friends! This project was inspired by those rooms, and the social problem-solving fun that comes along with them!

What it does

Gameplay

This project is an online multiplayer Unity3D game where players work together to stabilize their spaceship which has been damaged by asteroids. Users have a very limited amount of time to fix the ship before they run out of oxygen, and have to use problem-solving skills and teamwork to make sure they succeed!

Technology Stack

The code behind this project is supported heavily by the Mirror Networking library alongside the Chykary/FizzySteamworks git repo. These technologies allow players to connect to each others' easily & without port forwarding, with the only requirement being that they have an instance of Steam running on their machine!

Assets

Many art and sound assets were made for this project! While most of the in-game map is made using the Unity Probuilder library, nearly every not-floor-or-wall 3D asset was made by Jake using Blender! The music for the game was all made by Kevin within the duration of the hackathon, as well as many of the sound effects!

Challenges we ran into

I (Sam) am very new to realtime multiplayer networked game development - more than a month ago, I'd never heard of the Mirror networking library! Early on in the project, I spent something around 30 minutes debugging a connection issue, which turned out to be a typo we made during runtime when connecting to a session!

Another issue I ran into - at something like 4am, I had an issue where Unity said I was missing the Steamworks libraries. They were in my asset folder and everything, but I couldn't get rid of the compiler error! I spent over an hour debugging the issue before I tried re-cloning my project, which did the trick!

Accomplishments that we're proud of

We're all extremely happy about how the game feels to play! The ambience between the models and the SFX and the snappy gameplay makes for a very enjoyable time, which we're able to easily share with our friends thanks to the Steam Networking features we included!

What we learned

I (Sam) learned a ton about networked game devlopment! I'm currently taking a computer networking course, in which we've briefly discussed things like server commands and Rpc's, and this project has given me a much greater understanding of the strength of those tools.

What's next for Spaceship Escape Room

After a long night's sleep, and a bit of catching up with homework, I plan on sharing this game with my friends so I can see what they think!
",https://github.com/swiimii/space-escape-room/releases/tag/v0.1,https://youtu.be/aPVLR89Az4E,"Best Design Hack, Most Creative Hack","unity, blender, ableton, c#",,University of Cincinnati,2,"","""Sam 2#3895"", ""CoolUncle420#7978"", ""BrokenGlass (Jake)#2213"""
TrackOpp,https://revuc-x.devpost.com/submissions/210666-trackopp,Submitted (Hidden),Pending,Submit,02/21/2021 10:35:39,"Inspiration

I missed multiple hackathons and internship application period.

What it does

User can post about oppurtunities with reference links and rest of the peers can suggest improvement regarding it and mark it as spam as appropriate.

How I built it

Firstly I designed the system with all of the constraints and then frontend and then backend.

Challenges I ran into

Designing the MVP version was very hard as different oppurtunities have different information to show.

Accomplishments that I'm proud of

I was able to complete the MVP in reasonable amount of time.

What I learned

Planning and then executing saves a lot of time.

What's next for

I will complete then web and mobile version and then launch approach general audience to use it.
",https://github.com/RajGM/TrackOpp,https://www.youtube.com/unable-To-create-iT-just-Ashort-hack-to-submit,"Best Education Hack, Making the Customer's Life Easier (84.51)","html5, css3, javascript, node.js, mongodb",,University of London,0,"",RajGM#6163
Crowdsource3D,https://revuc-x.devpost.com/submissions/210689-crowdsource3d,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:54:28,"What it does

Crowdsource3D allows people without 3D printers to connect with those who have 3D printers. For those without 3D printers, this is very useful because they can get their parts printed without buying a 3D printer, and it will be cheaper than 3D printing services. For those with 3D printers, this is a great opportunity to earn money by selling 3D prints.

How I built it

For the backend, I used Deno, Typescript, and Postgres SQL. For the frontend, I used vanilla HTML and Javascript.

What's next for Crowdsource3D

In the future, I'd like to improve Crowdsource3D into a real web app. I'd like to improve the frontend to make it look presentable and I'd like to improve the backend to make it more secure. I would also like to make a more automated workflow for vendors, like having a desktop client that will automatically print requested parts.
","",https://www.youtube.com/watch?v=mzy9wO0huAg&feature=youtu.be&ab_channel=NikosPlugachev,"","typescript, deno, html5, javascript, postgresql",,"",0,"",Nikos Plugachev#2827
Vitreous,https://revuc-x.devpost.com/submissions/210690-vitreous,Submitted (Hidden),Pending,Submit,02/21/2021 10:55:38,"Inspiration

As current university students we understand the impact Covid has had on education and the way it has affected studentsâ€™ grades. With lectures now being primarily remote, focus and concentration during online lectures and presentation has gone down dramatically. Suffering from the same lack of motivation to be engaged in class, we aspired to create a solution to this problem and create a source of motivation through what is Vitreous.

What it does

Vitreous is a zoom-like platform that incorporates ocular tracking of its participants(students) and rewards engagement during online lectures. Aiming to encourage in-class engagement, Vitreous incentivizes focus and engagement during lectures by tracking students' line of sight. When a students sight Is aimed at an assigned pinpoint in the instructors presentation, the students participation is tracked, and points are added to their running participation grade for extra credit. Instructors also have the ability to add pinpoints to specific areas within their presentation. Rather than forcing students to use this feature, Vitreous allows students to toggle the focal feature on or off. By opting to have the feature on and focusing on the presentation, students are awarded extra credit on their participation grades.

How we built it

Using JavaScript, Node.js, & Express.Js, we built a zoom lookalike for web conferencing. Within this conferencing platform, we included the ocular tracking software which was incorporated using JavaScript, HTML, & CSS. The project's webpage was built using React, JavaScript, CSS, & HTML.

Challenges we ran into

Creating a zoom-like environment mostly using Node.Js was completely out of our comfort zone and level of knowledge/experience. Incorporating a software for focal tracking, which we also had no experience in was equally as difficult. Working tirelessly and collaborating to bring our idea to reality enhanced our communication skills and tested our ability to adapt and quickly learn new technologies.

Accomplishments that we're proud of

This project challenged us by testing our abilities and forcing us to step out of our comfort zone, but at the end, proved to be extremely rewarding. Throughout these\ 36 hours, we were able to learn new technologies and languages we werenâ€™t familiar with and build a full project from it. The way we approached the problem and executed the solution is an accomplishment this team is very proud of.

What we learned

Through Vitreous we learned the importance of communication and collaboration. By effectively communicating, we were able to divide the work in order to proficiently manage our time. By collaborating on GitHub, we were able to complete a functional application and effectively deliver our solution.

What's next for Vitreous

We plan to continue working on this solution and adding additional features for Vitreous to soon launch a production-ready application professors and students can download.
","https://github.com/FrankieJH/Vitreous?fbclid=IwAR1ItzO_b4lffAZ_kQhlve1QXN60hdUrylCZrgyGzalXcd-nPOKQgT-aqfY, https://github.com/hernandez11/Vitreous, https://vitreous-cc7ad.web.app",https://youtu.be/aWL0UYHpag4,"Best Education Hack, Most Creative Hack","css, ejs, express.js, git, github, html, javascript, nodemon, npm, peerjs, react.js, socket.io, uuid",,"",0,"",Frankie #1808 Angel Hernandez #5098
Automated Super Mario Odyssey,https://revuc-x.devpost.com/submissions/210694-automated-super-mario-odyssey,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 10:58:00,"Inspiration

Super Mario Odyssey is a game that we all know and love, and by drawing inspiration from the popular ""Twitch Plays"" series we got the idea to try something similar with SMO. Our original idea was to log the keys we press from the keyboard to complete an entire level then mirror the inputs to complete the level a second time autonomously, but we ran into hardware trouble where one of our Arduino boards was dead.

What it does

Our hack uses a custom parser to take an input string of 1s and 0s from an external source and map each bit of the string to a button press. The button press objects are then sent to the Switch from the Arduino board as hex values for the switch to process as button presses.

How we built it

We used an Arduino Mega 2560 with our own version of the firmware to interface with the Nintendo Switch through its USB C port.

Challenges we ran into

Because the Arduino isn't running the correct firmware, we had zero access to its serial debugging features. This made us have to really dive into the static code and find inconsistencies in our algorithms.

Accomplishments that we're proud of

Getting a simple ""A"" press from the Arduino to register on the switch was a huge stepping stone. This helped us realize that what we were doing was indeed possible, and it would be possible to simulate every button on the Switch.

What we learned

Working with this kind of low level C programming was uncharted territory for all of us, so there was a lot of research that we all had to do to figure it out.

What's next for Automated Super Mario Odyssey

Our hopes with this project is to use a second Arduino to remember enough moves from a computer to complete an entire level of Super Mario Odyssey without human interaction.
","",https://youtu.be/nvzeT9jFnWI,Best Hardware Hack Sponsored by Digi-Key (MLH),"arduino, c, nintendo",,Ohio University - Main Campus,3,"","Dj73960#3205, Daniel Abdelsamed#0384, kassadyjean#0738, bgolski#8261"
DATA TITAN,https://revuc-x.devpost.com/submissions/210696-data-titan,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:04:02,"Our inspiration for this project was the 5/3 proposal challenge, we were intrigued with the data set they provided and we're excited to brainstorm problems and then code solutions. Based on the data set we were given which was information on customer demographics and card transactions.

We developed a rough draft of a website/app that would be user friendly for both clients and business management. The client side was user friendly and would show the client their current transactions and spending habits, categorized in general topics within a pie chart so the client could easily see what they were spending most of their money on whether that be food or entertainment. The business user face combines  both the demographics data of the clients such as age, marital status, ect. and their spending habits to see comparatively where the demographics of clients affects their spending habits. This is shown via a stacked histograms.

The front end of the website we tried using figma to map out and would later program it into flask to operate. The backend was mostly composed using figma to consolidate all the data and take commands from the front end and deliver them to the user. We divided the work where one of us would work on the back end and one of us would work on the front end.

We hit a few bumps being what exactly we wanted to do for a solution to the problems and had many idea brainstorming sessions that eventually got us to our final solution.

We are proud of the work we created.

We learned a few new programming languages or improved upon skills that we already knew.

What's next for DATA TITAN
","https://github.com/lan-dry/datatitan/tree/master, https://www.figma.com/file/x4YZVqkmjxHdDvKciDtwgR/Untitled?node-id=1%3A102",https://www.youtube.com/watch?v=XvajF8qTz_U&t=1s,"Best Design Hack, Show Me the Money! (Fifth Third)","flask, figma, bokeh, easybase.io, html5, python",,Tekup University,1,"",Landry Fotso#6935 willow(she/her)#3880 tomandjerry69ing#5036
Plutonomics,https://revuc-x.devpost.com/submissions/210697-plutonomics,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:05:03,"Inspiration

Budgeting and financial management apps are a dime a dozen. How can banks assist consumers in improving their financial health?

What it does

Plutonomics is a wealth management platform that uses anonymous consumer data to help users save money through retroactive data visualizations and proactive spending control. See where you are spending money at brick and mortar shops and find other retail locations near by. Consult 5uz3 Orman to see if you are approved or denied and curb your online impulse purchases.

How we built it

This project was built in Adobe XD and converted to Flutter through a plugin, this allowed for rapid prototyping of static components while still allowing for dynamic integration of Google Maps. Flutter not only allowed for quick conversion from wireframe to high fidelity prototype, it also ensured the solution was cross-platform across web, Android, and iOS. Data was cleaned and formatted locally in Excel and hosted on Datastax Astra to allow for REST API calls.

Challenges we ran into

Converting from Adobe XD to Flutter was not always reliable and a lot of testing was needed to reestablish the design. Many plugins in Adobe XD are also locked behind a paywall and that restricted the types of graphs that could be effectively produced.

What we learned

As a native mobile and backend developer, this was my first foray into frontend design and data science. My goal was to learn to create an interactive prototype in Adobe XD and built the product with as little code as possible. I learned how to use the tools in Adobe XD to create the usable components that would effectively demo that data obtained. I also learned how to use the database tools to glean insights from various sources.

What's next for Plutonomics


Applying more accurate location tracking as Zip Code areas can be quick large.
Creating a spending habit algorithms to more accurately track the impact of purchases
Improving map visualization through layers

",https://github.com/xinyizou/plutonomics,https://youtu.be/VmDlWE-JQMI,"Best use of DataStax Astra (MLH), Show Me the Money! (Fifth Third)","flutter, adobe-xd, datastax-astra, google-maps",,"",0,"",annie.z#3235
Quizi,https://revuc-x.devpost.com/submissions/210699-quizi,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:08:05,"Inspiration

We wanted to build a website that could help students learn with more autonomy as students ourselves, which is why we created this site in order to practice a wide range of math skills.

What it does

The site operates like a targeted quiz, allowing the user to practice their skills on a diverse set of math problems.

How we built it

The site is built with ExpressJS and MongoDB, storing user info into the database and handling all quiz logic in ExpressJS. Additionally, we also employed a Python script to parse plaintext questions and convert them to LaTeX for better-looking questions.

Challenges we ran into

Time was a big limiter for us, as the original plan was to fine-tune the OpenAI GPT-2 model on the mathematics dataset published by Deepmind to allow GPT-2 to generate its own math problems. However, due to the nature of the 1.5B parameter model and the speed of Google Colaboratory, we were unable to train the model in time and had to resort to other tactics.

Accomplishments that we're proud of

Our site runs fairly well with a clean workflow, and still holds the opportunity to pass potential ML-based logic in at a later time. Additionally, the database holds particularly well considering as very few of us had worked with MongoDB in the past. Finally, the custom LaTeX parser holds very well, allowing us to cleanly display sophisticated mathematical expressions.

What we learned

We learned a great deal about parsing, MongoDB, and general web development.

What's next for Quizi

With more time, we could potentially deploy a GPT-2 based backend to generate questions, potentially allowing for an infinite set of questions for a student to practice while still holding to the target skills.
","https://github.com/john-whiting/Quizi, http://74.91.115.135:3000/",https://youtu.be/_d_u9Ghhsf4,"Best Education Hack, Best Design Hack, Most Creative Hack, Wolfram|One and Wolfram|Alpha Pro (Wolfram)","mongodb, express.js, node.js, ejs, python, javascript",,University of Cincinnati,2,"","TheCdoubleOL#0001, smithhs99#9772, whynot#9037"
Cellular Automata,https://revuc-x.devpost.com/submissions/210723-cellular-automata,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:32:48,"Inspiration

Primer youtube video that depicted a natural selection simulation. Link below:
https://www.youtube.com/watch?v=0ZGbIKd0XrM

What it does

Allows the user to simulate various cellular automata. Several pre-made entities are included that have several adjustable traits that will change their behavior. One of these is a Conway entity that can be used to simulate Game of Life. A more in depth description can be found in the GIthub repo ReadMe.

How we built it

We created the project in Python. We used the pygame module to display a 2-dimensional grid that depicts the environment and entities in the environment.

Challenges we ran into

Project size, over-engineering, library integration, library usage, and time constraints.

Accomplishments that we're proud of

We implemented Conway's Game of Life in our framework.

What we learned

UML, public programming projects, pygame, plotting, debugging, high-level data structures, and abstraction.

What's next for Cellular Automata

Adding new types of entities and simulating their behavior.
Add the ability for entities to change and evolve their traits.
",https://github.com/king2b3/rev-uc-cellular-automata,https://youtu.be/tsB7z9psXFc,"Best Design Hack, Most Creative Hack, Most Useless Hack, Most Innovative Grad Hack (EECS-GSA), Wolfram|One and Wolfram|Alpha Pro (Wolfram)","python, pygame",,University of Cincinnati,2,"","Truck#5154 , Booth #9643 , i-question-this #9198"
Online class website,https://revuc-x.devpost.com/submissions/210724-online-class-website,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:33:27,"Inspiration

We are tired of finding the online class links again and again, so we came up with this idea. 

What it does

This website helps us store all the online class links, view the class schedule, and edit the schedule for our convenience.

How we built it

We build it using HTML, CSS, JS

Challenges we ran into

We have some issues with the format of the website. 

Accomplishments that we're proud of

This is the first hackathon of one of us. Also, 

What we learned

We learned team programming, how to create the front-end part of the website.

What's next for the Online class website

We should add some backend features
",https://github.com/AlexPham19/RevUC-2,https://www.youtube.com/watch?v=e4uq2oyiQ1A,"","html, css, javascript, jquery",,University of Cincinnati,2,"","Alex Pham#5266, Crazymacaroni #8125, carpediem #2573"
"Clide, the art bot",https://revuc-x.devpost.com/submissions/210727-clide-the-art-bot,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:35:18,"Inspiration

I wanted to make a robot that can exceed my artistic abilities.

What it does

Clide carefully decides which stroke of the paint brush to make next using a complex decision-making algorithm. (random number generator)

How we built it

For this challenge, I took it upon myself to only use trash and existing junk electronic parts to make Clide.

Challenges we ran into

Clide's motors are just that. I don't own any servos, so it was difficult making precise movements. Further, the motors are cheap laptop cooling board fans, and therefore are hardly powerful enough to rotate Clide.

Accomplishments that we're proud of

Clide's beautiful art.

What we learned

Robots are the next big thing when it comes to the arts.

What's next for Clide, the art bot

Art and retirement. Clide has lived a long life of art in the past 24 hours. His motors are beginning to fail and Clide is thinking of settling down and putting his art life behind him.
","",https://www.youtube.com/watch?v=NmntoEmeQ4I&feature=youtu.be,"Most Creative Hack, Most Useless Hack","python, raspberry-pi, cardboard, blood, sweat, and]tears",,"",0,"",pixel#3275
Untitled,"",Draft,Pending,Manage team,02/21/2021 11:35:46,"","",,"","",,Lovely professional university,0,"",""
Social Stock,https://revuc-x.devpost.com/submissions/210731-social-stock,Submitted (Hidden),Pending,Submit,02/21/2021 11:38:57,"Inspiration

I was inspired by the GME boom. I wanted to create a program that could find the sentiment analysis of a certain stock so ""the average joe"" could know what people are hyping up now.

What it does

Social Stock uses the Twitter API and a sentiment analysis program that allows us to look at hundreds of tweets and find the sentiment of each tweet. From that, I was able to graph these points to show the users the overall analysis of the stock.

How we built it

Using Python and its abundance of packages. Also, I used the Twitter API and HTML to display the webpage. Finally, I used repl.it to display and run the python code in the browser.

Challenges we ran into

I ran into a big challenge finding a way to put the python code on a webpage. Since flask or Django was not working, I had to resort to using repl's embed code function.

Accomplishments that we're proud of

I'm proud to find a way to use Twitter's API and connect it to the sentiment analysis to hopefully show people the view on a certain stock

What we learned

I learned a lot about the Twitter API and python in general

What's next for Social Stock

Making the python work in the browser with repl.it and using other social medias.
",https://github.com/Haneesh25/Social-Stock,https://youtu.be/NasUBhzyUkw,"Best Education Hack, Best Design Hack, Most Creative Hack","python, html5, css3, javascript, repl, twitter",,"",0,"",Haneesh25
Plagiarism Detector,"",Draft,Pending,Project details,02/21/2021 11:40:46,"Inspiration

Plagiarism in free text has become a common occurrence due to the wide availability of voluminous information resources. Automatic plagiarism detection systems aim to identify plagiarized content present in large repositories. This task is rendered difficult by the use of sophisticated plagiarism techniques such as paraphrasing and summarization, which mask the occurrence of plagiarism. In this work, a monolingual plagiarism detection technique has been developed to tackle cases of paraphrased plagiarism. A support vector machine based paraphrase recognition system, which works by extracting lexical, syntactic, and semantic features from input text has been used. Both sentence-level and passage-level approaches have been investigated. The performance of the system has been evaluated on various corpora, and the passage level approach has registered promising results.

What it does

Plagiarism detectors usually characterize unstructured documents using various categories of textual features such as lexical, syntactic, and semantic. The most popular lexical features are character and word n-grams, while parts-of-speech (POS) information is used extensively to compute syntactic features. Semantic features depend on a thesaurus like WordNet to typify word relationships. 

How we built it

In this work, a machine learning-based paraphrase recognizer, which operates by extracting lexical, syntactic, and semantic features, has been used to detect plagiarism in text passages. The sentence-level paraphrase recognition system reported in  has been adapted for determining if two passages have been plagiarized. Two different approaches have been investigated: in the first, the input source and suspicious passages have been split into sentences, and the original sentential paraphrase recognition system has been applied. In the second approach, the input passages have been retained as it is, and various features extracted from the passages have been used to judge whether the suspicious passage is a plagiarized version of the source.

Challenges we ran into

Accomplishments that we're proud of

That we successfully made accurate plagirism detector in short period of time

What we learned

We learned about natural language processing

What's next for Plagiarism Detector

To include regional language and also programming languages
",https://drive.google.com/file/d/1rteN3fN2Ee5FGmFbkCM1qEkV_EtTHjD-/view?usp=sharing,https://www.youtube.com/watch?v=YpGrGlhW7lI&ab_channel=pritamkumarmehta,"","python, nltk, natural-language-processing",,mumbai university,2,"",""
Untitled,"",Draft,Pending,Manage team,02/21/2021 11:53:56,"","",,"","",,Jyothi engineering college,0,"",""
Habit Hammer,https://revuc-x.devpost.com/submissions/210743-habit-hammer,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:55:14,"Inspiration

Habit trackers are only good for one thing: tracking existing habits. Which is cool and all, but what if you want to start a new habit, or stop an old one? Trackers donâ€™t help with that. In fact, they can be downright discouraging.

Staring at a huge list of tasks leaves you feeling overwhelmed. When you inevitably miss a day, seeing that disappointing hole in your streak makes you want to just give up. To avoid those feelings of guilt and hopelessness, you can play it safe and only track established habits that you already do all the time, but what's the point of tracking those?

Habit Hammer teaches you to build and maintain a new habit, or break an old habit, instead of just tracking how many times you've done it.

What it does

You can sign up, log in, and log out using Firebase authentication, and see a list of sample habits.

How I built it

Habit Hammer runs on a Flask backend, and stores it's data on Firestore. The frontend is simple JavaScript/HTML/CSS.

What I learned

This was my first time 


making a website with more than two pages
making a project with a login
using cloud storage
needing to safely store a private key 


As someone who has never really done much backend, I also learned a lot about Flask. 

Code

See my code here!
","https://habithammer.glitch.me/, https://glitch.com/edit/#!/habithammer, https://github.com/elddc/HabitHammer",https://youtu.be/HAY1eKyihWU,"Best use of Google Cloud (MLH), Best Design Hack, Most Creative Hack, Most Useless Hack","javascript, python, flask, firebase",,"",0,"",eldcwhldc
Sleeper,https://revuc-x.devpost.com/submissions/210744-sleeper,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 11:55:32,"Inspiration

For this project we were inspired by social deduction games like Mafia, Avalon, or Secret Hitler that we play frequently. However, we wanted to create a version for 3+ people since it is really difficult to gather many people during COVID times.

What it does

A SMS based app that runs a social deduction game.

How we built it

We used python as the programming language, flask to create the website, and twilio to manage SMS messages.

Challenges we ran into

We struggled to find a database structure to store game info, but decided to use flask and twilio to solve this. It was also very difficult to figure out the design of the game rules as it involved a lot of trial and error.

Accomplishments that we're proud of

All of us learned a new language and programming package, in addition to half the team having their first hackathon experience. We also have created a new game that we will enjoy playing!

What we learned

We learned about project management, debugging, SMS using twilio, and improved our python fluency.

What's next for Sleeper

Expanding the game for more options, and improving the UI
","http://sleeperagent.online/flaskapp, https://github.com/Alex7Li/SleeperAgent",https://youtu.be/bsj2WIGZ1oU,"Best Domain Registered with Domain.com (MLH), Most Creative Hack","python, flask, twilio",,Ohio State University,3,https://sleeperagent.online/flaskapp,"JonNykiel, lavptl24, alexli, nick_clawson"
Poker Data Gathering Game,"",Draft,Pending,Project overview,02/21/2021 11:56:13,"","",,"","",,University of Cincinnati,2,"",""
Flappy bird clone,"",Draft,Pending,Additional info,02/21/2021 11:57:03,"Inspiration

Flappy bird

What it does

It plays the game flappy bird

How we built it

We built it using Pixi JS as the framework to create the game, the game is coded in Javascript

Accomplishments that we're proud of

The collision works, the bird flies as intended

What we learned

How to create a game using javascript

What's next for Flappy bird clone

Creating another game
","",https://www.youtube.com/watch?v=gaURyS2KBeI,"","javascript, pixi",,"",1,"",adam#9876 ahmeda25 #6443 JayTee #8315
FlappyUntitled,"",Draft,Pending,Manage team,02/21/2021 11:57:57,"Inspiration

Flappy

What it does

Flappy bird

How I built it

Java and html

Challenges I ran into

asd

Accomplishments that I'm proud of

asd

What I learned

asd

What's next for FlappyUntitled

sad
","",https://www.youtube.com/watch?v=gaURyS2KBeI,"","javascript, html",,University of Cincinnati,0,"",""
Untitled,"",Draft,Pending,Manage team,02/21/2021 12:03:07,"","",,"","",,University of Cincinnati,0,"",""
Flappy Bird Clone,https://revuc-x.devpost.com/submissions/210768-flappy-bird-clone,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 12:03:07,"Inspiration

Flappy bird

What it does

It plays the game flappy bird

How we built it

We built it using Pixi JS as the framework to create the game, the game is coded with Javascript.

Challenges we ran into

Accomplishments that we're proud of

The collision works, the bird flies as intended

What we learned

What's next for Flappy Bird Clone
","",https://www.youtube.com/watch?v=gaURyS2KBeI,"","javascript, pixi",,University of Cincinnati,2,"",JayTee#8315 Adam#9876 Ahmeda#6443 Elijh#2133
Fanua ,https://revuc-x.devpost.com/submissions/210788-fanua,Submitted (Gallery/Visible),Pending,Submit,02/21/2021 12:17:45,"Inspiration

Our city of Dublin, CA has a plethora of residential, vacant, and commercial land, and the economy of the city is dependent heavily on the real estate industry. With small businesses struggling during the pandemic, we realized that these sectors intersect significantly. Keeping this in mind, we decided to research this industry and attempted to facilitate its processes through an application that would streamline real estate networking and co-investing.

What it does

We built a mobile application that connects fellow investors who are interested in co-investing in properties. Through our messaging system and property search filters, users are able to locate and invest in properties with ease, as well as contact fellow investors on the application. Users can also use the data visualization to see trends in the housing market and property price predictions. Using these features, users can determine when the appropriate time to buy a property is in a certain region or county.

How we built it

The frontend was built in Dart using the Flutter software development kit. We created custom widgets and animations to use through the app so the user experience would be simple and elegant. The backend was built using a Python Web Server and Firebase. The Python Web Server was created using the Flask framework and retrieves real estate data from the Realtor API. We also use statistical analysis on the property data to find the average house price and a convolutional neural network to predict future property prices. The Firebase was used for encrypted messaging services and user authorization. It also stores user info and property data.

Challenges we ran into

We had a lot of trouble with the messaging system and updating the messages in real-time between users since we didnâ€™t want the users to refresh the page each time a new message was sent. We also had some problems with querying data from the API and updating the data on user requests such as filtering the properties.

Accomplishments that we're proud of

We are really proud of our real-time Firebase messaging system which we integrated into our Flutter application. We were also really happy with the data analysis we conducted on our properties and provided users with graphical data as well as property information based on the userâ€™s geolocation.

What we learned

Over the course of this hackathon, we learned how to use Python web servers efficiently to acquire data from the Realtor API and implement it in Fafoo Investments. We also learned how to integrate Firebase into our Flutter Application.

What's next for Fanua

We hope to further develop our real estate app so that it displays information about the nearby demographics, school ratings, and local properties purchased. Additionally, we plan on adding more investment properties to our application that are located outside of the United States. Through non-U.S. properties, international investors will be able to connect with each other and co-invest.
",https://github.com/Kaushik-Indukuri/fanua-backend,https://youtu.be/ElM_el44EzI,"Best Design Hack, Most Creative Hack","flutter, dart, python, firebase, flask, realtorapi",,"",4,"","Kaushik, Akhil, yuvi, derek"
