Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count
"Money Learn, Money Earn",https://revuc-xi.devpost.com/submissions/311231-money-learn-money-earn,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 04:35:19,"Inspiration

Money Learn, Money Earn is an interactive money app for kids! We've all been there when you make your first bank account and don't know how to spend your money wisely, but with Money Learn, Money Earn kids will learn good money spending habits to prepare themselves for the future! 

What it does

Our app's main purpose is to help teach children the basics of money management. A child is able to mark off chores that a parent sets and gain in-app money to then spend for rewards. Some reward might be 15 minutes of TV time or some dessert! They will also have a chance to put their money into a savings account that teaches them the importance of saving money. By getting a child used to this when their young, they will have less stress trying to navigate their money habits. 

How we built it

Starting with a basic educational mobile app idea, we used Flutter, Android Studio, and Firebase to create an interactive app that educates children on money habits.

Challenges we ran into

Some of the biggest challenges we ran into were finding an initial mobile app developing software and integrating user authentication into the app. Most of our team members were relatively new to hackathons and were unfamiliar with this software so there was a big learning curve we all had to face.  By using unfamiliar software, we were able to expand our knowledge and strengthen our problem-solving skills and we were able to make an app that we are proud of. 

Accomplishments that we're proud of

Some of the things we are most proud of with our project are being able to create a global variable to keep track of all the money earned, spent, and saved and creating an integrated user authentication.

What we learned

By working with software we were all unfamiliar with, we were able to expand our problem-solving skills while learning the basics of a new language at the same time. We worked together and powered through difficult problems and found solutions to the best of our ability. 

What's next for Money Learn, Money Earn

We plan on integrating more interactive activities for both the parent and child to teach more about good ways to spend more.
",https://github.com/mansourem/rev_uc_2022,https://youtu.be/aiMjqnGopTs,"Best Educational Hack, Fifth Third - deFINe: Development and Education for Financial Independence, Best Use of Google Cloud (MLH)","firebase, android-studio, flutter, dart, google-client-authentication",,University of Cincinnati,2
EasyRefer,https://revuc-xi.devpost.com/submissions/311318-easyrefer,Submitted (Hidden),Pending,Submit,02/27/2022 06:13:43,"Note: Due to the time constraint for the demo video, I have just briefly laid out the functionality of the project. There is a lot more than that. So, do go through the documentation to know the project's full functionalities.

Inspiration

Getting a proper health facility is a dream for all. Not all government/private hospitals have good facilities, equipment, or experienced staff to take care of the people of that city. The issue can be resolved if all the hospitals work collaboratively and ensure good facilities are provided to all. 

For eg: Consider in a small town, a government hospital does not have the equipment to treat the patient, so, the hospital referred that patient to a more equipped hospital near the city. Now the patient feels helpless to go to the referred hospital and explain his/her illness, as they know must follow the same procedures as followed before in the small-town hospital. Like going through the same test, same checkups, etc.

What it does

The project has the following features:


Patients' records are maintained on the platform, sharing while referring to other hospitals.
Referring patients to other hospitals will be seamless.
The hospitals have a way to connect.
The patient will be intimated on two occasions (through Twilio API). One, when the patient is registered by a hospital, and another one, when the patient's referral request is accepted by the other hospital.
When the hospital will make a referral request, then all the related test reports of that patient will be forwarded as an attachment along with the email. So, every hospital will be receiving the referral requests in the form of an email. 
Every hospital will be having a statistics page that will be having every referral log. The referral log can have three states which are as follows:


a. Accepted (A): If the referred patient has been accepted

b. Rejected (R): If the referred patient has been rejected

c. Pending (P): If the referral is still pending i.e. the referred-to hospital has not responded to the request

How I built it

I thought web application will be an important part of making the project accessible to every hospital because in this manner more and more hospitals can collaborate on this platform. So I used PHP, bootstrap, HTML for making a site that can prove to be an efficient solution for the above-stated problem. I have routed various actions of the user such that the hospital can have a seamless experience in using the application.

For hosting the website, I used the Hostinger service. Referral request templates have been coded from scratch and the inclusion of reports as attachments with email has elevated the project level a lot. To use the messaging service, I used the Twilio REST API and configured it using the Integromat scenarios (webhooks) so the patient will also be intimated about what is going behind the scenes. Initially, I thought of making it a hospital-only-oriented website but in the end, I included the patient in the workflow which sort of added new dimensions to the project. 

Challenges I ran into

When I thought of integrating Twilio with the project, I was facing many problems like The message request was failing again and again because I was not considering spaces in the parameters for the REST API. Then I solved that by encoding %20 for spaces. The webhooks for Twilio was also a bit frustrating because I wasn't able to properly extract the URL parameters from the request and then form a message body for the  SMS

Initially, there was no plan of including the statistics page for hospitals. But as I proceed further I changed a lot of routing in the app and thus used PHP to its fullest and then made three states for the request (which are looking beautiful) and pleasing to the eyes.

According to the actions, the app should have 10 separate pages because there are a lot of functionalities running. To limit the number of pages, I used the concept of routing along with parameterized GET requests so that I can use a single page for 3-4 actions. (For eg: I have used the Profiles page for adding a new patient, changing the hospital stats, adding patient reports, etc.) This thing not only helped me to enhance the UI/UX but also got involved in brainstorming and plating around sorting information along with the different route requests.

Accomplishments that I'm proud of

1ï¸âƒ£Developing an app in 2 days and also the use case of this project is very high, as it is related to the healthcare industry. 

2ï¸âƒ£I am sure the hospitals will be having a seamless experience while referring and managing patients.

3ï¸âƒ£With bare PHP and a few front-end languages I have developed an app that ensures that the users/hospitals will be having the best User Experience. There are plenty of things to play around and thus the end-user will neither be confused nor be bored after using this platform. 

4ï¸âƒ£From uploading reports of the patients to updating them I am proud of every bit in making this project and it rightly fulfills the purpose of why I made this.

What I learned


Handling REST API requests
Making and customizing email templates from scratch & integrating them with PHP.
Sending attachments with emails through PHP.
Configuring Twilio API and using it with webhooks made through the Integromat platform (now known as Make).
5, Making a completely responsive web app that looks great on every screen size


What's next for EasyRefer

I will be deploying some search filter functionalities for the hospitals so that a hospital can have a look at available options for referring a patient.

The best project (like this one) can slightly be enhanced over time. ðŸ¤©ðŸ˜
","https://github.com/VersatileVats/ReferMedi, https://wheels4water.me/refermedi",https://youtu.be/QASkcnTExMg,"Best Design Hack, Best Social Impact Hack, Most Creative Use of Twilio (MLH)","php, bootstrap, html5, twilio, integromat, mysql",,JC BOSE UNIVERSITY OF SCIENCE & TECHNOLOGY,0
Bad-Tempered Bee,https://revuc-xi.devpost.com/submissions/311321-bad-tempered-bee,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 06:16:31,"Inspiration

I was given an Adafruit Trinket 5V a few years ago and wanted to finally use it to create a project that was small and wireless. When I remembered I had a buzzer, I decided to create an angry bee.

What it does

A light sensor inside the cardboard housing allows the bee to detect for very bright light or not. When there is not enough light, the bee becomes angry and this is indicated by the glowing red eye and the sound it produces. The buzzer is very quiet so there is a red indicator LED for when it is on.

How we built it

A breadboard sits inside the cardboard housing with the Trinket, an RGB LED, a light sensor, a passive buzzer, and a 9v battery. The code was made using Arduino.

Challenges we ran into

The Trinket has long been replaced by new technology so finding any new advice boiled down to ""do not use this."" 
The small footprint means there are not many pins to work with and some have shared functions which can make them awkward to use. Also, the numbering of pins is different depending on whether they are referenced as digital or analog.

Accomplishments that we're proud of

Light inputs and outputs were very important to this project and this was done through subtle holes covered by thinner material.

What we learned

I learned about active and passive buzzers and how they work. Especially passive buzzers and how the sound is affected using PWM.

What's next for Bad-Tempered Bee

To create a better Bad-Tempered Bee, a new microcontroller would be a must. In a better version, the light sensor could be better mounted on the inside for maximum light detection, and a second eye light could be added.
",https://github.com/heyl5/Bee,https://youtu.be/Sg_fW3kJCo0,"Most Useless Hack, Best Hardware Hack Sponsored by Digi-Key (MLH)",arduino,,"",0
Hack-io Party,https://revuc-xi.devpost.com/submissions/311380-hack-io-party,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 07:47:21,"Inspiration

Hack-io Party is a minigame collection inspired by Mario Party and Wario Ware, where you try and beat as many minigames as possible, and try to reach a high score! 

As a team with both Electrical Engineering and Computer Engineering / Science majors, we wanted to make a project that allowed all of us to fully participate and learn new skills relevant to our majors. By both creating a Unity game, and creating a breadboard controller for it, we were able to learn about how our disciplines can be combined to make an awesome project!

What it does

The Hack-io Party Game is a series of mini-games in which you try to beat as many games in a row as possible. 

The Hack-io'd Controller is an Arduino device which sends user input (inputted via button or motion sensor) over a serial connection. This signal is detected in Hack-io Party, and used to trigger game events.

How we built it

Software

We created our game using Unity 2020.3.30f1, and created our Arduino binaries using the Arduino IDE. 

Hardware

We created our controller using an Arduino Uno, a Breadboard, Buttons, and a Motion Sensor. 

We also prepared a and tested Water Temperature sensor and Humidity, however these were not included in the final device implementation.

Challenges we ran into

Hardware

We were very ambitious with our controller. Going into this project, we wanted to have a bunch of weird sensors and create a game which has the user perform absurd tasks with their controller, such as place a water temperature sensor into a glass of ice-cold water. However, we ran into issues, since we had a lot of work to do, and not a lot of time.

We even bought water temperature sensors, however we couldn't get those sensors to fit correctly into our breadboard. The wires ends weren't compatible with the breadboard, as they were tinned copper wire. So, Zak decided to solder headers onto the end of the sensors' wires allowing them to connect to the breadboard, but we were unable to successfully implement those sensors before the time we needed to start submitting the project.

We also prepared a humidity sensor, with the intent that the player would have to blow humid air onto the sensor to, for example, make a balloon start flying, but the sensor didn't work the way we wanted it to, so we didn't included it in the final project.

Software

On the Software side, only one of our members had any Unity experience before we started this project, that being Sam (me). I spent a lot of time during this project teaching Unity to Nathan and Tylor so that we could all contribute significantly to the project. Using what they learned during the Hackathon, Nathan was able to make a level and also 90% of the main menu, and Tylor was able to make 2 (and almost 3) levels!

Accomplishments that we're proud of

Learning Unity

Nathan and Tylor hadn't used Unity before this hackathon, and were able to contribute very significantly to the Unity project.

Learning Arduino

Zak, the primary Hardware / Arduino developer, had never used Arduino and had never used things like motion / humidity sensors before this Hackathon, and he was able to create a well-working controller within 24 hours!

Controller Implementation

Learning how we wanted to have our controller interact with our game was something we didn't start researching until during the hackathon. Originally, we considered detecting inputs via a separate / third-party script and converting those to keyboard keypresses. However, we realized early on into our hack that it'd be much easier detect the Arduino signal directly within our game via a serial port connection with C#.

At that point, we needed to decide what we wanted to send over our signal; Since all of the buttons and sensors we implemented only outputted 0 or 1, we decided to send a single integer, using bitwise operations to set one bit's value for each sensor. This worked well and is fast, and we're very proud of it.

What we learned

Arduino

Zak learned Arduino for this project, and took the lead in hardware + embedded software development.

Unity

Tylor and Nathan learned Unity for this project, and were able to create their own polished mini-games within 24 hours!

Signals

Sam and Zak, the developers for the Arduino and the C# signal handling, hadn't had any experience in signal handling between microcontrollers and PCs before, and we were able to successfully trigger game events in Unity using our controller!

What's next for Hack-io Party

We'll be disassembling the Hack-io'd Controller for parts, and fondly remembering our sick game we made in 24 hoursðŸ˜Š
",https://github.com/swiimii/senior-design,https://youtu.be/viJ4yTMw_Fk,"Best Design Hack, Most Useless Hack, Best Hardware Hack Sponsored by Digi-Key (MLH)","c#, unity, c++, arduino",,University of Cincinnati,3
Calorymita,https://revuc-xi.devpost.com/submissions/311391-calorymita,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 08:07:06,"Inspiration
The inspiration is just my desire to learn new things

What it does
It does nothing. it was intended to be able to perform CRUD operations using cockroach DB.

How we built it
it was built using nodejs, express, cockroach Db and hosted on Linode Cloud. Code is available on GITHUB.

Challenges we ran into
The challenges are quite numerous for me. I am totally new to cockroach DB and Linode. I did alot of googling to overcome some of the problems. by the way, Cockroach DB has an awesome documentation, it was really helpful

Accomplishments that we're proud of
I am proud of the fact I was able to use some of my previous skills to create a table in cockroach DB in an automated way using child_process and bash shell script, contrary to what I saw in the documentation.

What we learned
I learned about cockroach DB and Linode cloud. I was able to work with both technologies to some extent

What's next for Calorymita

Nothing for now
",https://github.com/salisbuk7897/calorymita,https://www.youtube.com/watch?v=RDaGzFt9l8Y,Most Useless Hack,"javascript, node.js, express.js, cockroachdb, linode, github",,Bayero University Kano,0
UMonitor,"",Draft,Pending,Project overview,02/27/2022 10:07:01,"Inspiration

One of our teammates has a close friend who lives very far away from him. She loves to draw, her favorite dish is crab salad made by her mother, and she has an adorable pet dog named Oreo. She also strives to become an artist. She is just a normal girl with a dream, but since she lives in Ukraine, her dreams can't come true. She works extremely hard towards her goals, but is suffering from the current events in Ukraine. We cannot image the pain and suffering Ukrainians are doing through right now. Many have lost their homes, businesses, and everything they hold dear. With this web application, we hope to shed some light on this dilemma and pray that we can provide support towards Ukraine.

What it does

Our project has information collected from multiple news source and have a filter function by city to see if that city is currently safe or not in hope that the people of Ukraine can flee to a safe place. We hope that this app can be a tool to spread awareness of the evolving situation Ukraine and perhaps be used by overseas Ukrainians to get the latest news updates from different cities. We have web scraping scripts that run every hour to feed latest news data onto our MongoDB database. When navigating to the endpoints, the backend will query the database and populate the frontend. With this, we are able to provide reverse chronological, latest news to our news feed.

How we built it

We built the application using Flask python to support our back-end and React to support out front-end. Our database is hosted in the cloud on MongoDB Atlas. In order to obtain news data for our news site, we built two different web scraping scripts with Selenium and BeautifulSoup to scrape data from Google News search and the CNN live updates page on the conflict. 

Challenges we ran into

In Backend 


There were a few links that did not have a class attribute for the p tag and image tag. This made it more difficult to scrape the proper article content and image from the website. We originally wanted to display the first paragraph of the article, but some of the p tags were used to display the author of the news article. For the images, we wanted to display an image related to the article, but some links scraped images of the author or images of the source.
We had implemented two different summarizing functions. One function was faster, but the number of sentences was not bounded. If the news article was longer than normal, then the function would output an extremely long summary. The other function was a lot slower, but it was possible to provide it any number of sentences, and it would summarize it to a specified number of sentences
There were issues with MongoDB with retrieving data from the database. The data did not jsonify properly which caused issues with the API call, and structuring queries was challenging.


In Frontend 


The UI is not responsive as expected, since this problem is overlooked until there is not enough time to fix it
We had a lot of difficulty in setting up the connect from Flask server to React, so we had to reduce all the functionality intended for our project (Blog, messaging function, ...)
The frontend took too long to create the overlay and finding an image for the background


Accomplishments that we're proud of

We're proud to overcome the challenges of connecting the frontend with the backend, which was plagued with issues throughout the process. We are really proud of our database schema, which was scalable and how we populated our database with data scraped from both Google news and from the CNN live updates site. Because of this, querying the database was fairly easy and efficient. 

What we learned

We learned how to use different python packages effectively scrape the websites. We learned how to properly link Python to React. Overall, this was a great learning experience in full stack development for all of us!

What's next for UMonitor

With more time and funding, we will be able to add functionality like a map that show unsafe zone. We also wish to add a blog for people to express their concern and know that they are not alone. 
",https://github.com/ryanmle2001/HackNYU-UkraineRussiaNews,https://youtu.be/pegw0nZ4nUU,"","python, mongodb, flask, react",,"University of Cincinnati, Georgia Institute of Technology - Main Campus, City College of New York of the City University of New York, The",3
SavePecunia,https://revuc-xi.devpost.com/submissions/311506-savepecunia,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:09:15,"About Our Project â€“ SavePecunia is an interactive game aimed to teach financial responsibility. Pecunia, which means money in Latin, is attacked by the Demon King Prodigal and his Army. It is up to you, Parcos, to save Pecunia by defeating the Demon King.

SavePecunia is a board game, simple to understand and easy to play. Real concepts, such as Money, Experience and Happiness have been inculcated into the project to teach the player on how to make responsible and sensible financial decisions. As the player, Parcus, goes along the path of the game, he faces many challenges, which are opportunities alike, to gain experience, Aureus coins (money) and happiness points. Of course, there are also activities that when indulged in, Parcus experiences loss in points of either experience, Aureus and/or happiness. Parcus can decide whether he wants to indulge in these activities or not.
The objective of the game is to take the right decisions with the situation at hand, and have a plan for future turmoil. Parcus wins the game if he has sufficient experience, Aureus and happiness, and loses if either one of the parameters are not satisfied.

Inspiration

We built our project based on the problem statement provided by Fifth Third Bank. Our goal is to teach financial responsibility, one that awards good money habits to all age groups

What it does

We have built an interactive board game, providing the player with an exciting path along which they must make decisions best suited to their situation

How we built it

We used HTML, CSS and JS to build the board game and the website.

Challenges we ran into

The development of the idea behind the board game and path taken by the player, along with developing the logic and appropriate values of tokens at each grid square was definitely a challenge. We also brainstormed on how to make the player think responsibly and sensibly while playing the game. Moreover, we pushed all boundaries and took learning to a new level while creating the game and the website.

Accomplishments that we're proud of

Our game teaches strong ideals of responsibility, stability and planning for the future. The whole idea of using an interactive game to inculcate such ideals is something we definitely brag about. Finally, we are proud of the amount of effort and time we have put into SavePecunia.

What we learned

Through the course of the hackathon, we developed and ideated a board game from scratch. We learned how powerful and endless languages such as HTML, CSS and JS can be with appropriate use of them. Teamwork, time management and creativity are some non-technical skills that we learned.

What's next for SavePecunia

1) Multiplayer mode in which multiple players can compete against one another to see who comes out with the highest score.
2) More, larger and longer game modes with higher stakes in each mode; tougher and more complicated situations where one has to do the absolute right thing to win!
",https://github.com/shreya-markhedkar/SavePecunia,https://www.youtube.com/watch?v=voRHtUcsBL4,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Fifth Third - deFINe: Development and Education for Financial Independence","html, css, javascript",,Vellore Institute of Technology Vellore,1
two plus two equals you win,https://revuc-xi.devpost.com/submissions/311511-two-plus-two-equals-you-win,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:14:14,"Inspiration

As hackers that sometimes get exhausted with our work overload, we need a break. So we got inspired to make a ""useless"" hack this time that is a connect 4 game.

What it does

This app allows you to play connect 4.

How we built it

We built this in repl.it using pygame/python and with matlab coding to it too.

Challenges we ran into

We had too many time limitations and so we had trouble coming up with an idea and then finishing it.

Accomplishments that we're proud of

We are proud that we were able to code a game together because we usually make websites.

What we learned

We learnt how to use matlab and create a game with it.
","",https://youtu.be/S4A_3U3VmwE,"Most Useless Hack, Best Use of Google Cloud (MLH), Most Creative Use of Twilio (MLH), Best Use of MATLAB (MLH)","pygame, python, matlab, twilio",,"Ohio State University, Apeejay School , NMIMS",2
Untitled,"",Draft,Pending,Manage team,02/27/2022 10:18:19,"","",,"","",,"",0
Virtual Office Space,https://revuc-xi.devpost.com/submissions/311516-virtual-office-space,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:21:51,"Inspiration

We were inspired by data presentation software, like Jupyter notebooks, as well as virtual spaces like VR Chat and Rec Room. 

What it does

We successfully demonstrated that there is a synergy between virtual spaces and presenting information. This application specifically allows users to explore the web through multiple virtual displays and offers catered learning experiences. To demonstrate how a researcher may use this framework to display their work, we created a few custom experiences. The user can choose to play some educational finance games or to go to a research room that displays several google scholar sites from Digital Futures.

How we built it

We built this application using Unity and C#. We used art assets from BrokenVector to demonstrate how simple it is to change the environment to custom or premade scenes. We also utilized the ZFBrowser package to allow us to project web pages as game textures.

Challenges we ran into

Getting the web pages to load correctly was immensely difficult. We tried many plugins and tutorials before landing on something that we could modify to work. Introducing VR support was another hurdle that we were not expecting. 

Accomplishments that we're proud of

We are very proud of the spawn web browser feature. We think it is hugely beneficial that the user can choose to place a screen anywhere in the environment. Doing so places control in the user's hands to create an effective and efficient environment. 

What we learned

We all have limited Unity experience, so this was a great exercise in application development in Unity. We learned about plugins, prefabrication, VR support, and embedded browsers. 

What's next for Virtual Office Space

Virtual Office Space, being a hackathon project, is limited in nature. With more time and a budget, we would introduce more quality-of-life improvements and perhaps a multiplayer feature. We think that allowing multiple users to work together in this space would dramatically increase its utility. Imagine working with and laying out documents in a virtual space with someone across the world!
","https://drive.google.com/file/d/17lB0HHht2rCqEPFjq_3ZS0_DsoXPqwUd/view?usp=sharing, https://github.com/Kartavya904/Hackathon_Project_Files/tree/main",https://www.youtube.com/watch?v=oU7lyxzS4Bo,"Best Educational Hack, Best Social Impact Hack, Fifth Third - deFINe: Development and Education for Financial Independence, Digital Futures Storytelling Prize, Digital Futures Innovation Award (for excellence in technical demonstration)","unity, c#, oculus, zfbrowser",,University of Cincinnati,3
Autonomous Minecraft,https://revuc-xi.devpost.com/submissions/311518-autonomous-minecraft,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:27:45,"Inspiration

Iâ€™ve always enjoyed Minecraft, but college has limited the amount of time I have to play games. This robot seeks to remove the grind so I can get straight to the â€˜meatâ€™ of Minecraft.

What it does

So far, the bot can connect to a Minecraft server, read the chat, and autonomously navigate the word either by moving to the player or by moving to a specified coordinate

How we built it

The bot uses the mineflayer API to handle server communications and the A* pathfinding algorithm. The bot is written entirely in python and communications are handled by talking to the bot on the server.

Challenges we ran into

Pythonâ€™s lack of type checking and my own carelessness caused several annoying and hard to find bugs which cost a lot of time. Additionally, some of the methods provided in the API were broken or produced unexpected results

Accomplishments that we're proud of

The botâ€™s movement is fluid and quick and has produced a solid base for continued development

What we learned

How to use python event listeners and most importantly that slow and steady wins the race. Being in a rush meant much of my code left a little to be desired and pythonâ€™s hands-free attitude when it comes to types caused me quite a few headaches, in the future I either wonâ€™t use python or will be much more careful.

What's next for Autonomous Minecraft

With a solid base for pathfinding, Iâ€™d like to work on the other main components to automate the grind out of Minecraft, mainly autonomous resource gathering. Movement was half the battle, now Iâ€™ll need to find resources, navigate the bot to the resource, and gather it â€“ easier said than done. Beyond that Iâ€™d like to setup some kind of schematic system to allow the bot to build its own home and even some kind of web-based command and control center to control my army of robots when Iâ€™m away.
",https://github.com/UltraVaporizer/AutonomousMinecraft,https://youtu.be/fSzZjZ5lgdQ,"Best Design Hack, Most Useless Hack, Northrop Grumman - Top Capture The Flag Individual, Cyber@UC - Top Capture The Flag Team",python,,University of Cincinnati,0
Tic-Tac-Toe-Game,https://revuc-xi.devpost.com/submissions/311523-tic-tac-toe-game,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:32:44,"Inspiration

This is the first time that I have participated in a hackathon. I was not sure what to make, which project I should work on, then I saw that there is a lot of fun activity going on in the discord channel, so I thought why not To make a fun game, that's why I made a tic-tac-toe game.

What it does

so basically it is a Tic tac toe game created using HTML, CSS and JavaScript. Tic-tac-toe, noughts and crosses, or X and O, is a paper and-pencil game for two players, X and O, who take turns marking the spaces in a 3Ã—3 grid. The player who succeeds in placing three of their marks in a diagonal, horizontal, or vertical row is the winner. It takes input as in the form of X or O and then check if the three of their marks are placed in a diagonal, horizontal, or vertical row.If the above condition will be true then the person will be the winner.

How I built it

So as I mentioned that this game is created using HTML, CSS, JavaScript. 
The first step to start building a game is to build the markup.
so in the first step I worked on the Html part.
** second step
the very important step is styling which makes your game good looking.
**Hard step
now finally JavaScript comes into pictures.
first I create a Tic Tac Toe board and fill it with dashes then I create a function that draws the board like a square.Keeping track of the playerâ€™s turn and what symbol they are using and was very important so I worked on that as well. The another important thing was to Set the right position on the board to the proper symbol and finally I create a function that checks if either player has won.
last but not least I used a function to keep the game going.

Challenges we ran into

So this is not the first JavaScript project that I have created before I have worked on  many web pages using HTML and CSS and a little JavaScript but when it comes to fully functional JavaScript this is my first project. I am new to JavaScript as I recently started learning JavaScript. I learned most of JavaScript while creating this project it tooks more than a 18 hours to create this project because it is a little hard for beginner point of view.
to be honest every part of the project was hard for me
making board and then keeping track of the playerâ€™s turn and what symbol they are using and to checking the winner.

Accomplishments that we're proud of

It is always  a good feeling to complete a hard project and it was fun to I learned a lot

What we learned

So the  things which I learned through out the project are listed below
1.functions
2.Variables
3.DOM
 4.Object
5.Primitives
6.Events
7.Control flow and a lot more.

What's next for Tic-Tac-Toe-Game

so the next I want to make this game online multiplayer game so people can play this game from all anywhere with their friends online.
",https://kamalsinghkhanna.github.io/Tic-tac-toe/,https://www.youtube.com/shorts/kX-7Q169cWM,Most Useless Hack,"html, css3, javascript",,D.S.B. Campus Nainital,0
Voctract,https://revuc-xi.devpost.com/submissions/311526-voctract,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:38:17,"Inspiration

Once I was mislead into buying a credit-card by a sales professional. When  received the bill I realized that he lied to me, and since it was a verbal conversation there isn't a record to address the issue. What if we could leverage Speech-To-Text AI capabilities which are commonplace now to turn audio interactions into written contracts. And can a blockchain benefit such applications ? People rely on verbal  conversations for a variety of careers avenues like journalist, lawyers, phsychotherapists and translators.  

What it does

The goal is to have an app where two people can agree to record and sign a verbal contract. 
A Speech-to-Text API converts the audio to a legal document with digital signatures. 
The idea is to have this as a handy tool like POS devices.

How we built it

Google Cloud Platforms' Firebase provides handy and affordable ecosystem to have web apps deployed quickly with a scalable cloud infrastructure ready. This app at this prototyical stage is essentially a Firebase web project.
Google login is suppported. The ""contracts"" are stored in each users Firestore collection. The audio is saved similarly in the default Firebase Storage bucket. Upload on the bucket triggers API call to speech-to-text API and stores written contract document with the transcription in the same bucket. 

Challenges we ran into

First time using Firebase and node.js based application. Developing front-end is something I have never done too. 

Accomplishments that we're proud of

can do better.

What we learned

First time using Firebase and node.js based application. Developing front-end is something I have never done too.

What's next for Voctract

In future you could integrate features to have SMS and email notifications for all ""parties"" in a voctract"" . Currently the implementation and integration with AssemblyAI doesn't work needs major overhaul. How can Blockchains help ?
","https://voctract-48922.web.app, https://github.com/sparshpriyadarshi/voctract-web",https://www.youtube.com/watch?v=63Ygsq6cZog,"Best Social Impact Hack, Most Useless Hack, Best Use of Google Cloud (MLH), Most Creative Use of Twilio (MLH), Best use of Assembly AI","firebase, node.js, speech, webpack, firestore, java, auth, serverless, cloud, javascript",,University of Cincinnati,0
Alphabets for all ,"",Draft,Pending,Project overview,02/27/2022 10:38:20,"","",,"","",,"BIT,Mesra",0
Bearcat Coin,https://revuc-xi.devpost.com/submissions/311528-bearcat-coin,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:39:44,"Inspiration

Bearcat Coin was inspired by other crypto tokens like DAI and USDT. Bearcat Coin would be the UC native currency.

What it does

Bearcat Coin is a currency just like USD except it is secured by the Ethereum blockchain. Students will be able to send and receive Bearcat Coin around campus and to other students.

How we built it

We built Bearcat Coin on top of the Ethereum blockchain on the Rinkeby Testnet. We also built a website for easy signup and onboarding. We also made a server to authenticate if a potential user is a UC student.

Challenges we ran into

We initially wanted to use the Hedera Network but we found it difficult to use their blockchain and APIs.

Accomplishments that we're proud of

Successfully deploying a token to the Ethereum Blockchain.

What we learned

We learned about smart contracts, frontend development, and web3 technologies

What's next for Bearcat Coin

We hope that the university adopts bearcat coin and we can then deploy Bearcat Coin to a network like Ethereum Mainnet or the Polygon network.
",http://bearcatcoin.cash,https://www.youtube.com/watch?v=VmG4bry1kXI,"","html5, css3, solidity, javascript, typescript",,University of Cincinnati,3
The Wage Worker of Wall Street,https://revuc-xi.devpost.com/submissions/311533-the-wage-worker-of-wall-street,Submitted (Gallery/Visible),Pending,Submit,02/27/2022 10:46:21,"Inspiration

Although a financial literacy class is offered at our school, we were aware that there was not a mandatory FinLit class at every school, or even one offered as an elective. We strived to create a quick game and simulation that could teach students about the stock market while it wouldnâ€™t take an obscene amount of time out of the teacherâ€™s day to do something slightly off-curriculum - maybe just 15 minutes coupled with a worksheet.

What it does

The Wage-Worker of Wall Street is essentially a stock trader simplified. 8 stocks are available for buying and selling. The stocks follow historical market data for their sectors, and some stocks (like PEAR) are datapoint clones of companies from 2005 (PEAR is AAPL to clarify). The simulation runs for 2 years, split into 8 financial quarters. In each quarter, the game displays news that pertains to possible market trends, and the player can read these headlines and make decisions whether to buy, sell, or hold their stocks in a certain company. After each quarter, the player receives more news, and the game loop continues until September 1, 2007, whereupon the game ends, giving an ending screen and a summary of what you did with your available funds. Some stocks plummet, some are merely inflation hedges, and some are great investments.

How we built it

We used React, coupled with Bootstrap to create this application. It was interesting challenge to build our game using state-based architecture, meaning that our application was directly tied to all values related to the player. By updating stocks owned, or money, changes would be directly reflected in the application. We also used Github Pages to host the website.

Challenges we ran into

For Inesh, this was one of his first experiences using Git for collaborative version control. This led us to interesting moments of merging, pushing to the wrong branch, and just general fun with Git. More challenges we ran into was that we had a large scope for our project, and realized that actually achieving things would be much harder. Aidan was mostly focused on realizing the games core mechanics, and giving the developers a reality check when they were trying too hard. More challenges emerged from using React in ways it probably shouldnâ€™t be, and monitoring the state of our application.

Accomplishments that we're proud of

We really like the news feature, as well as the stock trading screen (reminiscent of the deep rock galactic mineral trading screen). Tying everything together with React has also been satisfying, and it was great being to able to restart the game so easily by resetting the state.

What we learned

Donâ€™t plan too much for a 24-hour hackathon! No, seriously. Donâ€™t. We also learned how to better code within React, as it was a relatively new language for us. 

What's next for The Wage Worker of Wall Street

We believe that this project has potential, and with some work, we can incorporate graphs, dividends, P/E ratios, and other important aspects of the market that we simply didnâ€™t have time for, as well as expanding the scope of the game to include short-term spending, investing in retirement funds, and incorporating various random events.
",https://ucstocks.github.io/,https://www.youtube.com/watch?v=ZVgXIXYbca8,"Best Educational Hack, Fifth Third - deFINe: Development and Education for Financial Independence","react, bootstrap, github, figma, notion",,"",2
