Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Table Number,Mlh Points,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Mlh Hardware Lab,Mlh Software Lab
Minecraft Discord Bot,https://revuc-ix.devpost.com/submissions/143113-minecraft-discord-bot,Submitted (Gallery/Visible),Pending,,02/23/2020 11:49:20,"Inspiration

We spend a lot of time playing Minecraft and the old bot that we used just wasn't cutting it. When players got off the server, the EC2 instance shut down. This was fine, but players weren't held accountable for the time they spent on the server, and we wanted this to change.

What it does

When a player joins the server, they have their own personal collection of tokens (currency) that is deducted from as the user is on the server. It is deducted at a rate of 1 credit per minute. If the user runs out of tokens, they are bombarded with TNT in order to keep them from playing until they pay to be on the server. They can use the discord bot in order to check how many credits they have. If the bot joins another discord server, they credits are persisted between servers because of our usage of Cloud SQL.

How I built it

The server is built upon the Google Kubernetes Engine in order to make deploying as simple as possible. Things like our discord bot and our API server are running on Kubernetes. But, our minecraft servers themselves are also running up in the cluster! In order to persist data, we use Google Cloud Sql to persist data about our users and credits. We also wanted to play around with big data, so we implemented Google's BigQuery to store every time a block is broken.

Challenges I ran into

We did not know how to create a Bukkit plugin, and we did not know much about google cloud. One of the team members was familiar with AWS, so we had that as a starting point. We had to work with load balancers, kubernetes, Google's hosted nodes and BigQuery. We had a lot of issues in the beginning in getting our applications posted and deployed on the servers. After a while, we got some scripts running to get our application hosted. Creating an HTTP POST request in Java was an enormous hurdle as well. None of us knew Java so we had to do a lot of research in order to figure out what to do. We all learned a ton in the process.

Accomplishments that I'm proud of

The moment that we got our Java plugin to communicate with our NodeJS backend, we were extremely proud. We had issues getting the proper information to POST to the server because of the way Java handles the input. The issue was that we had to include the ""Content-Type"": ""application/json"" header.

What I learned

We learned how to make a plugin for Minecraft servers. None of us knew how to code in Java, let alone work on a plugin for a pre-existing server. We have learned so much and are extremely excited to use this knowledge to create plugins in the future.

What's next for Minecraft Discord Bot

We are extremely excited to actually implement this bot, so we want to continue working on it to make it fully polished and able to be used. We all enjoy playing with each other, and removing the need to manage server payments will be a huge help!
",https://github.com/OhioUniversityRevUC2020,, Best use of Google Cloud (MLH),"typescript, discord, google-bigquery, google-kubernetes-engine, google-cloud-sql, java, spigot",,Ohio University - Main Campus,4,801M-3,Ohio University,"","",Google Cloud
Hearthclone,https://revuc-ix.devpost.com/submissions/143114-hearthclone,Submitted (Gallery/Visible),Pending,,02/23/2020 11:49:38,"Inspiration

Wanted to get some experience in making a project that was our own.

What it does

Plays a card game

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for Hearthclone
","",,"",python,,University of Cincinnati,0,801A-2,University of Cincinnati,"","",""
Buyers Guide Simplified,https://revuc-ix.devpost.com/submissions/143115-buyers-guide-simplified,Submitted (Gallery/Visible),Pending,,02/23/2020 11:50:31,"Inspiration

A few months ago, I was shopping for a used car and I noticed that the buyers guides had a specific formatting to them. 
It can be tedious to research a car manually, plus one should want to be discreet and into show to much interest in the car they want. 

What it does

I had the idea to make an app where you take a picture of the buyers guide and it pulls up the cars history report.
Alternatively, you can manually input the vin number to pull up the report.

How I built it

OpenCV to detect the edges of the buyers guide and transform the picture into a scan of the document.
TesseractOCR to extract text from the scan.
Flask to make the program web accessible.

Challenges I ran into

OCR is pretty garbage. Characters can be confused when scanning a document especially with there is glare and noise in the image. 
Finding a free and open source car history report lookup. In the end, I just made an example page. 

What I learned

Learning more about image transforms in OpenCV.
Winning Presentation Karaoke and a round of CTF.

What's next for Buyers Guide Simplified

Implementing an actual VIN Number Lookup
Ad revenue.
Prettier interface.
",http://opencvplusocrcanputthevinnumberfromthebuyersguideinforyouandsearchesfortheitshistoryreport.online,,"Best Domain Registered with Domain.com (MLH), Make the Customerâ€™s Life Easier (84.51)","opencv, ocr, python, flask, love",,"",0,801C-1,"Berea College, University of Kentucky",opencvplusocrputsthevinnumberfromthebuyersguideinforyouandsearchesfortheitshistoryreport.online,"",Domain.com
Nutrition on a Budget,https://revuc-ix.devpost.com/submissions/143117-nutrition-on-a-budget,Submitted (Gallery/Visible),Pending,,02/23/2020 11:50:34,"Inspiration

As a college student, I find myself constantly trying to maximize all of my resources. This semester I am taking my first economics class which has really shifted my attention toward analyzing the marginal utility of my decisions. I wanted to see if there was correlation between cost of food and its calorie content, two variables that I try to keep low. The goal was to create a product that would make finding cheaper, healthier food more accessible for college kids like me and all shoppers at Kroger. 

What it does

What the app does and what it was supposed to do are slightly different. I wanted to create a visual representation of the ratio between cost and calorie content of different foods, however I quickly realized that I was trying to compare apples and oranges. I wanted to provide a series of charts on a simple, user friendly mobile app to show shoppers the percent cost of one item in terms of dollars and calories. 

How I built it

I used Android studio to build a simple form where a user can input their calorie goal and their budget goal. I user a GitHub library called Hellocharts-Android to create pie charts to represent the data. I also used a SQLite database to organize a sample of food items that the average customer would purchase. This included the name of the item, its calorie content on the margin, and its cost on the margin. 

Challenges I ran into

I have never done android development before, so I was introduced to a litany of new experiences last night, including Gradle build errors, Android dependency errors, and having to learn about everything from XML attributes to Activities to ViewModels. I was very overwhelmed at first and this seemingly simple project took me far more work that I care to admit. I also didn't completely end up with all of the functionalities or as clean of an interface as I was hoping for.

Accomplishments that I'm proud of

I have something to submit. I learned a whole lot, and I really got the chance to dive into a subject that could be useful to me in the future. I also took my other interests into consideration when ideating and was interested in the outcome of my project as a whole, and not just the technical aspects. 

What I learned

I learned how to navigate Android studio. I learned about Android build files, Android file hierarchy and structure, SQLite databases within Android Studio, embedding graphics in an app, creating emulators and other virtual devices, as well as how to better use my mistakes to my advantage.

What's next for Nutrition on a Budget

In a perfect world, there app would have options for organizing data based on different calorie goals and budgets, where I would be able to do more than display a pie chart. I also want to show more nutrition information and take into account sale prices or deals that shoppers at Kroger would use.

The GitHub link is not up to date because my teammate who quit owns the repo and has not merged my branch
",https://github.com/Suebi/NutritionOnABudget,,Make the Customerâ€™s Life Easier (84.51),"android-studio, sqlite",,"",0,801G-1,University of Cincinnati,"","",""
Money Moves,https://revuc-ix.devpost.com/submissions/143120-money-moves,Submitted (Gallery/Visible),Pending,,02/23/2020 11:51:52,"Inspiration

One of our key weakness as a people is our inability to quantify how much saving money can change our lives. In order to help people better comprehend how much saving a few dollars per month can affect their lives we set out to create an application that would let them see how much further their dollar can take them.

What it does

Our app allows people to visualize their savings by allowing them to input their individual deposits or income flow and showing how saving that amount will grow in a set amount of years. Once the user submits their deposit, how often it is transferred, and how many years in the future they would like to visualize we display their total savings as a trail of money on the ground which they can then follow to see how far their money will take them.

How we built it

Our group used a variety of technologies specifically ARCore as our framework to developed an AR enabled android application. Unlike most Drag and Drop solutions ARCore is fairly low level, to the points where we were manually calculating projection matrices to display what would be 3 dimensional objects on our 2d screens. It was through this use of math and some user provided info we can display an Augmented View of someones income/savings.

Challenges we ran into

Unfortunately due to the restriction of the Android OS we needed to use fairly low level frameworks to develop an Augmented view. It was because of this constraint our group exceeded even our own expectations in knowledge gained and obstacles overcame.

Accomplishments that we're proud of

In under 24 hours we were able to build an augmented view. None of the members of our group had any experience in this topic and to look back at what we've accomplished over the past day is an achievement in itself.

What we learned

As previously stated, none of the members of our group had any real experience with augmented reality tool-kits and frameworks. We've learned a lot over the past 24 hours and we will most definitely use this experience for the better in the future.

What's next for Money Moves

Obviously a 24 hour time constraint isn't enough for everyone to accomplish every single one of the ideas they had at the beginning. With that being said there is room for expansion in asset selection and visualization of what your money means when quantified as everyday items. For example hamburgers, milkshakes, or even candy...
",https://github.com/westceno/MoneyMakesTheWorldGoRound,,Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third),"c#, unity, arcore, opengl",,Northern Kentucky University,2,801C-3,Northern Kentucky University,"","",""
Vibe Check,https://revuc-ix.devpost.com/submissions/143122-vibe-check,Submitted (Gallery/Visible),Pending,,02/23/2020 11:51:58,"Vibe Check is a wearable device that allows us to perceive other people's hidden emotions wirelessly.

What can humans not observe but wish to perceive?

Our goal was to augment human senses and demonstrate symbiosis with wearable technology.

The phone is an example of technology that expands the potential of the human mind, enabling instant communication, better memory, and instant access to information. When people forget their phones, they feel uncomfortable, like a part of them is missing. Another example is writing. Writing allows us to express auditory perception in the form of visual perception. 

Inspiration

Our primary inspiration for Vibe Check was North Sense and EQRadio. Both of these companies work on expanding human perception through hardware. You can read more about them here and here.

What it does

Vibe Check utilizes a pulsed coherent radar module to measure chest movements that derive respiratory rate and heart rate. This is then attached to a wearable that is able to measure changes in distance to perceive someone else's values and displays them to a graph. The device relays haptic feedback to the wearer. 

How I built it

Vibe Check utilizes a Teensy 4.0 to handle all computing in real-time. We have an Xm112 radar module that can measure relative distance with micrometer resolution. At 10 Ghz this is sufficient to detect both heartbeat and respiratory. 

Challenges we ran into

It was really challenging to package all our hardware in a small wearable package. We had to integrate and wire a 2000 Mah rechargeable battery, battery charge circuit, LED strip, Bluetooth module, radar module, IMU, and main microcontroller, and haptic motors. We designed and 3D printed the enclosure during the event. 

Accomplishments that we are proud of

We were able to get visual output from a complex radar sensor that we had no prior experience working with. We were able to design and build a compact, respectable design within 24 hours. We were able to experiment with haptic feedback and other unique human-machine interfaces and explore the potential long term effects of such technology. We didn't give up and worked together throughout the 24 hours. 

What I learned:

We learned several ways to improve embedded computing performance and the challenges of prototyping a wearable device in 24 hours. We learned how to implement Fast Fourier Transforms on an ARM-based processor.

What's next for Vibe Check:

We plan to eliminate other sources of interference and isolate the wearer's movements from our sensor readings with an IMU. 
","",https://www.youtube.com/watch?v=Uw8kfZxFYrs,Best Design Hack,"c++, python, teensy, radar, 3dprinting, armm7, arduino, bluetooth, neopixel, haptics",,University of Cincinnati,3,801-6,University of Cincinnati,"","",""
Small Steps Personal Fitness Calculator,https://revuc-ix.devpost.com/submissions/143125-small-steps-personal-fitness-calculator,Submitted (Gallery/Visible),Pending,,02/23/2020 11:53:56,"Inspiration

I personally just began taking working out seriously, and I studied a lot about the proper way to go about eating and exercising. I wish I had a tool like this at the beginning to help me out.

What it does

The app uses height, weight, and body fat percentage to calculate BMI and a recommended amount of protein intake per day.

How I built it

I'm very to to using Android Studio but have had some experience coding in Java (that was a while ago). I had to follow some tutorials online to get to my current state, but luckily my background in Java did help along the way.

Challenges I ran into

Most of the tutorials that I saw used mostly integers in their calculations. I encountered many errors where I had conflicting variable types that yielded a breaking point in the code or the wrong calculation from rounding.

Very small mistakes also cost me a good amount of time, such as missing a semicolon at the end of a statement or forgetting to specify size relative to standard pixels when mapping out the real-estate that a text box was using.

Accomplishments that I'm proud of

I'm proud of the fact that I was able to create a simple app with a completely new software. The experience opened my eyes again to coding and I had a spark of inspiration to continue working on this project.

What I learned

I re-learned the basics of Java through the medium of Android Studio, and got acquainted with the user interface for designing a functioning app.

What's next for Personal Fitness Calculator

More calculations will be added. My vision with the app was not only to provide a very quick way to find certain health numbers, but also to give succinct explanations as to why these numbers are important and how to use them to map out fitness goals. 
","",,Best Education Hack,android-studio,,University of Cincinnati,0,801-16,University of Cincinnati,"","",""
Be A Pro,https://revuc-ix.devpost.com/submissions/143127-be-a-pro,Submitted (Hidden),Pending,,02/23/2020 11:55:55,"Inspiration

Our team has been founding members of the largest esport organization at Ohio University. The club is incredibly active with over 100 members and our team has looked for ways to engage with this student population. Fantasy leagues are extremely popular in traditional sports, so we decided to bring that love for the game to esports.

What it does

This web application is intended for leaders from different universities to create a fun and engaging point system that ranks players' recent ranked games. This can be adapted for different skill levels to make it fair for novice and expert players alike. All preferences are stored in the mongodb as well as the points of each of the players for each week.

How we built it

We began by utilizing asp.net as an infrastructure for our web application. We also had one member interact with the API that is provided by Riot Games (Creator of League of Legends). This API allows us to capture game data that can be used to convert to points depending on certain objectives met. The web application stores information that is sent to our database and also triggers Google Cloud Functions that runs our main API script.

Challenges we ran into

We ran into several challenges along the way due to the large scope of this passion project. We felt that we constantly had to out fun features on the side burner because of the need for necessary back work. We also never have utilized asp.net or any functionality with mongodb, so research was a large aspect of this hackathon.

Accomplishments that we're proud of

We are extremely proud of how much we developed on this project in such a short time. We had a large undertaking with the tools we used to make it possible, and are happy with the way it has come for a beta version.

What we learned

We learned an incredible amount in this hackathon period because we took a lot of risks when it came to designing the entire project. We learned that many challenges can be overcome with proper teamwork and commitment to certain technologies. We also were not scared to start some things over if we found a technology that was better suited for our vision.

What's next for Be A Pro

We have some extremely exciting features that we have attached with priority for each of these objectives.
",https://be-a-pro.azurewebsites.net/,,"","python, asp.net, c#, mongodb, javascript, html5, css",,Ohio University - Main Campus,3,801-8,Ohio University,"","",MongoDB
Hangry Ana,https://revuc-ix.devpost.com/submissions/143132-hangry-ana,Submitted (Gallery/Visible),Pending,,02/23/2020 11:58:34,"How to play: the player character is represented by the green circle, while the red circles are randomly roaming friend and enemies. The user is able to control the player using arrows or WSAD keys. The goal is to avoid all the enemies and find the friend.

For the future: The game will have multiple levels with an increasing number of friends and enemies, in order to make each level more and more challenging.
","",,"","",,Earlham College,0,860B-7,Earlham College,"","",""
Internet Museum,https://revuc-ix.devpost.com/submissions/143133-internet-museum,Submitted (Gallery/Visible),Pending,,02/23/2020 11:59:03,"Inspiration WE weer inspired by our passion for the internet

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for Internet Museum
","",,"","python, sql, html, css, javascript",,"",0,801M-5,Ohio university,"","",""
Therapy Hack,https://revuc-ix.devpost.com/submissions/143134-therapy-hack,Submitted (Gallery/Visible),Pending,,02/23/2020 11:59:14,"Inspiration

The need for mental health services is increasing, however the availability of these services is unable to meet the demand. We do understand that at the moment it is complex to completely automate the expertise needed to replicate an effective therapist, which is why our project ""Therapy Hack"" acts a supplement to aid mental health service by using sophisticated algorithms in Computer Vision and Deep Learning

What it does


The user enters their information like name, gender, address etc in a form which will be added to the patient database
The Questionnaire will ask the user a series of questions to know more about what they're going through
Then, the user uploads a video elaborating on themselves, which is then analyzed using Convolutional Neural Networks (CNN) and Vision API to detect the user's visual and vocal emotions
The user's audio is converted to text and the CNN performs sentiment analysis which outputs the likelihood of their emotions
The user's visual is analyzed by the Vision API to detect key facial landmarks to detect emotions like Happy, Sad, Surprised, Angry
A scheduling algorithm in Python sorts the doctors and patients depending on the user's address provided and gives the user a list of available doctors


How we built it


We developed a web application framework ""R Shiny"" as a prototype of user interface which uses R as back-end and Shiny as front-end with Google cloud storage API
The text analysis is done using Convolutional Neural Networks (CNN) by exploring various models offered by pytorch. The decision is made by converting words to vectors. These mappings are then used to label with the sentiments based on the training data labels.
We also used Python to input the user data obtained from the Questionnaire, Text analysis and Facial Recognition. This data is then used to schedule doctors for an appointment on suitable date preferred by the user by giving weightage to the scores obtained from Questionnaire, Text analysis and Facial Recognition. This algorithm uses Geocoding API and Distance Matrix API from Google cloud platform
Used Vision API to detect key facial landmarks


Challenges we ran into


I (Ponaravind) used APIs for the first time so it took a while to get familiar with it and incorporate in the algorithm. It was challenging to work on the scheduling algorithm to schedule patients corresponding to the location, availability of doctors and score obtained from the Questionnaire, Text analysis and Facial Recognition
I (Harshitha) worked with text sentiment analysis. The challenging part was to be able to get the right model and dataset to train and to handle the complexity within the given time-frame, keeping the accuracy in mind


Accomplishments that we're proud of


Planning and delegating work appropriately to each team member right from the beginning and sticking to the deadlines. 
Integrating various modules into a single customer experience


What we learned


We learnt how to use R Shiny, how to integrate different programming languages 
Training different kinds of models and understanding relation between different processes
Using APIs to communicate between different models


What's next for Therapy Hack

The next step is to increase the accuracy and reliability of the model. This could be done by using a research based questionnaire. The decisions made by the text and video analysis modules could be optimized by research results that tell us about a person's behavior based on their mental health. This could then be used as a more approachable solution for people seeking help
","https://github.com/AdithyaVenkateshMohan/TherapyHack.git, https://github.com/challava/sentiment-analysis-cnn, https://github.com/pon-aravind/Scheduling-algorithm.git, https://github.com/tarunkartik/TherapyHack-Shiny",,"Most Innovative Hack by UC Students (EECS GSA),  Best use of Google Cloud (MLH), Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third), Best Data Collection Hack (CincyTech)","python, google-cloud, maps-apis, distance-matrix-api, geocoding-api, numpy, requests, datetime, keras, tensorflow, cuda, r, convolutional-neural-network, vision-api, pytorch, r-shiny",,University of Cincinnati,3,801A-1,University of Cincinnati,"","",Google Cloud
Algorithm Minesweeper,https://revuc-ix.devpost.com/submissions/143135-algorithm-minesweeper,Submitted (Gallery/Visible),Pending,,02/23/2020 11:59:39,"Inspiration
I was struggling with my initial idea, so I took a break to play minesweeper and decided to try to write a program to beat the game.

What it does
Attempts to logically find mines and clear a minesweeper level

How I built it
Python

Challenges I ran into
Lack of knowledge writing python lists

Accomplishments that I'm proud of

What I learned

What's next for Algorithm Minesweeper

Beat the level
","",,"",python,,University of Cincinnati,0,801-16,University of Cincinnati,"","",""
website,https://revuc-ix.devpost.com/submissions/143138-website,Submitted (Gallery/Visible),Pending,,02/23/2020 12:02:03,"Inspiration

What it does it p

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for website
","",,"",html5,,Ohio University - Main Campus,0,801M-10,ohio university,"","",""
The statistical relation of four kinds of food,https://revuc-ix.devpost.com/submissions/143139-the-statistical-relation-of-four-kinds-of-food,Submitted (Gallery/Visible),Pending,,02/23/2020 12:02:06,"Inspiration

when we go to a market if the owner can know what we want to buy, and what kind of combination of grocery, we are more convenient without even considering what we should buy

What it does

We used the data sets for the prediction of customer behavior

How We built it

With python

Challenges we ran into

looking for the references

Accomplishments that we're proud of

We actually come out the results that will show the customer behavior is related to the commodities data set

What we learned

coding

What's next for The statistical relation of four kinds of food

building a real app
","",,"","python, database",,University of Cincinnati,0,801-7,University of cincinnati,"","",""
DIY autonomous land mower,https://revuc-ix.devpost.com/submissions/143140-diy-autonomous-land-mower,Submitted (Gallery/Visible),Pending,,02/23/2020 12:02:08,"Inspiraation

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for DIY autonomous land mower
","",,"","",,Northern Kentucky University,0,860D-5,northern Kentucky university,"","",""
NerdScholar,https://revuc-ix.devpost.com/submissions/143142-nerdscholar,Submitted (Gallery/Visible),Pending,,02/23/2020 12:05:06,"Inspiration

As students, we considered our project to be something that we ourselves would love to use. The tools made available at this event seemed perfect for this choice.

What it does

It creates a better and more effective study environment for students. The web app aids students in engaging in study groups IRL through geofencing and provides a new dimension for learning with others.

How we built it

We created a bootstrap frontend for our app that integrated directly with Firebase and NodeJS to provide a dashboard for easy setup and connection. We used domain.com to register a domain for our app.

Challenges we ran into

We experienced issues from the design of the frontend in a modular way, to setting up the server side with Firebase for authentication. Additionally, the sheer amount of boilerplate we needed to implement caused timeline problems for deploying our app on schedule.

Accomplishments that we're proud of

We felt positive about the robustness of our idea and learned a lot about the products we were using along the way. 

What we learned

We learned a lot about the individual tools we used, workflows in a team, and making decisions to pivot in response to time and technical demands.

What's next for NerdScholar

We are still hoping to continue working on this web app since we are still excited about its potential.
","https://github.com/gscheid5210/NerdScholar, https://nerdscholar-58c0a.firebaseapp.com/",,"1st Place Capture the Flag, Best Education Hack, Best Domain Registered with Domain.com (MLH)","bootstrap, html5, css3, javascript, node.js, firebase, domain.com",,"Berea College, Ohio Wesleyan University, Ohio University - Main Campus",3,860D-6,"Berea College, Ohio Wesleyan, Ohio University",nerdscholar.space,"",""
PlayFair cipher,https://revuc-ix.devpost.com/submissions/143144-playfair-cipher,Submitted (Gallery/Visible),Pending,,02/23/2020 12:06:33,"Inspiration

We are interested in cyber security aspect of computer science 

What it does

encrypts a secret message or it reveals it

How we built it

using python

Challenges we ran into

object reference, arrays and logic

Accomplishments that we're proud of

the project is efficient and it works

What we learned

more confident on python and how encryption works

What's next for PlayFair cipher

use it as our own encryption method were we can change how the message is encrypted
","",,"Best Education Hack, Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third)",python,,University of Cincinnati,2,860D-1,University of Cincinnati,"","",""
Looking For Moms Online,https://revuc-ix.devpost.com/submissions/143157-looking-for-moms-online,Submitted (Hidden),Pending,,02/23/2020 12:25:05,"Inspiration

I wanted to go back to a simpler time.

What it does

Provides joy to the world.

How I built it

Poorly.
",http://moms-online.herokuapp.com/,,Best Domain Registered with Domain.com (MLH),"flask, python, asinglestringofhtml, asplatteringofopensourcejavascriptlibraries, css, css-animation, consolecssstyling",,The University of Alabama,0,801A-4,The Overnight Mentors,lookingformoms.online,"",""
