Opt-In Prize,Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Room Number,"What School Do You Attend? If You Are No Longer In School, What University Did You Attend Most Recently?",Tell Us About Your Technology Experience This Weekend.,"Did You Register A .Tech Domain Name This Weekend? If So, What Domain Did You Register?"
"Best ""Useless"" Hack",Hackathon Team Creator,https://revolutionuc2024.devpost.com/submissions/485131-hackathon-team-creator,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:18:21,"Inspiration

While I did choose to work alone at this hackathon, I found that many of my fellow hackers were wanting support from a group environment. I wanted to create a tool that was simple and to the point in getting a group of people who all struggle to find teammates together.

What it does

The program simply allows a user to press a button to display a random location within the building and updates the locations occupancy as more people are given the location. After that location has reached maximum occupancy, it will no longer be suggested. As soon as all rooms are filled, the screen will display ""All rooms filled."" 

How I built it

I built this using and Arduino UNO with the Adafruit library to display the graphics. 

Challenges I ran into

The first challenge I ran into involved making sure a location did not appear on the screen after it had reached maximum occupancy. I had to create two whole new functions just to sort out which functions were eligible to be selected. While I could have chosen a simple approach for my sample case of locations, I wanted to make my code interchangeable for any Hackathon. This means I had to account for change in the number of locations and the maximum occupancy.

Finally, it was time to end the program. I was ready to make sure the program displayed that all the rooms were filled in order to complete my project and show it to the hackers around me. At least, I thought I was ready. After a long night of hacking and interacting with my peers, my mental capacity for work had been falling through and what would be considered the ""easiest part of my code"" became a nightmare. I ended up clocking in at 2 hours of just trying to simply display a final message at the end of my program as I was fighting the urge to sleep and making many mental errors that would break my program many times. 

Accomplishments that I'm proud of

Today was my first ever time even touching an Arduino. Everything that I put fourth in front of you today is a representation of what I can learn and implement in less than 24 hours. From turning on a light with a simple line of code to writing a complex program to organize a huge amount of people into groups. While I acknowledge the risk I took on hacking everything using only the Arduino's limitations, I am glad I made the decision and I will definitely be working to hone these skills into larger scale projects in the future.

What I learned

Ironically, as a solo developer in todays hackathon, I learned more about team work than you would think. Thanks to the great folks at Major League Hacking and the support of my peers, I was able to complete segments of code and work out hardware issues when I was in need of a second opinion. Now I will always keep in mind that even though it may be easy to want to do it all myself, using the resources given to me and interacting with other hackers is the best way to move forward and maximize what I learn in every experience.

I have also learned about my new found pass of Embedded Software Engineering. I am soon to work at a job that involves this very line of work, and I have more love for it after taking a chance to get started in the field at Revolution UC. I am thankful for Major League Hacking for providing the Arduino Uno to me and I will certainly make use of all the practice I can get in being the best embedded software engineer I can be.

What's next for Hackathon Team Creator

The next step would be making the use of the Hackathon Team Creator more user friendly. At the moment it is all run through a tiny OLED screen on the Arduino with the use of a button that doesn't feel official. If I were to move forward with this project and supplies hackathon's across the world with the service, I would encase the Arduino into a simple case with a larger screen that has a button to press. This will make the whole operation of the system more obvious and I could easily transfer the functionality with the use of wires provided in the Arduino kit.
",https://github.com/MaxwellABlevins/Revolution-UC-2024/tree/main/BoardOnly,https://www.youtube.com/watch?v=JMp-CVFELo0,"arduino, c++, adafruit, grove, github",,University of Cincinnati,0,Suite 245,University of Cincinnati,The experience with the Grove beginner Arduino kit was amazing. Gi Kraken made sending my code to GitHub very seamless.,MaxwellBlevins.Tech
Best Design Hack,No1Best Compliance,https://revolutionuc2024.devpost.com/submissions/485143-no1best-compliance,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:35:33,"Inspiration

We were inspired by some work that one of our team members were doing. We thought it would be awesome it there was a way to view that policies different companies followed publicly so you would be able to know what companies to trust.

What it does

Our website allows companies to sign up and list the policies that they follow and how much so. These policies can then be shared publicly so that users can see what companies are doing with their data.

How we built it

We used WordPress to set up the website and then deployed it linked to a .tech domain. We used Chart.js to visualize the compliance data and then inject it into the website. We also used a php based backend with a SQL data storage structure. 

Challenges we ran into

We ran into a lot of trouble. With such a long domain name (http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech) we struggled to get the DNS servers to work right in verifying and linking to our website. A lot of the team were also new to Word Press and needed to learn how to use the tools it provided in building a website. Also, we had never done data visualization with JS so we needed to learn the Chart.js library.

Accomplishments that we're proud of

We are proud that we got a working concept page up. There were a lot of time struggles that made the whole project grind to a halt multiple times. We struggled through the issues and got to the point where we have a working interface to show off.

What's next for No1Best Compliance

We want to expand the company side of the website to make it easier to have multiple users working on different policy concerns for the company. We would also like have more frameworks for companies to list as policies and even add an option for custom policies.

Github

Out Github
",http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech,https://youtu.be/tdacW1xV1LE,"wordpress, chart.js, php, sql",,"University of Cincinnati, Cincinnati State Technical and Community College",3,255-50,University of Cincinnati,We used WordPress to setup the website and some generative AI to make funny puns about compliance. We used Chart.js to make the data visualization. We also used a carbon neutral webhost.,http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech
Best Social Impact Hack,No1Best Compliance,https://revolutionuc2024.devpost.com/submissions/485143-no1best-compliance,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:35:33,"Inspiration

We were inspired by some work that one of our team members were doing. We thought it would be awesome it there was a way to view that policies different companies followed publicly so you would be able to know what companies to trust.

What it does

Our website allows companies to sign up and list the policies that they follow and how much so. These policies can then be shared publicly so that users can see what companies are doing with their data.

How we built it

We used WordPress to set up the website and then deployed it linked to a .tech domain. We used Chart.js to visualize the compliance data and then inject it into the website. We also used a php based backend with a SQL data storage structure. 

Challenges we ran into

We ran into a lot of trouble. With such a long domain name (http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech) we struggled to get the DNS servers to work right in verifying and linking to our website. A lot of the team were also new to Word Press and needed to learn how to use the tools it provided in building a website. Also, we had never done data visualization with JS so we needed to learn the Chart.js library.

Accomplishments that we're proud of

We are proud that we got a working concept page up. There were a lot of time struggles that made the whole project grind to a halt multiple times. We struggled through the issues and got to the point where we have a working interface to show off.

What's next for No1Best Compliance

We want to expand the company side of the website to make it easier to have multiple users working on different policy concerns for the company. We would also like have more frameworks for companies to list as policies and even add an option for custom policies.

Github

Out Github
",http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech,https://youtu.be/tdacW1xV1LE,"wordpress, chart.js, php, sql",,"University of Cincinnati, Cincinnati State Technical and Community College",3,255-50,University of Cincinnati,We used WordPress to setup the website and some generative AI to make funny puns about compliance. We used Chart.js to make the data visualization. We also used a carbon neutral webhost.,http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech
Best Implementation of an LLM or Other Generative AI Model (CincyTech),No1Best Compliance,https://revolutionuc2024.devpost.com/submissions/485143-no1best-compliance,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:35:33,"Inspiration

We were inspired by some work that one of our team members were doing. We thought it would be awesome it there was a way to view that policies different companies followed publicly so you would be able to know what companies to trust.

What it does

Our website allows companies to sign up and list the policies that they follow and how much so. These policies can then be shared publicly so that users can see what companies are doing with their data.

How we built it

We used WordPress to set up the website and then deployed it linked to a .tech domain. We used Chart.js to visualize the compliance data and then inject it into the website. We also used a php based backend with a SQL data storage structure. 

Challenges we ran into

We ran into a lot of trouble. With such a long domain name (http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech) we struggled to get the DNS servers to work right in verifying and linking to our website. A lot of the team were also new to Word Press and needed to learn how to use the tools it provided in building a website. Also, we had never done data visualization with JS so we needed to learn the Chart.js library.

Accomplishments that we're proud of

We are proud that we got a working concept page up. There were a lot of time struggles that made the whole project grind to a halt multiple times. We struggled through the issues and got to the point where we have a working interface to show off.

What's next for No1Best Compliance

We want to expand the company side of the website to make it easier to have multiple users working on different policy concerns for the company. We would also like have more frameworks for companies to list as policies and even add an option for custom policies.

Github

Out Github
",http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech,https://youtu.be/tdacW1xV1LE,"wordpress, chart.js, php, sql",,"University of Cincinnati, Cincinnati State Technical and Community College",3,255-50,University of Cincinnati,We used WordPress to setup the website and some generative AI to make funny puns about compliance. We used Chart.js to make the data visualization. We also used a carbon neutral webhost.,http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech
Best Data Science and Analytics Hack (Fortified Data),No1Best Compliance,https://revolutionuc2024.devpost.com/submissions/485143-no1best-compliance,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:35:33,"Inspiration

We were inspired by some work that one of our team members were doing. We thought it would be awesome it there was a way to view that policies different companies followed publicly so you would be able to know what companies to trust.

What it does

Our website allows companies to sign up and list the policies that they follow and how much so. These policies can then be shared publicly so that users can see what companies are doing with their data.

How we built it

We used WordPress to set up the website and then deployed it linked to a .tech domain. We used Chart.js to visualize the compliance data and then inject it into the website. We also used a php based backend with a SQL data storage structure. 

Challenges we ran into

We ran into a lot of trouble. With such a long domain name (http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech) we struggled to get the DNS servers to work right in verifying and linking to our website. A lot of the team were also new to Word Press and needed to learn how to use the tools it provided in building a website. Also, we had never done data visualization with JS so we needed to learn the Chart.js library.

Accomplishments that we're proud of

We are proud that we got a working concept page up. There were a lot of time struggles that made the whole project grind to a halt multiple times. We struggled through the issues and got to the point where we have a working interface to show off.

What's next for No1Best Compliance

We want to expand the company side of the website to make it easier to have multiple users working on different policy concerns for the company. We would also like have more frameworks for companies to list as policies and even add an option for custom policies.

Github

Out Github
",http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech,https://youtu.be/tdacW1xV1LE,"wordpress, chart.js, php, sql",,"University of Cincinnati, Cincinnati State Technical and Community College",3,255-50,University of Cincinnati,We used WordPress to setup the website and some generative AI to make funny puns about compliance. We used Chart.js to make the data visualization. We also used a carbon neutral webhost.,http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech
Best .Tech Domain Name,No1Best Compliance,https://revolutionuc2024.devpost.com/submissions/485143-no1best-compliance,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:35:33,"Inspiration

We were inspired by some work that one of our team members were doing. We thought it would be awesome it there was a way to view that policies different companies followed publicly so you would be able to know what companies to trust.

What it does

Our website allows companies to sign up and list the policies that they follow and how much so. These policies can then be shared publicly so that users can see what companies are doing with their data.

How we built it

We used WordPress to set up the website and then deployed it linked to a .tech domain. We used Chart.js to visualize the compliance data and then inject it into the website. We also used a php based backend with a SQL data storage structure. 

Challenges we ran into

We ran into a lot of trouble. With such a long domain name (http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech) we struggled to get the DNS servers to work right in verifying and linking to our website. A lot of the team were also new to Word Press and needed to learn how to use the tools it provided in building a website. Also, we had never done data visualization with JS so we needed to learn the Chart.js library.

Accomplishments that we're proud of

We are proud that we got a working concept page up. There were a lot of time struggles that made the whole project grind to a halt multiple times. We struggled through the issues and got to the point where we have a working interface to show off.

What's next for No1Best Compliance

We want to expand the company side of the website to make it easier to have multiple users working on different policy concerns for the company. We would also like have more frameworks for companies to list as policies and even add an option for custom policies.

Github

Out Github
",http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech,https://youtu.be/tdacW1xV1LE,"wordpress, chart.js, php, sql",,"University of Cincinnati, Cincinnati State Technical and Community College",3,255-50,University of Cincinnati,We used WordPress to setup the website and some generative AI to make funny puns about compliance. We used Chart.js to make the data visualization. We also used a carbon neutral webhost.,http://www.numberonebestcompliancesoftwaredefinitelynotavirusnoclickbait.tech
Best Social Impact Hack,Pneumonia-de.tech,https://revolutionuc2024.devpost.com/submissions/485155-pneumonia-de-tech,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:51:42,"Inspiration

Pneumonia is a leading cause of illness and death worldwide, especially among children and the elderly. Our project directly addresses this issue by providing a tool that can assist healthcare professionals in diagnosing pneumonia more accurately and efficiently, potentially leading to earlier treatment and improved patient outcomes.

What it does

This project utilizes machine learning to analyze chest X-rays and detect the presence of pneumonia infections, aiding healthcare professionals in accurate and timely diagnosis. Additionally, a website has been developed to showcase the program's usability and accessibility.

How we built it

We used over 5000 chest x-ray images to make a CNN (convoluted neural network) model to classify the x-rays as pneumonia or normal cases. The CNN architecture is designed using the TensorFlow library. We then optimized the hyperparameters for high accuracy (epochs: 100, batch size: 16, learning rate: 0.001).

Challenges we ran into

We faced several challenges while developing our chest X-ray analysis program. First, we had to understand and create a Convolutional Neural Network (CNN) model, which is a type of artificial intelligence that can learn patterns and features from images. Then, we integrated the Streamlit library to build a user-friendly interface for our program. Next, we worked on making sure our program processes images in a way that makes sense for diagnosing diseases like pneumonia. We relied on TensorFlow and Keras libraries to develop and train our CNN model effectively. Finally, we needed to find the right resources, like datasets, to train our model properly. Despite these challenges, we persevered to create a powerful tool that helps healthcare professionals diagnose chest X-ray abnormalities accurately and efficiently.

Accomplishments that we're proud of

We are proud that we developed a tool that assists healthcare professionals in diagnosing pneumonia and empower them to make more informed decisions and provide better care to their patients. Therefor it can lead to increased confidence in diagnosis and treatment plans, ultimately benefiting patient outcomes.

What we learned

In our team of four, we learned the ropes of building a chest X-ray analysis program. We explored creating Convolutional Neural Network (CNN) models, mastered Streamlit for user-friendly interfaces, and innovated ways to process images effectively. Harnessing TensorFlow and Keras libraries, we embraced collaborative problem-solving, while sourcing data resources highlighted the importance of research and data management. Our journey underscored the power of teamwork, adaptability, and mutual support in tackling machine learning challenges together.

What's next for Pneumonia-de.tech

Our plan includes expanding the model's capabilities to diagnose a broader range of diseases beyond pneumonia through further training using machine learning techniques. This extension aims to enhance the tool's utility and impact in healthcare by enabling it to identify various medical conditions from X-ray images with improved accuracy and reliability.
","https://pneumonia-i-hardly-know-ya.streamlit.app, https://github.com/ZMW7/pneumonia",https://vimeo.com/916455268?share=copy,"python, streamlit, keras, teachablemachine, imagetraining, github, tensorflow",,University of Cincinnati,3,Lobby2-32,University of Cincinnati,"I found GitHub incredibly helpful for managing our project and collaborating with my team. It made it easy for us to work on the same codebase without stepping on each other's toes. With GitHub, we could track changes, review each other's code, and stay organized with project tasks and issues. Plus, it gave us peace of mind knowing that we could always revert to previous versions if something went wrong. GitHub truly simplified our workflow and enhanced our teamwork.",""
Best Digital Solution to Improve the Clinical Trial Process (Medpace),Pneumonia-de.tech,https://revolutionuc2024.devpost.com/submissions/485155-pneumonia-de-tech,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:51:42,"Inspiration

Pneumonia is a leading cause of illness and death worldwide, especially among children and the elderly. Our project directly addresses this issue by providing a tool that can assist healthcare professionals in diagnosing pneumonia more accurately and efficiently, potentially leading to earlier treatment and improved patient outcomes.

What it does

This project utilizes machine learning to analyze chest X-rays and detect the presence of pneumonia infections, aiding healthcare professionals in accurate and timely diagnosis. Additionally, a website has been developed to showcase the program's usability and accessibility.

How we built it

We used over 5000 chest x-ray images to make a CNN (convoluted neural network) model to classify the x-rays as pneumonia or normal cases. The CNN architecture is designed using the TensorFlow library. We then optimized the hyperparameters for high accuracy (epochs: 100, batch size: 16, learning rate: 0.001).

Challenges we ran into

We faced several challenges while developing our chest X-ray analysis program. First, we had to understand and create a Convolutional Neural Network (CNN) model, which is a type of artificial intelligence that can learn patterns and features from images. Then, we integrated the Streamlit library to build a user-friendly interface for our program. Next, we worked on making sure our program processes images in a way that makes sense for diagnosing diseases like pneumonia. We relied on TensorFlow and Keras libraries to develop and train our CNN model effectively. Finally, we needed to find the right resources, like datasets, to train our model properly. Despite these challenges, we persevered to create a powerful tool that helps healthcare professionals diagnose chest X-ray abnormalities accurately and efficiently.

Accomplishments that we're proud of

We are proud that we developed a tool that assists healthcare professionals in diagnosing pneumonia and empower them to make more informed decisions and provide better care to their patients. Therefor it can lead to increased confidence in diagnosis and treatment plans, ultimately benefiting patient outcomes.

What we learned

In our team of four, we learned the ropes of building a chest X-ray analysis program. We explored creating Convolutional Neural Network (CNN) models, mastered Streamlit for user-friendly interfaces, and innovated ways to process images effectively. Harnessing TensorFlow and Keras libraries, we embraced collaborative problem-solving, while sourcing data resources highlighted the importance of research and data management. Our journey underscored the power of teamwork, adaptability, and mutual support in tackling machine learning challenges together.

What's next for Pneumonia-de.tech

Our plan includes expanding the model's capabilities to diagnose a broader range of diseases beyond pneumonia through further training using machine learning techniques. This extension aims to enhance the tool's utility and impact in healthcare by enabling it to identify various medical conditions from X-ray images with improved accuracy and reliability.
","https://pneumonia-i-hardly-know-ya.streamlit.app, https://github.com/ZMW7/pneumonia",https://vimeo.com/916455268?share=copy,"python, streamlit, keras, teachablemachine, imagetraining, github, tensorflow",,University of Cincinnati,3,Lobby2-32,University of Cincinnati,"I found GitHub incredibly helpful for managing our project and collaborating with my team. It made it easy for us to work on the same codebase without stepping on each other's toes. With GitHub, we could track changes, review each other's code, and stay organized with project tasks and issues. Plus, it gave us peace of mind knowing that we could always revert to previous versions if something went wrong. GitHub truly simplified our workflow and enhanced our teamwork.",""
Best Implementation of an LLM or Other Generative AI Model (CincyTech),Pneumonia-de.tech,https://revolutionuc2024.devpost.com/submissions/485155-pneumonia-de-tech,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:51:42,"Inspiration

Pneumonia is a leading cause of illness and death worldwide, especially among children and the elderly. Our project directly addresses this issue by providing a tool that can assist healthcare professionals in diagnosing pneumonia more accurately and efficiently, potentially leading to earlier treatment and improved patient outcomes.

What it does

This project utilizes machine learning to analyze chest X-rays and detect the presence of pneumonia infections, aiding healthcare professionals in accurate and timely diagnosis. Additionally, a website has been developed to showcase the program's usability and accessibility.

How we built it

We used over 5000 chest x-ray images to make a CNN (convoluted neural network) model to classify the x-rays as pneumonia or normal cases. The CNN architecture is designed using the TensorFlow library. We then optimized the hyperparameters for high accuracy (epochs: 100, batch size: 16, learning rate: 0.001).

Challenges we ran into

We faced several challenges while developing our chest X-ray analysis program. First, we had to understand and create a Convolutional Neural Network (CNN) model, which is a type of artificial intelligence that can learn patterns and features from images. Then, we integrated the Streamlit library to build a user-friendly interface for our program. Next, we worked on making sure our program processes images in a way that makes sense for diagnosing diseases like pneumonia. We relied on TensorFlow and Keras libraries to develop and train our CNN model effectively. Finally, we needed to find the right resources, like datasets, to train our model properly. Despite these challenges, we persevered to create a powerful tool that helps healthcare professionals diagnose chest X-ray abnormalities accurately and efficiently.

Accomplishments that we're proud of

We are proud that we developed a tool that assists healthcare professionals in diagnosing pneumonia and empower them to make more informed decisions and provide better care to their patients. Therefor it can lead to increased confidence in diagnosis and treatment plans, ultimately benefiting patient outcomes.

What we learned

In our team of four, we learned the ropes of building a chest X-ray analysis program. We explored creating Convolutional Neural Network (CNN) models, mastered Streamlit for user-friendly interfaces, and innovated ways to process images effectively. Harnessing TensorFlow and Keras libraries, we embraced collaborative problem-solving, while sourcing data resources highlighted the importance of research and data management. Our journey underscored the power of teamwork, adaptability, and mutual support in tackling machine learning challenges together.

What's next for Pneumonia-de.tech

Our plan includes expanding the model's capabilities to diagnose a broader range of diseases beyond pneumonia through further training using machine learning techniques. This extension aims to enhance the tool's utility and impact in healthcare by enabling it to identify various medical conditions from X-ray images with improved accuracy and reliability.
","https://pneumonia-i-hardly-know-ya.streamlit.app, https://github.com/ZMW7/pneumonia",https://vimeo.com/916455268?share=copy,"python, streamlit, keras, teachablemachine, imagetraining, github, tensorflow",,University of Cincinnati,3,Lobby2-32,University of Cincinnati,"I found GitHub incredibly helpful for managing our project and collaborating with my team. It made it easy for us to work on the same codebase without stepping on each other's toes. With GitHub, we could track changes, review each other's code, and stay organized with project tasks and issues. Plus, it gave us peace of mind knowing that we could always revert to previous versions if something went wrong. GitHub truly simplified our workflow and enhanced our teamwork.",""
Best Product Market Fit (Center for Entrepreneurship),Pneumonia-de.tech,https://revolutionuc2024.devpost.com/submissions/485155-pneumonia-de-tech,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:51:42,"Inspiration

Pneumonia is a leading cause of illness and death worldwide, especially among children and the elderly. Our project directly addresses this issue by providing a tool that can assist healthcare professionals in diagnosing pneumonia more accurately and efficiently, potentially leading to earlier treatment and improved patient outcomes.

What it does

This project utilizes machine learning to analyze chest X-rays and detect the presence of pneumonia infections, aiding healthcare professionals in accurate and timely diagnosis. Additionally, a website has been developed to showcase the program's usability and accessibility.

How we built it

We used over 5000 chest x-ray images to make a CNN (convoluted neural network) model to classify the x-rays as pneumonia or normal cases. The CNN architecture is designed using the TensorFlow library. We then optimized the hyperparameters for high accuracy (epochs: 100, batch size: 16, learning rate: 0.001).

Challenges we ran into

We faced several challenges while developing our chest X-ray analysis program. First, we had to understand and create a Convolutional Neural Network (CNN) model, which is a type of artificial intelligence that can learn patterns and features from images. Then, we integrated the Streamlit library to build a user-friendly interface for our program. Next, we worked on making sure our program processes images in a way that makes sense for diagnosing diseases like pneumonia. We relied on TensorFlow and Keras libraries to develop and train our CNN model effectively. Finally, we needed to find the right resources, like datasets, to train our model properly. Despite these challenges, we persevered to create a powerful tool that helps healthcare professionals diagnose chest X-ray abnormalities accurately and efficiently.

Accomplishments that we're proud of

We are proud that we developed a tool that assists healthcare professionals in diagnosing pneumonia and empower them to make more informed decisions and provide better care to their patients. Therefor it can lead to increased confidence in diagnosis and treatment plans, ultimately benefiting patient outcomes.

What we learned

In our team of four, we learned the ropes of building a chest X-ray analysis program. We explored creating Convolutional Neural Network (CNN) models, mastered Streamlit for user-friendly interfaces, and innovated ways to process images effectively. Harnessing TensorFlow and Keras libraries, we embraced collaborative problem-solving, while sourcing data resources highlighted the importance of research and data management. Our journey underscored the power of teamwork, adaptability, and mutual support in tackling machine learning challenges together.

What's next for Pneumonia-de.tech

Our plan includes expanding the model's capabilities to diagnose a broader range of diseases beyond pneumonia through further training using machine learning techniques. This extension aims to enhance the tool's utility and impact in healthcare by enabling it to identify various medical conditions from X-ray images with improved accuracy and reliability.
","https://pneumonia-i-hardly-know-ya.streamlit.app, https://github.com/ZMW7/pneumonia",https://vimeo.com/916455268?share=copy,"python, streamlit, keras, teachablemachine, imagetraining, github, tensorflow",,University of Cincinnati,3,Lobby2-32,University of Cincinnati,"I found GitHub incredibly helpful for managing our project and collaborating with my team. It made it easy for us to work on the same codebase without stepping on each other's toes. With GitHub, we could track changes, review each other's code, and stay organized with project tasks and issues. Plus, it gave us peace of mind knowing that we could always revert to previous versions if something went wrong. GitHub truly simplified our workflow and enhanced our teamwork.",""
Best .Tech Domain Name,Pneumonia-de.tech,https://revolutionuc2024.devpost.com/submissions/485155-pneumonia-de-tech,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:51:42,"Inspiration

Pneumonia is a leading cause of illness and death worldwide, especially among children and the elderly. Our project directly addresses this issue by providing a tool that can assist healthcare professionals in diagnosing pneumonia more accurately and efficiently, potentially leading to earlier treatment and improved patient outcomes.

What it does

This project utilizes machine learning to analyze chest X-rays and detect the presence of pneumonia infections, aiding healthcare professionals in accurate and timely diagnosis. Additionally, a website has been developed to showcase the program's usability and accessibility.

How we built it

We used over 5000 chest x-ray images to make a CNN (convoluted neural network) model to classify the x-rays as pneumonia or normal cases. The CNN architecture is designed using the TensorFlow library. We then optimized the hyperparameters for high accuracy (epochs: 100, batch size: 16, learning rate: 0.001).

Challenges we ran into

We faced several challenges while developing our chest X-ray analysis program. First, we had to understand and create a Convolutional Neural Network (CNN) model, which is a type of artificial intelligence that can learn patterns and features from images. Then, we integrated the Streamlit library to build a user-friendly interface for our program. Next, we worked on making sure our program processes images in a way that makes sense for diagnosing diseases like pneumonia. We relied on TensorFlow and Keras libraries to develop and train our CNN model effectively. Finally, we needed to find the right resources, like datasets, to train our model properly. Despite these challenges, we persevered to create a powerful tool that helps healthcare professionals diagnose chest X-ray abnormalities accurately and efficiently.

Accomplishments that we're proud of

We are proud that we developed a tool that assists healthcare professionals in diagnosing pneumonia and empower them to make more informed decisions and provide better care to their patients. Therefor it can lead to increased confidence in diagnosis and treatment plans, ultimately benefiting patient outcomes.

What we learned

In our team of four, we learned the ropes of building a chest X-ray analysis program. We explored creating Convolutional Neural Network (CNN) models, mastered Streamlit for user-friendly interfaces, and innovated ways to process images effectively. Harnessing TensorFlow and Keras libraries, we embraced collaborative problem-solving, while sourcing data resources highlighted the importance of research and data management. Our journey underscored the power of teamwork, adaptability, and mutual support in tackling machine learning challenges together.

What's next for Pneumonia-de.tech

Our plan includes expanding the model's capabilities to diagnose a broader range of diseases beyond pneumonia through further training using machine learning techniques. This extension aims to enhance the tool's utility and impact in healthcare by enabling it to identify various medical conditions from X-ray images with improved accuracy and reliability.
","https://pneumonia-i-hardly-know-ya.streamlit.app, https://github.com/ZMW7/pneumonia",https://vimeo.com/916455268?share=copy,"python, streamlit, keras, teachablemachine, imagetraining, github, tensorflow",,University of Cincinnati,3,Lobby2-32,University of Cincinnati,"I found GitHub incredibly helpful for managing our project and collaborating with my team. It made it easy for us to work on the same codebase without stepping on each other's toes. With GitHub, we could track changes, review each other's code, and stay organized with project tasks and issues. Plus, it gave us peace of mind knowing that we could always revert to previous versions if something went wrong. GitHub truly simplified our workflow and enhanced our teamwork.",""
"Best ""Useless"" Hack",Nonogram Solver,https://revolutionuc2024.devpost.com/submissions/485159-nonogram-solver,Submitted (Gallery/Visible),Pending,Submit,02/25/2024 08:53:39,"Inspiration

According to Wikipedia, ""Nonograms are picture logic puzzles in which cells in a grid must be colored or left blank according to numbers at the edges of the grid to reveal a hidden picture."" I have always enjoyed doing them and they are part of a handful of different mobile games I play to waste time. I thought it would be an interesting challenge to build something that can solve them automatically.

What it does

Solves nonogram puzzles using a CNF style algorithm and a satisfiability solver.

How we built it

It was built in C# to use Google's OR-Tools library. It creates a variable for each cell in the grid. Then, based on the user's inputs, sets what combinations of assignments are allowed for all the variables. Once all allowed assignments are set, the library solves the problem.

Challenges we ran into

It was very difficult to find the right library to use and how to use it. The C# documentation for the OR-Tools library is minimal and made learning to use the library take a long time.

What's next for Nonogram Solver

There are currently no plans to further develop this project. There are a handful of usability upgrades that would be useful, such as reading and writing files for input, a proper UI to interact with, some additional validation and error handling are just a few examples. But I built this project for myself to enjoy the challenge of the problem, which I did.
",https://github.com/IlanSchindler/Nonogram-Solver,https://youtu.be/DYsDkQMr4bc,"c#, or-tools",,University of Cincinnati,0,220-48,University of Cincinnati,I did not interact with any tech beyond my project this weekend,""
