Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Mlh Points Question,Domain.Com Domain Names,Tell Us How Your Experience With Mlhâ€™s Sponsor Technology Went.,Room Number
tone In,https://revolutionuc2023.devpost.com/submissions/394430-tone-in,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 08:30:04,"Inspiration

Our inspiration for tone In was to help users better navigate the often complex and diverse environment of Slack channels. We recognized that users can find it challenging to gauge the tone of a conversation, particularly in busy channels or workspaces with new members constantly joining. We also wanted to provide administrators with a tool to indicate the level of formality of their channels to users.

What it does

We created tone In, a Slack application that uses machine learning and data collection to educate users on the tone of their work and personal environments. By analyzing the tone of each message in a channel using OpenAI's ""davinci"" model, tone In provides users with real-time feedback on their message's formality and professionalism. It also measures each message against an overall channel tone or a tone value assigned by an administrator to ensure consistency.

How we built it

tone In was built using Python and integrates with the Slack API. We used OpenAI's ""davinci"" model to fine-tune our machine learning algorithm and develop our AI-generated responses feature. We also created a gamification feature that ranks the most and least professional users and a visualization feature that sends users a bar graph of top professional users.

Challenges we ran into

One of our biggest challenges was finding suitable documentation for the Slack API that could meet our specific needs. Additionally, having multiple AI models required extensive testing using real conversations from Slack channels, which was time-consuming due to limited token returns per minute. 

Accomplishments that we're proud of

Despite these challenges, our successful implementation of tone In provides users with valuable insights into their tone and helps them communicate more effectively in Slack channels.

What we learned

One of the main challenges we faced was finding good documentation for the Slack API that was tailored to our needs. We also had to test each AI model with actual conversations from the Slack channel, which was time-consuming due to the limited number of tokens that could be returned by the AI per minute.

What's next for tone In

Moving forward, we plan to continue improving tone In by adding more advanced AI models and improving the user interface. We also hope to integrate with other messaging platforms and expand our user base.
",https://github.com/bledsoef/tone-in.git,https://youtu.be/AyOnug-3OKM,Purposeful User Engagement (Fifth Third Bank),"python, bolt, openai, slack, matplotlib, github, pandas",,Berea College,3,Berea College,"","We had a great experience using GitHub at the hackathon! The platform was easy to use and allowed our team to collaborate seamlessly on our project. We were able to create and merge pull requests, track issues, and keep our code organized. Overall, GitHub played a crucial role in helping us complete our project within the given timeframe.",186
Baymer,"",Draft,Pending,Project overview,02/26/2023 09:10:38,"","",,"","",,"University of Cincinnati, Pennsylvania State University",1,"","","",""
Space AI,https://revolutionuc2023.devpost.com/submissions/394476-space-ai,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:24:17,"Inspiration

We took inspiration from one members  interests in AI and simulations and the others interests in game development. This allowed us to combine the ideas into one and be able to split work between the front end and the back end.

What it does

Our program allows a player to define and create their own custom AI using a modular, drag and drop logic graph editor that is custom built using the pyglet library and Python. Once they finish their personal AI, they can save the graph and then proceed to play the game which puts the player up against their own AI in a spaceship battle.

How we built it

We built this using Python and pyglet while also using the Live Share feature of Visual Studio Code to work simultaneously on the same files.

Challenges we ran into

Some challenges involved creating our own custom collision system to detect when a projectile or ship hit one another, constructing a proper menu system within pyglet and working around having multiple scenes, and developing the wiring and drag and drop features of the AI Graph Editor.

Accomplishments that we're proud of

We're very proud to be able to have finished each aspect of our project, especially the AI Graph Editor and how we were able to take those inputs and parse them into an AI network that simulated within our game. Although it's just a start, this concept can be taken much further into the depths of user built AI, especially with its modular design which allows for the graph nodes to be expanded upon and added easily.

What we learned

We learned quite a lot about pyglet as both of us had never used it before and we also improved upon our Python skills. Learning how to create collision from scratch, developing a drag and drop logic editor, and seamlessly linking up the editor, AI, and game gave us plenty of experience and growth in programming.
",https://github.com/CodingPenguin1/RevolutionUCHackathon2023,https://youtu.be/q79nA8NtHUg,"","python, pyglet",,University of Cincinnati,1,University of Cincinnati,"","",Esports conference room / 1st floor
D&RFID,https://revolutionuc2023.devpost.com/submissions/394478-d-rfid,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:25:56,"Inspiration

We took inspiration from RFID/NFC-enabled figures such as Skylanders, Disney Infinity and Amiibos, and realized nobody, to our knowledge, has applied that technology to Dungeons and Dragons despite D&D character minifigures being wildly popular with players of the game. We thought it would be neat if you could store your character's information on the minifigure itself instead of having to keep track of a paper character sheet or paid online subscription service.

What it does

Reads and writes D&D character data to and from an RFID tag attached to a character minifigure. It also provides a dice roller for players of the game to use as an alternative to rolling physical dice.

How we built it

We connected an MFRC522 RFID reader/writer to a Raspberry Pi 3. All of the code was written in Python. Several libraries (Spidev, MFRC522, SimpleMFRC522) go into making the RFID reader/writer work, while we used the guizero library to build the user interface.

The example minifigures were laser-cut in the makerspace downstairs.

Challenges we ran into

The Raspberry Pi libraries we found for the MFRC522 RFID reader/writer module would only read/write one 64-byte sector of the tag, of which 16 bytes are reserved, so we had to condense the character data into 48 characters (i.e. 48 ASCII characters) total.

Only one of us actually was familiar with playing D&D so there was a significant learning curve about the basics of the D&D game system for the others, and we ended up significantly simplifying several aspects of the game and making the system a proof of concept instead of a 100% fully functional game system. We believe we still managed to capture the barebones essensce of what is needed to play a game though.

We also originally also wanted resin 3D printed figures to attach the RFID tags too, but we ended up lasercutting 2D figures when we found out the makerspace had a 3-5 day turnaround time for resin prints.

Accomplishments that we're proud of

It works, and we actually managed to condense the critical character data within our 48 Byte limit. None of use had ever built built a GUI in Python or worked with RFID in Python before.

What we learned

How to read and write data to and from RFID tags using an MFRC522 reader/writer connected to a Raspberry Pi using Python
How to create interactive GUIs in Python with the guizero library.

What's next for D&RFID

Turn the reader/writer into a stand-alone USB device with an Arduino Leonardo that can then be connected to any computer. The Arduino libraries appear to allow for more convenient lower-level manipulation of the RFID tag data, and would enable us to store more data by allowing us to access every sector of the RFID tag's storage instead of just one. This would also let the character app be used on any computer instead of just a Pi running Raspberry Pi OS.
We would also like to make the GUI more polished and user friendly, and print true 3D minifigures in which to embed the RFID tags.
",https://github.com/Nfloc/DND-Infinity-RevUC-2023,https://www.youtube.com/watch?v=comingsoonn,"Best Design Hack, Best Social Impact Hack, Most Useless Hack","raspberry-pi, python, mfrc522, rfid, guizero",,"University of Louisville, University of Cincinnati",2,"University of Cincinnati (x3)
University of Louisville (x1)","",N/A,220-05
Le Cook (230-4),https://revolutionuc2023.devpost.com/submissions/394482-le-cook-230-4,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:28:29,"Inspiration

We wanted to create an app that would potentially cut down on food waste in the world.

What it does

Users can add items they want to use in their ""basket"", then, using the ingredients in the basket the app will return recipes the user can make with them.

How we built it

We used react-native for the app development and a Food API for the data.

Challenges we ran into

Many of us had not used react-native prior to this hackathon so trying to overcome the learning curves it brings was a big hurdle.

Accomplishments that we're proud of

We are proud that we were able to create a working and finished product.  We all learned something new and are proud that we were able to overcome some major obstacles.

What we learned

We all learned about react-native, fetching data via an API and CSS

What's next for Le Cook (230-4)

Being so limited on time, we weren't able to realize all of our ideas.  We definitely want to add a filter to the recipes and provide the users with more nutritional information seamlessly inside the app rather than using a link to view that information. 
",https://github.com/DrewRoach/LeCook,https://youtube.com/shorts/IDFlcK20EtQ?feature=share,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Most Useless Hack, Purposeful User Engagement (Fifth Third Bank), Most Creative Use of GitHub (MLH), Best Use of Clerk.dev","react-native, javascript, css",,"University of Cincinnati, Ohio State University",3,"University of Cincinnati
Ohio State University","","",230-4
BearChat,https://revolutionuc2023.devpost.com/submissions/394492-bearchat,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:46:30,"Inspiration

We were inspired by the lack of personal voice assistant/chatbot for the students of the University of Cincinnati. Something that is UC student-specific would be greatly beneficial.

For example, it could help students navigate the campus, find the locations of classrooms, labs, and offices, provide information about course schedules, grades, assignments, and exams, and answer frequently asked questions about campus life and services.

Additionally, a voice assistant could provide personalized support and guidance to students, helping them stay on track with their academic and personal goals. It could offer reminders for deadlines and appointments, suggest study resources and techniques, provide feedback on assignments and projects, and connect students with academic advisors and support services.

What it does

The BearChat has several features, some of which are:

Campus Navigation: BearChat helps students navigate the campus by providing directions to buildings, classrooms, and offices. It can also suggest the best route to take based on the student's location.

Campus Services: The voice assistant could provide information about various campus services such as the library, counseling center, health center, and career center. It could also help students schedule appointments or connect with the appropriate staff.

Campus Events: BearChat can keep students informed about upcoming campus events such as concerts, lectures, and workshops. It could also suggest events that may be of interest to the student based on their preferences.

Therapy Suggestions: During stressful times, BearChat can suggest resources for mental health and well-being. For example, it could recommend therapy sessions or mindfulness exercises.

Weather Information: BearChat can provide students with up-to-date weather information such as the temperature, humidity, and precipitation forecast for the day.

Music Streaming: BearChat can play music for students, either by suggesting a playlist or artist, or by playing the student's preferred genre or style of music.

Personalized Recommendations: Over time, BearChat learn the student's preferences and suggest personalized recommendations for campus services, events, and activities.

How we built it

BearChat uses NLTK on Python using Tensorflow and Pytorch and is converted to a python web browser using Flask. Along with this, the instances in the Python program use various Google APIs like the text-to-speech API and the weather API. The front-end was created using Flask(Python), HTML, CSS and JavaScript.

Challenges we ran into

We ran into challenges while trying to convert thePython file using Flask as Tensorflow did not seem to be compatible with the pip version we were using. Upon various attempts, we realised that Tensorflow alone wouldn't work so we moved on to using both Tensorflow and Pytorch. 

While running the code, the audio created by the voice assistant does not seem to be sent back to the main HTML. This is a problem we haven't been able to resolve.

Accomplishments that we're proud of

We are proud that we were successfully able to make a chatbot on the back-end side. It was able to run with 99% accuracy. Our front-end looks wonderful too!

What we learned

We learned how to use Flask and Pytorch  and also understood back-end to front-end attachment.

What's next for BearChat

We plan on adding more features to BearChat and providing it with Google Cloud connectivity which will allow it to be personalised based on any UC student. We also want to be able to add more buildings/parking spots on the location services and also name the UC buses that run on the shuttle services. Overall, we want to improve the student experience in relation to our website.
",https://github.com/ArleenMonteiro/BearChat,https://www.youtube.com/watch?v=oz7M1XptE8Q&ab_channel=KartavyaSingh,Best use of Google Cloud (MLH),"tensorflow, google-web-speech-api, google-weather-api, flask, python, pytorch, css, html, javascript, nu, shell",,University of Cincinnati,1,University of Cincinnati,"",We haven't used much of MLH's technology in our projects.,230-2
Parkinson's Companion,https://revolutionuc2023.devpost.com/submissions/394493-parkinson-s-companion,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:47:36,"After four years of volunteering at a retirement home and forming a deep connection with a resident who I watched get diagnosed with Parkinson's recede into her shell, I realized how much symptoms of Parkinson's like loneliness and depression affect patients and how much Parkinson's in general is overshadowed by other neurological conditions. Ruth passed away during the COVID-19 pandemic without saying goodbye and I was not able to provide her the company I used to due to isolation restrictions. Many retirement homes remain understaffed after the pandemic and healthcare workers overworked. That's where our new Alexa skill, Parkinson's Companion comes in. 

Parkinson's Companion is a really smart and kind caretaker, friend, and loved-one all in one. When the skill is activated at time of choice by the retirement home resident, Parkinson's Companion asks the resident about their wellbeing, exercise, whether they've taken their medications, whether they would like to leave a note for their loved ones, directs patients through exercise and mindfulness techniques, and most importantly reminds the resident that they are not alone and are loved. Healthcare providers and family can view these interaction summaries in a website dashboard that we hope to make an EPIC API with in the future, allowing them to monitor and be with the resident at all times (HTML rough draft webpage). Nurses can set text reminders to retirement home residents through our Twilio integration feature.

We used Javascript, HTML, AWS Lambda, Twilio, and Python. With more time and expertise (most of our members had very little coding experience and did not know what an Alexa skill was at the beginning of the hackathon), we hope to enable a menu where residents are given the option to directly call family, have wearable data integration, a journaling feature, and much more. We plan to do this through Mallika's founded nonprofit Parkinson's Together, where we hope to use grant money to further develop our skill and interface! Thank you for your time. 
",https://youtu.be/k9IABiOdx74,https://youtu.be/k9IABiOdx74,"","html5, javascript, python, twilio",,University of Cincinnati,2,University of Cininnati,"","",220
Virtual Sandbox,https://revolutionuc2023.devpost.com/submissions/394495-virtual-sandbox,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 09:50:30,"Inspiration

Other Vr apps created in the past

What it does

It is a VR sandbox

How we built it

using c# and unity

Challenges we ran into

Our original idea not working out the best

Accomplishments that we're proud of

Making a VR app

What we learned

map design and more VR code

What's next for Virtual Sandbox

to try to get back onto our original idea 
","",https://www.youtube.com/watch?v=YLRikJHMDUs,"Most Useless Hack, Purposeful User Engagement (Fifth Third Bank)","unity, c#",,University of Cincinnati,3,University of Cincinnati,"","",238
SharedSight,https://revolutionuc2023.devpost.com/submissions/394510-sharedsight,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:05:50,"Inspiration

SharedSight was designed with the intention of building an explainable AI system that could detect misinformation, but learn to be wrong. As such, SharedSight offers an efficient search platform that will not only identify misinformation, but justify it's decisions and correct itself based on human feedback.

What it does

SharedSight is a search engine for News articles published by HuffingtonPost between 2012-2022, but the system can work with any type of natural language text corpus. SharedSight also identifies misinformation, but it focuses on explaining its decisions with nested semantic search and letting users correct it if it produces incorrect results.

How we built it

I built SharedSight using Co:here text embeddings, FAISS for similarity search using HNSW, and Python to string everything together. Other utilities used were PyTorch, ArgParse, Matplotlib, SKLearn, and more.

Challenges we ran into

Finding a good embedding space to process the text in was quite tricky, as the embedding step is the most crucial step of the process. If the mapping did not produce an embedding that properly highlighted the topology of the topic space, any similarity search we did would be ultimately useless.

Accomplishments that we're proud of

We're proud of the fact that we built a similarity search that runs in near real-time that also can detect misinformation, but it also can identify misinformation and justify its decisions of misinformation. This accomplishment is a big first step I've taken in building explainable and effective AI, and a step that I'm quite proud of.

What we learned

I learned a great deal, especially involving things like Transformer Embeddings, BERT, Dimensionality Reduction using tSNE, Similarity Search with FAISS, Prompt Engineering, and Topic Modelling.

What's next for SharedSight

Some next steps for SharedSight could be finding a smarter embedding space, perhaps one that supports joint image-text embeddings to allow for interchangeable search between articles and images. Additionally, the system could be made to be decentralized, which could be an active area of research worked on by students at UC soon. The system could also be integrated into web-apps or other utilities, hosted using a Flask/FastAPI webserver or integrated with other systems like ElasticSearch. Finally, this system could be used with a larger text corpus, as it only uses 2k text samples of the 201k text samples in the Huffington Post Dataset.
",https://github.com/arnavkomaragiri/shared-sight,https://youtu.be/7QOTKcFSuyw,"Best Educational Hack, Best Social Impact Hack, Purposeful User Engagement (Fifth Third Bank)","python, co:here, faiss, ml, dl, natural-language-processing, hnsw",,"",0,University of Cincinnati,"","",210A-3
What the Flip,https://revolutionuc2023.devpost.com/submissions/394511-what-the-flip,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:09:54,"Inspiration

We would like to learn how to program for website, iOS and Android using Flutter, while incorporating Twilio's Communication API

What it does

Allowing the user to flip a card and reveal the result of the card from the 52-card deck

How we built it

A website, mobile applications built using Flutter, Dart for Android, iOS, web.

Hosts on: whattheflip.tech by domain.com.

Include: Twilio's Communication API for Messaging.

Details: The user sends a message to Twilio's number to start the game, the result from ""Flip the Card"" will be read by Twilio's API, it will then process the result and send an appropriate message based on the card to the user based on the foundation of Cartomancy.

Challenges we ran into

This is our first time using Flutter, Dart and Twilio so we have had a lot to learn.

Accomplishments that we're proud of

We are proud that we know more how to program for website, iOS and Android with less resources and as fast as we could

What we learned

Stateless widget, stateful widget, Dart programming language, setting up Flutter development environment in Visual Studio Code, how to wrap widget, how every components of Flutter and the app is a widget. 

What's next for What the Flip

Expand features, allowing the user to have their card read and output a personalized message based on the basis of Cartomancy
",https://github.com/dunguyenforever/What-the-Flip,https://youtu.be/KcB64PhfYTM,"","flutter, twilio, domain.com, dart, html, css",,University of Cincinnati,1,University of Cincinnati,whattheflip.tech,"",462
Useless Button,https://revolutionuc2023.devpost.com/submissions/394512-useless-button,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:10:09,"Inspiration

wanted to do something fun and learn the basics of javascript, html, and css

What it does

An unclickable button to waste time using 

How we built it

a simple javascript backend and very simple frontend

Challenges we ran into

having never programmed in javascript, html, or css
",https://github.com/mansourem/useless_buttons,https://www.youtube.com/watch?v=dQw4w9WgXcQ,Most Useless Hack,"javascript, html, css",,"",0,University Of Cincinnati,"","",210A-5
Finance invaders,https://revolutionuc2023.devpost.com/submissions/394514-finance-invaders,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:18:19,"Inspiration

Managing your finances is a very boring task. Since, It is such a boring task it is usually ignored and placed on the backburner due to that exact reason

What it does

Finance invader is a fusion between boring Finance management and fun space invaders. Combining the two makes your favourite finance tracker and since its so fun it encourages you to do your finances 

How we built it

We used Python to manage the backend data management was done with CSV HTML, CSS and JS was used to make the front end the frame work we used was flask

Challenges we ran into

Time constraints were the biggest challenge we ran into since none of us had experience in the languages it took us longer than we anticipated to write the working code

Accomplishments that we're proud of

Finishing a somewhat working prototype of our idea was something we are proud of. Going through with the idea and finishing the prototype even when we were low on motivation was also something we looked fondly at now that we are done

What we learned

CSS, HTML, JS, CSV and data management  

What's next for Finance invaders

Finishing up the Alpha for finance invaders and making a final working prototype
","",https://youtu.be/UtJT8n4T6a8,"Best Design Hack, Best Social Impact Hack, Purposeful User Engagement (Fifth Third Bank)","python, html, css, javascript, flask, csv",,University of Cincinnati,0,University of Cincinnati,"","",468
Spotify Notifier,https://revolutionuc2023.devpost.com/submissions/394515-spotify-notifier,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:18:59,"Inspiration

We were inspired by Spotify themselves. While Spotify already has this functionality, it often is hard to find and more often than not doesn't send out notifications for singles or anything other than albums. We wanted to fix this by making it obvious that your favorite artists have dropped a new track.

What it does

Sends a text message to your phone when one of your followed artists drops a new track.

How we built it

We used Spotipy and Twilio.

Challenges we ran into

We ran into some varying issues, such as Spotify Authentication, Twilio message limits, and broken API stuff.

Accomplishments that we're proud of

Building something that works.

What we learned

How Spotify works, Python, APIs, and Twilio.

What's next for Spotify Notifier

Improved functionality to send notifications about upcoming music, podcasts, or suggestions every week using a different AI than Spotify to recommend content that may fit your interests better.
","",https://youtu.be/_1I2zKZ0fTw,"Most Useless Hack, Most Creative Use of Twilio (MLH)","twilio, python, spotify",,University of Cincinnati,0,University of Cincinnati,musicnews.tech,Very good,None
Exam Study App,https://revolutionuc2023.devpost.com/submissions/394518-exam-study-app,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:21:11,"Inspiration

I am currently studying for the FE exam as a 5th year Civil Engineer and there was no tools available for me to aid me in my studies and keep me consistent for 10-15 minutes per day over a few months.

What it does

My app utilizes a duoling-style approach to help engineers study for the FE exam for 10-15 minutes per day. Taking them over all the required units for the exam over a selected amount of time that is determined upon registration and is easily changeable.

How we built it

As a civil engineer, I did not have much prior experience in coding. I learned how to use react native and expo to develop and test this app. I was able to get 2 screen working and the process of integrating a custom-button to my app.

Challenges we ran into

I did not like the standard button that came with react native so I created a separate custom-button to go along with my app. This was my first challenge and truly taught me how that is even done and how to import a file that I created and use it in my app. The second challenge was making two screens and the process of tracking the screen that the user is on. 

Accomplishments that we're proud of

I am proud to have even something to look at after the weekend that is somewhat working as intended thus far.

What we learned

I learned syntax for react-native,  JS, how to use expo, how to create a custom button, and how to make multiple screens.

What's next for Exam Study App

Whats next is to add a user profile, fix the UI, implement actual study questions and provide solutions.
","",https://www.youtube.com/watch?v=gYLMo0kLeiQ&feature=youtu.be,"","react-native, css, expo.io",,University of Cincinnati,0,University of Cincinnati,"","",LOBBY-7
Life path game,"",Draft,Pending,Project overview,02/26/2023 10:21:35,"","",,"","",,University of Cincinnati,0,"","","",""
ISS Tracker,https://revolutionuc2023.devpost.com/submissions/394523-iss-tracker,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:29:32,"Inspiration

From a young age, my colleague and I have been interested in all things astronomy. As newbies in the web development space, we wanted to create a project that would teach us new skills we can expand on in the future. 

What it does

Our project request's the user's precise location to display on a map along with the current location of the International Space Station.

How we built it

We used HTML and CSS to create our page, along with JavaScript to handle the application logic. To show a map on the page, we used Leaflet, an open source JS library for interactive maps. Displaying the current location of the ISS was accomplished with an request to Open Notify's ""International Space Station Current Location"" API via jQuery.

Challenges we ran into

Given our limited web development experience prior to the event, we had some brief difficulties with properly requesting information from the API.

Accomplishments that we're proud of

In a short period of time, we were able to learn a handful of new web development skills and leverage them to build a website with useful and interesting functionality for an end user.

What we learned

Throughout our work on this project we learned to allocate our time more effectively and manage the scope of our ideas/development. We also came to realize that despite the wealth of information available to us, problem solving isn't typically as simple as Googling. Adaptability and improvisation are key.

What's next for ISS Tracker

In the future we aim to rebuild the project with React Native to create a more appealing UI. Additionally we would like to implement more API requests to provide more metrics on the ISS including the astronomers currently on the station.
","",https://www.youtube.com/watch?v=wfT2xjiQfFY,"","html, css, javascript, jquery, leaflet.js, iss, api",,University of Cincinnati,1,"Saif Bayyari - University of Cincinnati
Abdur-Rahman Wafa - Lewis University","","",2310-10
TDT,https://revolutionuc2023.devpost.com/submissions/394528-tdt,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:43:38,"Inspiration

Transportation Planning is one of the most challenging jobs due to a complex fusion of traffic and infrastructure data. Particularly, transit buses route planning is harder as there are multiple routes passing through common stops bi-directionally. To make transit planning easier and more efficient, we propose a digital twin. 

What it does

Transit Digital Twin (TDT) will provide a seamless front-end for transit planners to view the real-time transit bus movement in a city or county or even at a given intersection. TDT will have interfaces to fuse other traffic data sources such as crash reports, real-time sensor data from traffic cameras and traffic signal controllers, work-zone information etc. TDT will also support all the vehicle-to-everything (V2X) messaging formats so transit planners and navigate through transportation network efficiently.

How we built it

We used General Transit Data Specification (GTFS) (Google, 2006) from Cincinnati Go Metro public data. We created a database using PostgreSQL to consume the large route/ trips dataset and built the relationship between all the files available in GTFS data feed. 

In the back end, we used FastAPI + SQL Alchemy to consume the data and API end points to expose the data. We used React to create a front end application with deck.gl as the graphic library. 

Challenges we ran into

Understanding complexity involved in GTFS data and to further clean the data for this project has been the most challenging issue we have solved in this project. Creating the link between database and backend has also been a significant challenge that kept us working through the night. 

Accomplishments that we're proud of

Our major accomplishment in this project is being able to use deck.gl graphic library and create a front-end to display transit bus movements in Cincinnati Metropolitan area.

What we learned

Great learning and also one of the best wins in this project is when we realized that we were stuck because PostGIS extension should be manually enabled for the database before we input the GTFS data.

What's next for TDT

We would like to scale the existing TDT digital twin to add plug ins for real-time transit data using protocol buffer, AI powered data insights, create standardized messages for V2X and IoT sensors, signal controllers, and crash/crime databases. This will create a smart digital twin that traffic agencies can use to help improve the safety of our transportation and also plan sustainable transit. 
",https://github.com/VaishakHolla/mlh_proj,,"","postgresql, python, fastapi, react, deck.gl, primereact, powerbi, github",,University of Cincinnati,3,University of Cincinnati,transitdigitaltwin.tech,GitHub has been very helpful to track the code changes between team members.,210A-4
American Sign Language,https://revolutionuc2023.devpost.com/submissions/394529-american-sign-language,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:45:52,"What it does

We are here to supply the most convenient and helpful tools for the community to help advance education and awareness. Users will grant exposure to Sign Language which is used to communicate with people with hearing and talking disabilities. Along with some programs with a diversity of topics that are related to life and surroundings, users can also practice them by testing and searching them with the convenient search engine.

How we built it

We aim to create the most accessible and user-friendly website to assist people with disability. Therefore, we use React.js to build it.

From the start of this idea, our team had some struggles with learning to have a deep understanding of sign language. For the technical section, we had difficulty building a website that can be available for both disabled people and other people. For the business and development section, we had to research a lot about the sign language websites as our competition to find out the right pathway and realize our potential development in the long term of our website to test its application, availability, and efficiency. After 24 hours, we basically turned our original idea into a product. We are all proud of ourselves because of trying hard to collaborate and discuss creating the demo of the website, prototype, and business research. We learned a lot about the value of community and our responsibility of connecting and developing the community. We will try to improve our website to be more friendly-user and available to larger user segments by designing structures and varying the contents and improving the translation section in our website.
","",https://youtu.be/fB8eq_CCA7g,"","react, javascript, node.js, express.js, mongodb, cloudinary, canva, mediapi, tensorflow",,University of Cincinnati,3,University of Cincinnati,"","",220
EtsUC,https://revolutionuc2023.devpost.com/submissions/394531-etsuc,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:50:34,"Inspiration

Etsy, Pinterest, Facebook Marketplace, etc.

What it does

It's an online thrift store.

How we built it

Mostly with HTML, with some CSS for style.

Challenges we ran into

Relearning HTML, Communication, the sheer complexity of this project

Accomplishments that we're proud of

Relearning HTML, developed communication skills, conquering the sheer complexity of this project

What we learned

HTML, CSS, Git, GitHub, etc

What's next for EtsUC

Maybe presented to dean after final adjustments to become a real online thrift store for UC, then other universities later.
",https://github.com/aau8996/EtsUC,https://www.youtube.com/watch?v=dQw4w9WgXcQ,"","html, css",,University of Cincinnati,3,University of Cincinnati,"",Great,230-11
Ditto,https://revolutionuc2023.devpost.com/submissions/394537-ditto,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:55:20,"Inspiration

We got inspired because people spend so much time taking boring meeting notes, we want to save that hassle.

What it does

Ditto records live speeches and converts them to text. It also provides users with many export options including speech summarization (coming soon).

How we built it

We built it with angular and some node.js was set up but we never got to it.

Challenges we ran into

We ran into a lot of trouble with the live voice transcription. The transcription had to be real time and fast which is a lot more difficult than we thought. We were able to get it working and detect periods/pauses.

Accomplishments that we're proud of

We learned a lot about angular and even sending large amounts of data between components. We are all new to this sort of project so it was interesting to learn ""how to learn"". Understanding large documentations was such a battle even though we didn't finish everything.

What we learned

We learned how to create a very functional web app and understand technologies from documentations.

What's next for Ditto

Not sure, maybe we will finish the summarization AI.
",https://github.com/sukhbirsekhon/Ditto,https://youtu.be/iIksphSFmbw,"Best Educational Hack, Purposeful User Engagement (Fifth Third Bank)","angular.js, html5, css3, javascript, typescript",,University of Cincinnati,1,University of Cincinnati,n/a,It went well. I liked the food and drinks.,466
Robotic Revelations,https://revolutionuc2023.devpost.com/submissions/394540-robotic-revelations,Submitted (Gallery/Visible),Pending,Submit,02/26/2023 10:57:05,"Inspiration

This project was inspired by the vast toolkit of different data visualizations we had available to us to display information. We are both very fascinated by data visualization and education and wanted to integrate the two in our project.

What it does

We brought together 3 different means of data visualization. The first is a pie chart which ultimately shows nothing valuable aside from a lesson illustrated the inequality of data visualization. Second is an overlapped line plot showing the difference between sensor data and target data for a given joint across time. Our innovative visualization incorporated this overlapped line plot and made for more interaction between the user and the graph model.

How we built it

We used the well-known Python framework, Dash for this project to deploy the site which contains our information. Graphs were created using MATLAB and Plotly.

Challenges we ran into

Neither of us have very much experience with frontend programming so that presented the bulk of our difficulties unfortunately. We also had originally planned for a 3D opaque model displaying velocities on the robot's blueprint.

Accomplishments that we're proud of

We are definitely proud of the idea and thought process we had gone through to get to the solution we thought up. We tried our best to get the frontend to work the way we had envisioned but ultimately could not. We are proud of the work we put in and learned so much in that process.

What we learned

Definitely picked up a lot about data visualization and frontend programming. Much of what was abstract and mysterious to us before seems now to be simpler and manageable.

What's next for Robotic Revelations

The frontend will definitely need some touching up on and we would love to see this project optimize on the user interface for robotics testers to take inspiration from or utilize in their own work.
","",https://youtu.be/rVGXMu4eM08,"Best Educational Hack, Most Useless Hack, Best Use of MATLAB (MLH), Robotic Data Visualization (Kinetic Vision)","python, dash, matlab",,"University of Kentucky, University of Cincinnati",1,"University of Cincinnati, University of Kentucky","","",Room 220
