Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Table Are You At?,Mlh Points,Mlh Software Lab,Mlh Hardware Lab
Mind The Gap,https://revuc-vii.devpost.com/submissions/89800-mind-the-gap,Submitted (Gallery/Visible),Pending,,03/04/2018 11:23:29,"Inspiration

We were inspired to create an app that would increase mindfulness and positivity. Oftentimes people get stressed and become negative through the busyness of life and the portrayal of the world through media. We wanted to build an app that would allow others to journal about what good happened to them today and what good they did that day. Users would then be able to view what others have written anonymously. 

What it does

It is an app that is connected to a database. Currently, all it does is allow the user to type in what they would like to write and then swipe to a page that would have what others have written. 

How we built it

We used React-Native to build this app. 

Challenges we ran into

Integrating with a database was a pain and took much of our time. The error messages presented on the screen were also not very informative as to what the problem was. 

Accomplishments that we're proud of

While we don't have much, we did learn how to create a basic application in React. This was overall a great ( and frustrating ;) ) learning experience. 

What's next for Mind The Gap

To have the database also syncs with a remote database and be able to have multiple users be able to see updates in real time. We would also like to work on the interface and have the design be more user friendly. 
",https://github.com/johnsonwe/mindthegap.git,,Best Useless Hack,"react-native, android",,Berea College,2,860B-2,Berea College,"",""
Satellite Chasers,https://revuc-vii.devpost.com/submissions/89803-satellite-chasers,Submitted (Gallery/Visible),Pending,,03/04/2018 11:24:04,"Inspiration

Each member of Satellite Chasers is a member of the UC CubeCats (http://uccubecats.org/), an undergraduate student organization dedicated to the education of members through the construction of Cube Satellites, and High Altitude Balloons. We wanted to learn more about antenna design, and construction and how satellite communication works. This will aid us in designing a ground station to communicate with our satellite Project Leopard that will be launched into Orbit within the next few years.

What it does

Our Omni-directional double cross antenna receives signals on the VHF frequency band at around 137 MHz. The antenna is constructed of steel cable, copper fittings, and COAX cable all made for under 35 dollars. 

How we built it

The antenna was constructed by mounting quarter wavelength steel dipoles on a wooden support structure and then connecting them to 4 coaxial cables that were then connected to a computer via SDR#.

Challenges we ran into

The largest challenge that the group overcame was adjusting the sampling rate of the system to that of each individual satellite that flew over. Furthermore the cross connection of the quarter wavelength steel dipole antennas and splitting of the coax cables was a challenge. There were no wire strippers available to strip, and disassemble 3/8"" coax cable so a new process had to be created to strip and separate the core and conductive shielding or the cable. 

Accomplishments that we're proud of

As a team we are proud that we were able to sample images from a NOAA weather satellite for under 35 dollars. The team worked extremely well together and was able to prototype and build the antenna within 12 hours of the start of the hackathon.

What we learned


How to calculate and design an antenna for proper gain of a desired frequency
How to use SDR# to trans-code images from an analog signal
How to decode a wav audio signal from a satellite into a static image


What's next for Satellite Chasers


Automation of a control system to sample satellites without a human user to initialize satellite contact (beacon signal for connection).
Apply the knowledge learned from the project towards the completion of the UC CubeCats ground station that will be used to communicate with satellites in Low Earth Orbit (LEO) over VHF and UHF frequency bands.
Design an antenna for use at higher frequencies and possibly communicate with Geo-Stationary Satellites

","",https://www.youtube.com/watch?v=55zyem2PHWg&feature=youtu.be,TCS - Best Hardware Hack,"hardware, wxtoimg, sdr#",,University of Cincinnati,3,801-7,University of Cincinnati,"",""
LowDiskReader,https://revuc-vii.devpost.com/submissions/89807-lowdiskreader,Submitted (Gallery/Visible),Pending,,03/04/2018 11:30:54,"Inspiration

I wanted to make software which does not have dependencies and the code i have is all the code.

What it does

It contains methods for printing text numbers and errors codes from disk reads.

How I built it

I used nasm to build it.

Challenges I ran into

The code ran into some errors that are unknown.

Accomplishments that I'm proud of

It runs pretty good

What I learned

I learning how to build a program on top on the x86 architecture independent from any libraries.

What's next for LowDiskReader

I want to rework the disk reading to work so i can work with more memory instead of working with the initial 512 bytes of memory. Then make a basic DOS OS with all basic library functions an OS has.
",https://github.com/ryoung9550/ucRevProject/blob/master/bootstrap.asm,,"",assembly,,University of Cincinnati,0,801C-2,University of Cincinnati,"",""
Heart Disease Risk Assessment,https://revuc-vii.devpost.com/submissions/89808-heart-disease-risk-assessment,Submitted (Gallery/Visible),Pending,,03/04/2018 11:31:04,"Inspiration

We are interested in machine learning and would like to pursue a career in ML or data science. Because of this, we decided to try implementing some sort of prediction model for a disease which is heavily influenced by certain lifestyle risk factors and could help early intervention in hospitals. We thought heart disease would be perfect for this purpose because it is the number one cause of death in the world and has many preventable factors.

What it does

It uses 270 samples (we could also incorporate an additional 303 which we have been using for testing) to train a model for heart disease prediction based on 13 different factors recorded on hospital admission. It provides an interface for health care providers to enter in data about the patient and obtain a suggestion of whether or not to consider screening/intervention.

How we built it

We used the markov learning network package _ tuffy _ to structure the first order logic of our world and the rules within it. We then tested on our expected weights, and got an accuracy of 67%. We used tuffy to reevaluate our weights and tested again to get an accuracy of 89% on the other 303 samples set aside for testing (we believe however that there may be significant crossover with the 270 sample dataset). Using a 5 k-fold cross-validation we obtained 80.7% accuracy. Finally we tried out a learning ensemble with 100 instances of randomly aggregated MLN models to obtain 82.6%. This was only slightly better than the cross-validation and took many hours to train, so we believe that using a learning ensemble with this problem is not enough gain for the cost. After doing these analyses of our data, we created a front-end to our functionality to allow a user to input health data and assess whether or not the individual is at risk and should take precautions/screening.

Challenges we ran into

It took us a lot of time to accurately model the data into a set of rules and weights and we needed to research and learn a lot about heart disease. In addition, we had to ensure the correctness of the dataset and make sure we fully understood each column. The learning ensemble was also a bit difficult to implement due to scalability reasons, which lead us to shift focus because it seemed impractical.
We also were unable to implement blood pressure because the data was possibly incorrect and negatively affected the accuracy. This is disappointing because blood pressure seems like it could be a very useful piece of information to predict heart disease.

Accomplishments that we're proud of

We were very pleased with the accuracy we were able to obtain. Over 80% was great to us and we believe it could possibly even be improved with more analysis.

What we learned

We learned about Markov Logic Networks, first order logic and learning ensembles, as well as the risks related to heart disease. We also each had different skill-sets coming in, so it was very helpful to learn off of each other instead of learning these things by the books.

What's next for Heart Disease Risk Assessment

The accuracy could possibly be improved by assessing the importance of each feature/predictor. We could also improve the running time by storing the models instead of generating them on runtime. We generate the model because the user can omit certain data in their query, in which case the model needs to be generated differently. We can get around this by storing every possible model and using that data instead of generating, because memory is relatively cheap.
","",,JP Morgan Chase & Co. - Best Hack for Social Good,"tuffy, python, bash",,Ohio University - Main Campus,1,860D-2,Ohio University,"",""
eyeRoom,https://revuc-vii.devpost.com/submissions/89809-eyeroom,Submitted (Gallery/Visible),Pending,,03/04/2018 11:33:02,"Inspiration

We're a part of our school's local ACM chapter. We have a club room that people hang out in during the day and into the night. It serves as a hangout spot, a study spot, and a club social outreach center. There's a problem when you have a large organization and a small room, though. Sometimes people come in wanting to study and find it jam packed full of people. Other times people come into the room expecting to hang out with their friends only to find the room empty! Sometimes members are only looking for specific other members while trying to avoid particular people. 

We decided an automated solution to this would save us some hassle.

What it does

Using opencv, running on a raspberry pi with a webcam, we capture images of a room and determine the number of individuals in the room. The image of the room and the meta data is then pushed to a firebase server. A telegram bot can be used to access the server and report to users the status of the room.

How we built it


opencv + raspberry pi w/ camera for image processing of the room.
firebase database for storage of data
python telegram bot for user interface


python-telegram-bot
pyerbase

dynamic webpage for user interface


html5
css
javascript
firebase



Challenges we ran into


Amazon lambda and Amazon Alexa skills turned out taking a longer time than expected to get working.
Compile time and network conditions slowed progress.


Accomplishments that we're proud of


We stack cups really well.
A health amount of code was finished within the first 12 hours, compile times delayed the remaining portions.


What we learned


Opportunity to work with new languages and packages.


What's next for eyeRoom


Integrate Alexa skills as another form of user interface.

","https://github.com/therobotcarlson/eyeRoom, https://github.com/therobotcarlson/eyeRoom/tree/gh-pages",,"Best Useless Hack, TCS - Best Hardware Hack, Amazon Web Services - Best Use of AWS","python, opencv, raspberry-pi, telegram, amazon-web-services, firebase, node.js",,University of Kentucky,3,801G-5,University of Kentucky,AWS,Amazon Echo
Electronic Music Maker,https://revuc-vii.devpost.com/submissions/89812-electronic-music-maker,Submitted (Gallery/Visible),Pending,,03/04/2018 11:36:40,"Electronic Music Maker

What it does

The Electronic Music Maker can make electronic music sounds that are used to create electronic music.  The interface for this is turning the knobs and buttons on the board.

How it works

There is an Arduino that is used to generate sounds and drive a speaker using PCM.  The sounds are generated by turning the knobs on the board. 

What the knobs do (from left to right)

1) Control frequency
2) Control delay in between notes
3) Control length of notes
4) Control range of frequencies.
",https://github.com/Tyler-Hilbert/Music-Maker,https://vimeo.com/258503035,"Best Useless Hack, TCS - Best Hardware Hack",arduino,,University of Cincinnati,0,801B-2,University of Cincinnati,"",""
Some Kind of Clock,https://revuc-vii.devpost.com/submissions/89813-some-kind-of-clock,Submitted (Gallery/Visible),Pending,,03/04/2018 11:38:18,"Inspiration

My group and I thought it would be fun to make an alarm clock that does more harm than good to the user

What it does

Not much right now, it's mostly just a clock

How I built it

Originally with C++ and a time library, but now with the Qt Framework

Challenges I ran into

Group issues, and obtaining the necessary building materials

Accomplishments that I'm proud of

Fixed a bug with Qt that prevented me from using it

What I learned

Pre-Planning a project with a group would've been a much better idea. I learned a lot about the groundwork of app/software development with a GUI

What's next for A Form of Clock

Probably the recycling bin, than learning more about the Framework that built it.
","",,"","c++, qt",,Ohio University - Main Campus,0,860B-4,Ohio University,"",""
Vitamin-Cynth,https://revuc-vii.devpost.com/submissions/89819-vitamin-cynth,Submitted (Gallery/Visible),Pending,,03/04/2018 11:50:06,"Inspiration

What if you could play music with fruit?

What it does

It allows you to play music with a fruit-based keyboard.

How we built it

We built it with an Arduino, a capacitive touch board, and fruit.

Challenges we ran into

Real-time audio can be a challenge, especially using embedded boards.

Accomplishments that we're proud of

You can play music by touching fruit.

What we learned

Capcitive touch, real time audio, tone generation.

What's next for Vitamin-Cynth

Generate sine and sawtooth waves, in addition to square waves. Allow user to modulate the pitch in real time. Change octaves up or down.
","",,Best Useless Hack,"arduino, fruit",,University of Cincinnati,0,801A-1,University of Cincinnati,"",""
Delicious Dishes -860B-5,https://revuc-vii.devpost.com/submissions/89820-delicious-dishes-860b-5,Submitted (Gallery/Visible),Pending,,03/04/2018 11:50:25,"Inspiration

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Delicious Dishes
",http://www.deliciousdishesapp.com,,"8451 - Make the Customer's Life Easier, Best Domain Name from Domain.com","android-studio, html",,University of Cincinnati,3,860B-5,University of Cincinnati,"",""
while(i<= 6Â°) { friend = friendOfFriend },https://revuc-vii.devpost.com/submissions/89855-while-i-6-friend-friendoffriend,Submitted (Gallery/Visible),Pending,,03/04/2018 12:03:19,"Inspiration

You meet a stranger on street but you seem to know them from somewhere. Won't it be awkward if you don't remember their name? - This AR application will help you avoid this situation

You are walking down a street and feel you are alone and in a foreign land, but really are you? There are people related to you by some mutual connections everywhere.

link

What it does

We use Samsung's GearVR to access the augmented reality to identify in real-time how the person is related to you. It also shows the shortest path of your connection (example : friend of a mutual friend). It scans the environment and calls the machine learning API for facial recognition. Which maps the person to the database collected from popular social networks like LinkedIn, Instagram, Facebook to say how they are related to you.

How we built it

Use used the gearvr API's to write an android code which captures the images and calls the backend java spring code for image conversion. The java spring backend internally calls the python machine learning API's to recognizes the faces and query a mongodb database to identify which user is this and how its related to the user who submitted the query.
We are currently using BFS for traversing the nodes in the database to identify the path between two users

Challenges we ran into

One of the major challenge was the exploration of uncharted territories in GearVR api due to lack of documentation and also machine learning API for facial recognition. Another issue we faced was conversion of a steam of bytes from android to a image suitable for recognition. 
Implementing the DLIB cross platform software library for image processing and facial recognition.

Accomplishments that we're proud of

Implementing GearVR API.
Machine Learning API for facial recognition.
Constructing a middleware in java spring which communicated between the AR and machine learning API.
Querying MongoDB to retrieve appropriate results

What we learned

The exploration of GearVR API's and choosing the right gear for implementing the augmented reality.
The machine learning concepts of how images as a byte stream can be used to recognize facial features.
Optimization of queries in MongoDB.
How to collaborate with team of different technology stack and integrate our work.

What's next for while(i<= 6Â°) { friend = friendOfFriend }

The concept can be used for natural disaster recovery where the people can find their relatives and make sure they are okay in case of emergencies. It brings solace and peace of mind.
This concept can also be used to find overcome and prevent criminal activities by police authorities using it to recognize threats.
Security surveillance in case of crowded places. 
","https://github.com/abhimanyuchadha/VR_People_Connection, https://github.com/srinivasrk/AndroidVRApp/tree/master/template/GVRFApplication-MLH",,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack, TCS - Best Hardware Hack, Amazon Web Services - Best Use of AWS","python, augmented-reality, android, java, spring, oculus-gear-vr, amazon-web-services, neural-networks, face-recognition, mongodb",,"University of Cincinnati, Georgia Institute of Technology - Main Campus",3,801G-2,University of Cincinnati,AWS,Samsung Gear VR
Willow,https://revuc-vii.devpost.com/submissions/89859-willow,Submitted (Gallery/Visible),Pending,,03/04/2018 12:07:13,"Willow

UC Hackathon

Description

Do you ever forget about after-school events and activities? Do you consistently get frustrated with the lack of organization for your events?

Enter Willow: a program that connects all of your after-school activities in a central location.

This program gives you an overview of all of the after-school activities you have and when they occur. They allow clubs and their leaders to send messages and reminders to members. A calendar overview allows people to see what events they have in the future.

The life of a student is already stressed from an excess of activities and tests. This program would relieve some of the uncertainty in a student's everyday life.

The app is also streamlined from a data perspective. We utilized the Google Sheets API so that club data would be stored in easily changeable spreadsheets. Club leaders can also use Google Forms to input data, and we handle the processing.

Languages/Libraries/APIs

Java, JavaFX, Jfeonix, Google Sheets API

Challenges

We had a near infinite amount of challenges with our project. We all have really never used GitHub at the same time before, leading to a countless amount of merge errors and lost work. We also learned JavaFX, which took up the largest amount of our time. Writing complex GUIs caused tons of errors and wasted FXML files as we had to restart several times. We also realized that half of us were on Java 1-9, not Java 1-8, thus causing errors as methods didn't exist. This wasted more time as the download speeds were not optimal. Finally, the Google Sheets API was harder to implement than we anticipated. While guides did exist, these did not work and we had to write a few custom classes to interpret, read, and parse the data correctly.
",https://github.com/MJVL/Willow,,"Best Education Hack, Best High School Hack","java, google, google-spreadsheets",,"",1,860D-7,William Mason High School,"",""
BudgetBuddy,https://revuc-vii.devpost.com/submissions/89866-budgetbuddy,Submitted (Gallery/Visible),Pending,,03/04/2018 12:12:14,"Inspiration

So the inspiration of the this app was from a cumulation of group interests. Two of us came in the desire to code while the our other group member came from a desire for financial tracking, while cumulated perfectly into a budget tracking app.

What it does

Our app mirrors of a mobile pay application, except for the fact that it tracks those transactions and leaves the user to review them. It the takes these reviews into an account to better suggest a budget for the next month, with negativity reviewed transactions getting partially dropped from the budget.

How I built it

The application was built in XCode, using the swift coding language, accomplished through Youtube, the mentors, and group problem solving among our members.

Challenges I ran into

The main challenges were consistently managing the new syntax, more specifically implementing a sliding user-interface (which was never accomplished).

Accomplishments that I'm proud of

Developing an app in an unknown language within such a sort period of time, along with a overcoming many bumps along the way. 

What I learned

Swift.  All members were forced to learn the language from scratch, which offered a great achievement beyond building the app as everyone gained greater knowledge of a new language.

What's next for BudgetBuddy

Whats next would be achieving a seamless feel in between banking, budgeting, and living as well as creating a system that would allow its users to put in savings or to charity on top of each purchase, with an end goal of being offered along with a major banking company.
",https://github.com/jakeocinco/BudgetBuddy-REVUC,,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution, 8451 - Make the Customer's Life Easier","swift, cocoapods, github, youtube",,University of Cincinnati,1,801-13,"University of Cincinnati, Ohio University","",""
Smart-Calendar,https://revuc-vii.devpost.com/submissions/89876-smart-calendar,Submitted (Gallery/Visible),Pending,,03/04/2018 12:20:55,"Inspiration

For this hackathon we've decided to create a personalized wall calendar that interacts with you personalized google drive by accessing your data and photos. We decided to go with this app to help keep track of family appointments with personalized pictures for everyone to  enjoy

What it does

This calendar will update with your phone calendar to your wall calendar so you and your family can keep track of each others meetings and appointments!

How we built it

We built this application using python, google api console, and google oauth authentication protocols. We uploaded all of our code with github, and integrated it with our snapdragon board.

Challenges we ran into

The biggest challenges we ran into were troubles connecting the snapdragon board to the internet to get our calendar files, also populating a grid with dates in the appropriate spaces alongside populating each box with the appointment and dates in a well-spaced manner.

Accomplishments that we're proud of

We are very proud of creating a functional application that updates in real time with your google drive calendar within the day time limits.

What we learned

We learned how to get information for a Google drive api, learned how to create a calendar gird in python and populate with parsed inputs, we also learned how to integrate with the snapdragon board.

What's next for Smart-Calendar

we would like to have an easily switch-able calendar and to add events directly from the wall calendar to phone.
",https://github.uc.edu/beckerau/calander,,"JP Morgan Chase & Co. - Best Hack for Social Good, TCS - Best Hardware Hack","dragonboard, snap-dragon, python, google-drive-api, google, oatuh2, anaconda, google-calendar, google-calendar-api",,University of Cincinnati,2,801A-3,university of cincinnati,"",DragonBoard 410C
Alexa secretary,https://revuc-vii.devpost.com/submissions/89884-alexa-secretary,Submitted (Gallery/Visible),Pending,,03/04/2018 12:24:28,"Inspiration

What it does

How we built it

Challenges we ran into

Working with 3 different languages was difficult. Just trying to convert the google doc to a useable database in python was hard, but getting the hang of Alexa took the entire 24 hours. 

Accomplishments that we're proud of

Getting an actual skill to work with Alexa. Even though it's slightly handicapped by the modules I used to work with Alexa it still works.

What we learned

Started out rough in python with no experience in JSON or ever touch amazon web services or the Amazon Alexa. Now I have learned how painful it can be working with Alexa, trying to get here to communicate the way you want her to. However, I have learned a lot about Alexa and I am interested in finding better ways to improve what I have started.

What's next for Alexa secretary

More integration with the app and hopefully being able to send actually contacts to your phone
","",,"Fifth Third Bank - Best Fin Tech Solution, Best Useless Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS","python, amazon-web-services, alexa, json",,University of Cincinnati,1,801-9,University Of Cincinnati,AWS,Amazon Echo
Smart Relief ,https://revuc-vii.devpost.com/submissions/89896-smart-relief,Submitted (Pending),Pending,,03/04/2018 12:28:47,"Inspiration

Interest in using blockchain technology to make a difference.

What it does

Helps maintain transparency for charitable organizations when distributing funds. 

How we built it

We wrote an example of a smart contract to facilitate donations and make donations transparent between organizations and people in need. We wrote the smart contract in solidity and made a simulation using javascript and jquery. We used html and css to create a web page to showcase our ideas. 

Challenges we ran into

Learning and understanding the ideas and technology behind blockchain, and how it could be used to solve this specific problem. 

Accomplishments that we're proud of

We are proud to create a project that holds charities accountable, and that maximizes the percentage of donations to people in need. 

What we learned

We learned more about blockchain technology, and its impact on technology outside of cryptocurrency. We also learned how to create a smart contract using solidity, and simulate it using javascript and jquery. Finally, we learned how to use html and css to make a website which displays our ideas and technology. 

What's next for Smart Relief

Our next step for Smart Relief is to connect our local smart contracts to the Ethereum network. 
","",,JP Morgan Chase & Co. - Best Hack for Social Good,"solidity, javascript, html, css, jquery",,University of Michigan - Ann Arbor,3,801-8,University of Michigan,"",""
autoLift,https://revuc-vii.devpost.com/submissions/89910-autolift,Submitted (Gallery/Visible),Pending,,03/04/2018 12:40:14,"Inspiration

Our team is composed of three student-athletes. Two of us are Olympic weightlifters  and former national champions who compete in Team USA sanctioned events, and the other is a D1 athlete at the University of Minnesota -- Twin Cities. Therefore, we spend a great deal of time planning/recording our workouts by writing in a journal. After a brainstorm session and a desire to use hardware, we thought it would be cool of there was an app that could automatically record our lifts. This gave rise to our app idea: autoLift.

What it does

The user wears a Myo armband which connects to a phone via Bluetooth. By clenching a fist or grabbing a barbell / dumbbell, one would initialize the rep counting mode. Once the grip is released, the app returns the number of reps completed in the set.

How we built it

We used an Myo armband to send acceleration, orientation, and gyroscope data to our Java program. We wrote a physics-guided program to classify each rep.

Challenges we ran into

We spent most of our time with the rep counting methods and understanding how the Myo armband works. The â€œonAccellerometerDataâ€ function did not output the data we anticipated, so we rushed to understand the other gyroscope and orientation data to see what it is that we exactly need for our algorithm.

Furthermore, we received a lot of false positives from the onPose method from the Myo SDK. This made it tough to record when a set begins and ends.

Accomplishments that we're proud of

Learning was a big part of our goal. This was the first hackathon for 2/3 of our team, and we all encountered new concepts/skills which made for a great learning experience.

But most of all, we're proud of overcoming our challenge of classifying data from our Myo armband while making everyone on our team a key contributor to our project, regardless of how much CS experience. One of us is a physics major who came up with an algorithm to use acceleration to classify a rep and communicated his idea with pseudo code. Another one of us with experience in IT was a significant contributor to troubleshooting efforts when connecting the Myo armband and app. And our last member who wrote the most code was the only one who had experience in Android studio which became our medium for developing our app.

What we learned

We learned how to create an Android application using Android Studio and incorporate hardware into code. Our team is composed of three students with diverse academic backgrounds, one student being a non-CS major or minor. We all learned things both from each other and from fast-paced Googling.

What's next for autoLift

We have a whole UI sketched and planned out on paper but are still in the works of completing it. The end goal for our app's ""workout mode"" is to classify and record the movement type, weight, and reps of each set using data sent from the Myo armband. Each set would be outputted to a text file in a row, much like how one would write in their workout journal. Ideally, we'd like to use machine learning to classify each lifting movement without the user doing anything other than perform the movement (we're currently setting the movement explicitly). Each set will be saved as a row of text in a workout log that can be viewed during and after the workout.
",https://github.com/NathanOelke/RevolutionUC-2018,,TCS - Best Hardware Hack,"java, myo, android-studio",,Bowdoin College,1,801-14,"Bowdoin College, University of Minnesota -- Twin Cities","",Myo Armband
Pryoritize,https://revuc-vii.devpost.com/submissions/89922-pryoritize,Submitted (Gallery/Visible),Pending,,03/04/2018 12:58:23,"Inspiration

We are bad at making decisions.

What it does

Makes the decisions for us.

How we built it

We made a website and a proof of concept phone app to how how the app functions and how it will be useful in day to day life. 

Challenges we ran into

We aren't very experienced with android or php. So the whole project was a challenge.

Accomplishments that we're proud of

The app doesn't crash.

What we learned

How to use php with MySQL

What's next for Pryoritize

Fully finalized app and a more robust online version. 
","",,"","php, css, html5, javascript, java, xml, android-studio",,Wright State University,3,801B-4,Wright State,"",""
Relational Image Map,https://revuc-vii.devpost.com/submissions/89932-relational-image-map,Submitted (Gallery/Visible),Pending,,03/04/2018 13:08:19,"Inspiration

I wanted to learn frontend development (although it quickly grew into a lesson in full-stack development) so I decided to create I started to learn Angular, but I learn best when I'm actually working towards a goal so this was one of the ideas that I came up with when working towards that goal.

What it does

Using a user search query and options, it plots images onto an OpenLayers map. As of right now, it uses spare mock data and doesn't even display the images on the map primarily because OpenLayers is annoying (more on that later).

How I built it

Angular5 in the frontend using OpenLayers to provide a map API. In theory, the user would then select search options and input a search query which is then be sent to a search service that processes the search through the Facebook and Twitter APIs to return links to images. Those links are then passed to another service that extracts the necessary EXIF data (latitude longitude, and timecode) from the image and sends stores that data along with a UID to the in a Firestore collection. The frontend is then notified with the image UIDs and which then fetches the images using the UIDs and plots them back onto the map.

Challenges I ran into

Interaction between frontend and backend services is a lot more complicated than I thought especially when they exist cross-domain. Also AppEngine takes quite literally (I timed it) about 10 minutes to deploy a new version of the Image Service each time I wanted to change it. OpenLayers is incredibly difficult to work with and it doesn't help that the documentation is incomplete, to put it nicely.

Accomplishments that I'm proud of

Getting the UI to look halfway decent but it still needs a lot of work as does the entire frontend.

What I learned

That I need to learn a lot more about the interaction between frontend and backend services. What I did learn about this interaction will help a lot in the future. Above all however, I learned API selection should be carefully thought out. As stated multiple times now, OpenLayers is overtly complicated. It's the D3 of map APIs.

What's next for Relational Image Map

I plan to see the project through to completion. I would like to refactor the frontend to use @ngrx/store so it's a bit easier to debug and implement lazy loading especially for the map module so it's not so awfully slow loading. Eventually the project might switch to Google Maps for the maps API as OpenLayers may be more trouble than its worth. It may also switch off Firebase and AppEngine onto a fully-managed Kubernetes cluster in GKE or ECS. I would like to eventually implement object recognition so that when the images are processed, they are also tagged with whatever is in the image for future reference.
",https://relational-image-map-dev.firebaseapp.com/,,Best Useless Hack,"angular.js, golang, python, firebase",,University of Cincinnati,0,801-11,University of Cincinnati,"",""
GunSafe,https://revuc-vii.devpost.com/submissions/89937-gunsafe,Submitted (Gallery/Visible),Pending,,03/04/2018 13:16:13,"Inspiration

In the wake of the tragic shootings in schools, concerts, and other venues in recent months, the GunSafe team felt moved to act. At the very least, our goal was to lay the groundwork for further development of a cost-effective approach to enhancing the detection of firearms in real-time so that further tragedies such as in Orlando and Las Vegas can be prevented before they occur.

What it does

It uses a system of wifi beacons (RFID or Bluetooth beacons in a real-world implementation) that would be placed around a safe zone that can detect when a certain device (""the chip"") enters the network's range. When this chip, which would be attached to a firearm in such a way that removal or tampering is impossible, this system sends an alert to the owners of the venue or location (think school principal, resource officer/security personnel). This alert not only notifies, but also provides real-time data about the incident. (Location of the firearm, the firearm's serial number, and the time and date.)

How we built it

We used a Raspberry Pi that hosts a JSON file on a server to act as a stand-in of the chip. The beacon then scans the network for any device whose hostname fits a pattern, and then sends an alert via. a JSON API to the central alert system and database. After that, the alert is displayed on the screen with the current real-time data.

Challenges we ran into

Integrating a complex API endpoint into the workflow of the app without time to write proper tests that fully cover functionality proves to be quite difficult.

Accomplishments that we're proud of

Getting the system working with the basic functionality that allows for the current team or any future contributors to quickly advance the development of this system.

What we learned

Integrating a JSON API and scanning a network for hostname.

What's next for GunSafe

The current structure of the application is only for a proof-of-concept of the web-based backend. In a future, real-world implementation, the wifi-based beacon will be replaced with some form of passive signal, most likely an RFID beacon that can trigger a chip that would be hypothetically required as part of future gun sales. In this future implementation however, the web-based backend could remain the same with only the detection mechanism needing to be modified.
","https://github.com/lawhorkl/gunsafe_main, https://github.com/lawhorkl/gunsafe_beacon",,JP Morgan Chase & Co. - Best Hack for Social Good,"ruby, ruby-on-rails, html5, css3, api, json",,University of Cincinnati,0,801A-5,University of Cincinnati,"",""
Budget for a Cause,https://revuc-vii.devpost.com/submissions/89939-budget-for-a-cause,Submitted (Gallery/Visible),Pending,,03/04/2018 13:24:36,"Inspiration

We believe that a majority of people want to do good in the world. At the same time a lot of people believe that they cannot afford to give anything. This is why we created Budget For a Cause, the application that allows you to take control of your finances so you can give more effectively.

What it does

Budget For a Cause is a budgeting application that gives you the power to give more effectively. You decide how much you want to give every month, and we give you the knowledge to do so. You can even set up automatic payments to your selection of charities. Every bit counts so we will take whatever you can afford and split it among all of your selected charities.

How we built it

We use Node.js to host a server-rendered web-application using Pug and Sass. We also use AWS to host an instance of a MySQL database for transactions.

Challenges we ran into

We attempted to use the Plaid API which allows developers to scrape bank transactions and categorize your spending. We also planned to simulate a transaction in real-time using the Vantiv e-Commerce API. We got the API working outside of the project but ran out of time to actually implement the scenario in the web page.

Accomplishments that we're proud of

We believe that Budget For a Cause could be a lot more than just a hackathon project, we hope to take this idea farther and make a huge impact on society.

What we learned

We never had any experience with server-side rendering with Node.js so we learned Pug. It was a bit weird to use at first but it made templating really easy once we really got into it. Although we didnt implement it, we learned to use the Plaid API which is really detailed in scraping transactions.

What's next for Budget for a Cause

We plan to implement the Plaid API fully to scrape transactions to be really accurate. We plan to implement a payment processing system using Vantiv or Stripe. Lastly we hope to focus on growing this idea much further.
",http://www.budgetforacause.com,,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution","javascript, amazon-web-services, python, plaid",,University of Cincinnati,3,801-5,University of Cincinnati,"",""
Never Expire,https://revuc-vii.devpost.com/submissions/89940-never-expire,Submitted (Gallery/Visible),Pending,,03/04/2018 13:26:50,"Inspiration

What it does

It reduces food wastage by being notified by when things are expiring.

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for Never Expire
",https://github.com/emignj/uchackathon2018,,"","javascript, html5, css3",,University of Cincinnati,0,801-15,University of Cincinnati,"",""
