Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Is Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab
Les Catacombes de Paris,https://revuc-viii.devpost.com/submissions/114825-les-catacombes-de-paris,Submitted (Gallery/Visible),Pending,,03/03/2019 11:44:42,"Inspiration

Inspired by a nightmare fever dream about haunting the Parisian underground, the madness of a torturous dream combined with the rush of a time limit culminate in a twisted tale. Play through the adventures of the wraith and a demon, as they feast upon the bodies and souls of human intruders. Will you succumb to the scourge of crusaders and tourists, or will you reign supreme in the Catacombs of Paris?

What it does

This game features the movement of two separate characters who must work together to defend against intruders. The demon, Terreur, who can feast on the flesh of humans, unless they are armed against unholy beings. The wraith, Peur, can unleash a pulse of wicked energy that will send even the boldest crusaders cowering defenselessly. Once scared, the crusaders are easily devoured, leaving a soul behind for Peur to consume.

How I built it

This game was built in Unity3d, albeit in a two-dimensional setting. All character pieces are locked onto a grid, where they are permitted to move one space per action. The characters have their individual collision boxes that let the determined interactions take place. All scores and kill counts are sent to a central processing object, which computes Win/Loss conditions, as well as score and game progress. 

Challenges I ran into

Collision avoidance for enemies was tricky, trying to think about it in terms of ""proximity rectangles,"" or bounds that exist relative to an objects location, that check for a target in its parameters. The discrete square-by-square movement was also tricky, this was resolved by giving the physics bodies a directional velocity for a time, after which the object would snap to its supposed final location. The velocity of the object is calculated such that it moves right into its final destination.

Accomplishments that I'm proud of

This whole game was a solo project, meaning I had to work tirelessly to start and complete the game within the 24 hour time limit. Not only did I have to do all the code and environment construction, all the character designs and spritework, as well as game design fell on my shoulders. It was a lot of work to get an aesthetic and functional object, but it was a thoroughly satisfying experience, as well as a great product to show to colleagues and family.

What I learned

Programming an enemy AI that responds to the player's input and positioning is the biggest learning curve I encountered in my project, since not only did I have to get an appropriate response, the response had to be reformatted to fit the movement rules of the game. 

What's next for Les Catacombes de Paris

I hope to polish up this game in the future, to smoke out a few bugs, as well as adding a few new features and levels, and maybe even an involved storyline. This game has great potential and can definitely be improved with more time and sanity.

Game Rules

The Wraith(Tall Skeletal One) is controlled with WASD. the Demon(Short Toothy One) is controlled with arrow keys. Movement occurs when the buttons are pushed. The Demon can  eat tourists (humans in yellow and orange), but will fall if touched by sane Crusader (red and white humans with the hats.)  Defeat all the human invaders to win. The Wraith can unleash a cross shaped blast that can cause humans to be frightened. (They will emit purple spheres when scared.) When crusaders are frightened, they can be eaten by the Demon. Although the Wraith will fall if touched by any humans, killed humans will drop a soul when killed. These souls are worth a lot of points, but will only persist for a bit before losing power and vanishing. If one character falls, they can be revived by the other. However, if both characters fall, it's game over! 
",https://drive.google.com/open?id=1TitxQApgKlNlMIRWWcCWdn4QsfEkbpC8,,"Best Design, Best Useless Hack","unity, artrage-lite, inkscape, c#",,University of Cincinnati,0,801-3,University of Cincinnati,"",""
Store Savr,https://revuc-viii.devpost.com/submissions/114828-store-savr,Submitted (Gallery/Visible),Pending,,03/03/2019 11:45:57,"Inspiration

When looking at current solutions like ClickList and others that allow you to buy groceries online and have them brought to your car, we noticed a hole in the market. A large amount of people want the convenience of ordering before they go, but don't want to pay extra or wait around for the employees to bring the product to their car.

What it does

This app allows people to order their products online before they head to the store, then they can go to the store and pick them up themselves. Before leaving the employee would only have to check and make sure that the consumer has only the items they ordered. This saves tons of time for the consumer, while also saving the employer money. This in turn allows the consumers to have a lower overall cost.

How we built it

We built this app by starting with the backend service. We created an API that runs on an Express server and communicates with data stored in Postgresql. We containerized this application so that it can be run easily on any server. The server communicates through a REST api.

The website, or the admin page, is built in React and can be accessed through https://storesavr.com (username: dominic password: pa$$word), you will also have to accept the self-signed certificate. This page is made to edit the stores and their respective layouts. The layout editor has 3 different types of items you can click on and add to the editor. A long shelf, short shelf, and an end-cap. These can be dragged out and rotated after they are added. The entire editor can be panned as well.

The app that we built to demonstrate what the consumer would experience is built in react native. This gave us the flexibility to compile to both iOS and Android, along with having similar code to the admin web portal.

Challenges we ran into

One of the biggest challenges we ran into was running our continuous integration pipeline. We had it set such that if any one member creates a push to the repository, the server would automatically build this application. One of the largest challenges we had was that during the continuous building, we had an issue with one of the libraries we were using. It was our password hashing library and we could not avoid it. It turned out that we needed to install the C++ make files on our docker container to allow it to compile. This took way longer than we expected, but we learned a lot in the process.

Accomplishments that we're proud of

The biggest accomplishment of our application is the draggable editor that we used for the store layout. This took a while for us to perfect, and we are happy with how it came out. It allows users to move their store components into any location and rotation they want, along with choosing which items are in each component.

What we learned

We learned how to work together on one single GitHub repository. This was rocky at the start, but we quickly learned to split the work by files or concerns so that none of our changes conflicted with each other's. 

What's next for Store Savr

A few of the features we want to implement is to add more layout options, along with a fully feature-complete ordering experience. Finding a team member who has a design background would greatly help the app's overall look and feel, as developers can only go so far. We are excited to see the potential this app could bring to the market.
","https://storesavr.com, https://github.com/BlenderDude/store-savr-api, https://github.com/BlenderDude/store-savr-webapp",," Best Domain Registered with Domain.com (MLH), Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51)","kubernetes, docker, node.js, react, react-native, redux, javascript, express.js, domain.com, postgresql, rancher",,Ohio University - Main Campus,2,801M-5,Ohio University,"",Domain.com
PolyglottÃ©,https://revuc-viii.devpost.com/submissions/114834-polyglotte,Submitted (Gallery/Visible),Pending,,03/03/2019 11:46:46,"Inspiration

Last year, our parents visited us from China during the summer break.
Do you dream of your son flipping between 4 different languages as you sip Latte overlooking an Italian sunset or dream of visiting Paris with a daughter who can negotiate like a local?

If thatâ€™s what your into, you should start encouraging them to start learning a foreign language. However, the kids learned in school is on book. 

The human brain is a wonderful thing. From the moment we are born, we learn by six main ways, by


 Sight
 Taste
 Smell
 Sound
 Touch
 Doing.


We have built a web based tool that can help people learn a language by connecting these ways. Imaging you hold a cup of hot coffee which smells really good, and now the computer tells you how to speak and display ""coffee"" in five different languages. You will learn this word very quick efficient.

What it does

The Polylatte web tool opens the camera on your laptop to obtain a image. Based on your choice, either to detect the object or text in the image, it translate the word into five different languages.

How we built it


 We use HTML and Javascript to build a scene inside the webpage and stream from real time webcam
 Ajax
 OpenCV


-  Machine learning

Challenges we ran into


 Communication between the image captured by webcam, backend computation, and display


Accomplishments that we're proud of


 This is a very useful tool that we built for kids to encourage them to learn more languages, which can opens another world for them
 This tool is also very helpful for people who is traveling around the world, without input the words by hands, a simple realtime camera can be your guide


What we learned


 Team work 
 Creative thinking
 There is more can be done to help the community


What's next for Polylatte


 Account 
 IOS app

",https://github.com/siqi-chen/translator,https://youtu.be/bkpgarincVw,"Best Use of Snapkit (MLH),  Best IoT Hack using a Qualcomm Device (MLH), Best Use of Google Cloud Platform (MLH),  Best Domain Registered with Domain.com (MLH), Best Design, Best Hardware Hack, Best Useless Hack, Best Undergrad Hack (Undergrad Research), Best Use of Azure (Microsoft), Make the Customer's Life Easier (84.51), Best Aviation Hack (GE Aviation), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co), Best Use of Twilio, Most Innovative Hack(TCS)","python, opencv, css, machine-learning, ajax, html5, javascript, flask",,"",1,801C-3,"University of Cincinnati, University of Dayton","",""
Automation Logging,https://revuc-viii.devpost.com/submissions/114848-automation-logging,Submitted (Gallery/Visible),Pending,,03/03/2019 11:52:33,"Inspiration

We have research about the most traditionally ineffective practices around Enterprises/Tech Companies. Traditionally, there is a sort of culture to have script inside code to automate the process of deploying the application onto the web server  using .drone.yml usually which is very ineffective because in this process, businesses have to buy a lot of servers to host their applications. We noticed this problem and brainstormed on this and come up with technologies to work with. For second part of the project 'logging system', we talked to people about server logs in UC. They are paying huge amount of to get logs for their systems so we wanted to find a better solutions, which is free and effective in collecting relative data. 

What it does

It improves the automation process by putting applications into docker container by making image of those applications. Then store that image onto google-cloud-platform and use it to tell Kubernetes which application to deploy on one main Kubernetes sites. In this way, web application can be host onto one Kubernetes sever and it will look something like this 'Kubernetes:service1', 'Kubernetes:service2'. Then the next part is our logging system by having setup a APM server to make connection between logging system and web applications. In this way multiple web applications can communicate to logging system and send hosting system and service logs. 

How we built it

We started with created sample javascript application from where we can track multiple logs and traces. Then we made script inside app.js to connect the application to Kibana logging system. We tested it throughout the process locally. Once we see that logging system is connected to app then we created dashboards and visualizations to get relevant data. Then we started working on deployment process. First we created a script to make image inside Dockerfile then we build image out of it which we then stored it into Google cloud platform. We were making changes to our applications to and making sure that was it updating the image or not. This is where versioning control part plays out. Then we created Kubernetes on command line where we would be hosting our applications. We ran through a lot of steps to set up. Then we created new app for our application along 3 pods and deployed our application onto it. Then we keep making changes to our application and it keeps updating the application.

Challenges we ran into


It was so difficult to figure out how to connect Mongodb database to application because we are using login page for the applications. 
Figuring out how to get virtual box on Mac for Kubernetes to work on. 
Minikube was going down so we had to figure out that as well to how to keep it running.
To setup everything inside multiple docker container so if one thing goes down, other will be up
To configure the logging system to get relevant data which would actually be meaningful to developers and system admin person and also clients
Use of bootstrap in our application gave us a hard time.


Accomplishments that we're proud of


We accomplished the way to host multiple services onto one server using automation docker deployment process
get the logging which traces 


What we learned


create automated logging system from scratch
Working around Docker and google cloud platforms 
Learned how to store docker images into google cloud platform and using it globally for deployment


What's next for Automation Logging


Enterprise companies can implement this automation deployment process and the logging system into their development and staging environment. 
To help business to monitor their systems and microservices 

",https://github.uc.edu/sukhbirsekhon/automatedLog.git,,"Best Use of Google Cloud Platform (MLH), Best Undergrad Hack (Undergrad Research), Best Demonstration of the Use of Data to enable Better Customer Experiences","docker, node.js, kubernetes, elk, css, html5, mongodb, bootstrap, minikube, kubectl, github, visual-studio, google-cloud",,University of Cincinnati,2,801G-3,University of Cincinnati,"",Google Cloud Platform
VR Planetarium,https://revuc-viii.devpost.com/submissions/114856-vr-planetarium,Submitted (Gallery/Visible),Pending,,03/03/2019 11:55:05,"Inspiration

3 of our 4 group members had never used Oculus Rift or any VR headset before, so we were very interested in exploring virtual reality with the cool hardware provided. We bounced a couple ideas off of each other while we brainstormed and settled on creating an educational VR application to teach users more about the scale and mechanisms of our solar system.

What it does

VR Planetarium puts the user onboard a ship similar to Cosmos's Ship of The Imagination, in which physical laws such as the speed of light are transcended for the sake of intellectual exploration.

How we built it

Our tech stack was composed of Unity3D, .NET, C#, and Oculus Rift's API. We also used both Git and a Git-like collaborative tool that is built into Unity3D simply called ""collab"". We were all new to C# and had no experience with Unity3D, which made it very rewarding to end with a final product.

Challenges we ran into

We had some difficulties in finding a good workflow for debugging, as we came across many old tutorials or forms of documentation. To make matters worse, some iterations that worked fine in the local debugger didn't function in any way in the final Oculus Rift application. Our workflow naturally became more efficient but it was still difficult to guarantee that certain features would port to the final VR application before actually building and testing it.

Accomplishments that we're proud of

We're proud of building a functioning application as a result of rapidly learning how to work with design in Unity3D, as well as appending code to objects with C#. We were also able to simultaneously learn more about the solar system by researching the relative sizes and orbital radii. We were also able to accept input from a controller to navigate the camera around the VR Planetarium around 3 axes.

What we learned

Besides working with a tech stack that was entirely new to us, our team learned how to do software development as a group and established a good workflow by the end of the Hackathon. We also learned how much red bull our bodies could handle (>400mg of caffeine).

What's next for VR Planetarium

One recommendation that we've received from many people so far is improving the flow of the controls. Our current version simply allows the user to move along each of the three axes at right angles, without allowing for rotation of the spaceship. This would be the number one thing we would improve. We would also like to add information about each planet that could appear to the user as they approach the planet.
",https://github.com/noahtren/unity_build,,"Best Design, Best Aviation Hack (GE Aviation), Best Hack for Social Good (JP Morgan Chase & Co)","c#, unity, oculus, git",,University of Cincinnati,2,801-7,1,Oculus Rift,""
USELESS,https://revuc-viii.devpost.com/submissions/114859-useless,Submitted (Gallery/Visible),Pending,,03/03/2019 11:55:56,"Inspiration

While I was being useless to the team I was inspired to make this project

What it does

Gives you useless post with useless notice

How I built it

using html

Challenges I ran into

I was so tired and useless

Accomplishments that I'm proud of

I got his useless project done

What I learned

Useless can be funny

What's next for USELESS

more useless project in upcoming hackathon
","",,Best Useless Hack,html,,Northern Kentucky University,0,801B-4,Northern Kentucky University,"",""
soldAR,https://revuc-viii.devpost.com/submissions/114870-soldar,Submitted (Gallery/Visible),Pending,,03/03/2019 12:00:31,"Inspiration

Cam had the opportunity to try out Virtual Reality welding at the Detroit Maker fair. As cool as he though this was, he wanted to see an augmented reality implementation of something similar. We were lucky enough to borrow a Magic Leap, a new AR headset, and wanted to try to make something cool with it!

What it does

soldAR offers two different modes. The first mode is monitoring of a live soldering session that shows you information about your current soldering job such as your current temperature in comparison to your target temperature, and the time that you've spent on the current piece that you're soldering. Our second mode is a tutorial about soldering, including videos of Cam walking the user through each step of the soldering process in AR. 

How we built it

We used an open source soldering iron that could provide a live temperature reading, power reading, and accelerometer data, and streamed the live data to an Adafruit Trinket M0. We wrote Arduino code to stream the live data via serial connection to a PC running Golang code. From here, an HTTP request posts the data to the Magic Leap headset, where C# code interprets the data and shows it to you. 

Challenges we ran into


Magic leap had very limited documentation
TCP connections weren't allowed so we had to buy our own router to open ports
Soldering iron had different hardware than what we expected
Tapping into the I2C line on the Soldering iron was difficult


Accomplishments that we're proud of


Successfully hacked on to the I2C bus line, directly to the processor
Created custom unity components for the first time
Created a soldering tutorial and displayed the video in AR


What we learned


First time using MagicLeap, so we learned the basics of that
First time having to deal with limited space on a microcontroller (4kb of free space!)
Covering the entire stack from very low level code to very high level code was a larger task than anticipated


What's next for soldAR

Video from the demo will be used on New Territory's social media (@NewTerritoryAR on Twitter!!)
","",,"Best Design, Best Hardware Hack, Make the Customer's Life Easier (84.51), Most Innovative Hack(TCS)","unity, c#, c++, golang, arduino",,"University of Akron, Ohio State University",3,801-14,"The University of Akron, The Ohio State University","",""
shttr,https://revuc-viii.devpost.com/submissions/114871-shttr,Submitted (Gallery/Visible),Pending,,03/03/2019 12:00:32,"Shttr

Shttr is a webapp that allows users to view and critique nearby restrooms. It is the Yelp equivalent for only bathrooms.

Inspiration

Hello! My name is Clair and I was inspired to create this application because of my personal experiences as a transwoman and the experiences of other members of the trans community. Finding the best, safest place to relieve yourself is something everyone has a right to.

Both Braxton and Jash contributed their own gusto to the team and were essential in providing more ideas and feedback.

What It Does

Primarily, shttr acts as a basic social rating system for bathrooms, as well as recording information such as type (all gender, family, men's, women's), presence of changing rooms, and times open/closed.

How We Built It

Shttr was built by separately building a JSON-based backend and connecting it via Flask to a frontend MVC utilizing a combination of Angular and Leaflet.

Challenges

The three of us have very different coding backgrounds and experiences which led to a lot of learning!

I had personally never used Flask or Leaflet before and integrating those into a cohesive backend/frontend relationship was quite the task! Both Braxton and Jash came into the project as first-year computer science students and learned Python, JSON parsing, database functionalities, and much, much more in an incredibly short amount of time.

Accomplishments

The aesthetic! I think the frontend looks pretty polished for such a short development time and add/modify/delete functions were completed too! We made great strides with login/logout functionality as well.

Learning

As mentioned above, different backgrounds required different types of learning! In general, quite a bit was new for everyone involved (Braxton and Jash came in and learned everything, which was amazing to watch).

Getting started

Prerequisites


Python 3
Flask
Javascript-enabled browser


Configuration

Run python server.py (contained within the app folder). Next, open index.html in any major browser (primary testing done with Google Chrome).

Usage

The first page loaded will ask for the user's location, required to show services closest to you! From there, bathrooms may be added by navigating andf clicking around the map.

Information about bathrooms can be seen when clicking on the toilet icon. Editing/deleting functions are available toward the buttom of the info drawer.

Help and about features are available in the top navigation bar. Finally, basic user functionality (registering/logging in/logging out) is available in version 0.1a.

Happy shitting!

Primary Components


AngularJS - Model View Control system
JQuery - Simple animations
Flask - Connect the server to the client
Python - Back-end development
Leaflet - Front-end map data


What's Next

New developments could include users' favorite lists of bathrooms, comments, user interaction, microbiome-connection, and much, much more! We're excited to see what the future holds for this little guy.

Contributing


Clair Kronk
Braxton Laster
Jash Gada


History


2 March 2019: First push.
3 March 2019: Push for project presentation, alpha version 0.1.


Acknowledgements

We would just like to thank the volunteers at RevolutionUC 2019 for providing the rations we needed to develop this web-app.  They provided us food, shelter, advice, and a stable wifi connection that allowed us to reach the point we're at.

License

Copyright (c) 2019-2020 Clair Kronk, Braxton Laster, and Jash Gada. All rights reserved.
",https://github.com/Superraptor/shttr,,"Best Design, Best Useless Hack, Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co)","javascript, css, html, python",,"University of Indianapolis, University of Cincinnati",2,801B-3,"University of Indianapolis, University of Cincinnati","",""
Ninja Cat Adventure,https://revuc-viii.devpost.com/submissions/114875-ninja-cat-adventure,Submitted (Gallery/Visible),Pending,,03/03/2019 12:02:49,"Inspiration

We came to the RevolutionUC Hackathon with the intention of building a game, and Ninja Cat Adventure is our magnum opus!

What it does

In Ninja Cat Adventure, you play as The Ninja Cat, on a quest to become a ninja Master! Your objective is to defeat the malicious ninja critters who stand in your path, and become the ultimate Ninja Cat!

How we built it

We use Unity for our coding environment, and collaborated using Github. Missy hand-made all of the games' art in Photoshop!

Challenges we ran into

The RevolutionUC hackathon is a (fun, yet) exhausting event. Most of the group members had to leave the hack space in order to sleep. 
Additionally, Nick and Dom have both never used Unity before, and so we spent a lot of time introducing them to the tool.

Accomplishments that we're proud of

We've created an interesting game which we can proud of! We plan on sharing our project after hacking ends, even though we may not fit into any specific categories.

What we learned

Dom and Nick learned a lot about Unity! I (Sam) learned more about using Inheritance with Unity, since this is my first attempt to use a complex class structure like this one. Missy got more experience with game art, which is a profession which she'd love to have in the future.

What's next for Ninja Cat Adventure

First the Hackathon. Within several months, we'll have Ninja Cat Adventure in the hands of top-rated Youtubers who will promote the game. Before long, Ninja Cat Adventure will be the Top E-Sports Title in the World!
",https://github.com/swiimii/ninja-cat-jam,,"Best Design, Best Useless Hack, Best Undergrad Hack (Undergrad Research), Most Innovative Hack(TCS)","unity, c#, photoshop",,"",0,860D-2,University of Cincinnati,"",""
Sight Necklace,https://revuc-viii.devpost.com/submissions/114877-sight-necklace,Submitted (Gallery/Visible),Pending,,03/03/2019 12:04:40,"Inspiration

There is nothing on the market of sight assistance that is relatively accessible and affordable, so we decided to create the Sight Necklace.

What it does

The Sight Necklace utilizes several ultrasonic sensors to detect nearby objects and record their distance from the user. The sensors then inform the user via different sounds that relay direction and relative proximity.

How we built it

We took a raspberry pi b+ and attached a portable battery, ultrasonic sensors via gpio cables, and a breadboard. the code was all programmed within Raspbian terminal using the python language.

Challenges we ran into

Particular coding issue such as interaction between the terminal and python and calculating distance using only the speed of sound. organization of wires and measurements of voltages and resistances were also sources of challenges.

Accomplishments that we're proud of

We finished what we originally planned to accomplish.

What we learned

We learned how to use a raspberry pi. We learned to use python (something neither of us have used before) and the Raspbian terminal. We also learned basic physics concepts such as electrical conversions and sound waves
. 

What's next for Sight Necklace

We hope to elaborate on it with a larger number of sensors for a more accurate and wider range of measurement. As well as extra sensors to determine user position, user speed, surrounding speed, and distinguishing between living and non living things.
","",,"Best Hardware Hack, Best High School Hack, Best Hack for Social Good (JP Morgan Chase & Co)","python, raspberry-pi, ultrasonic-sensors",,"",1,860D-5,St. Xavier High School,"",""
Fun 2 Fin,https://revuc-viii.devpost.com/submissions/114878-fun-2-fin,Submitted (Gallery/Visible),Pending,,03/03/2019 12:06:43,"Inspiration: A conversation with a friend of ours on a ride to Dayton.

Chat with us to know the complete story behind our inspiration...

What it does: It provides a fun way to learn and motivate yourself to be aware of your financials.

How we built it: We started from scratch from designing the modules to hosting on Amazon-EC2 services.

Challenges we ran into: We are beginners in Web Development and first-time users of Cloud platform. Hence, many animations we imagined gave us really hard time during building and implementation

Accomplishments that we're proud of: Honestly everything that we built, but mainly the use case that we came up that made sense and was feasible to complete with a quick learning curve.

What we learned: Coding (Java-Script, Flask,HTML5), How fun it is to Build something from scratch, We have learnt that we need to brush up our financial knowledge as well!

What's next for FQ: Building more games that focus on particular aspects like loans, mortgages etc.
",http://ec2-18-217-78-48.us-east-2.compute.amazonaws.com/home,,"","flask, python, javascript, html5, amazon-ec2, css",,University of Cincinnati,3,801A-1,University of Cincinnati,"",""
Campfire,https://revuc-viii.devpost.com/submissions/114881-campfire,Submitted (Gallery/Visible),Pending,,03/03/2019 12:08:36,"Inspiration

We have a group member with experience in network security, and some that like Python.
(Name credit goes to the guy from 84.51)

What it does

Campfire uses Suricata to constantly listen on the network for malicious traffic. If any of the traffic matches Suricata's traffic signatures, it makes note of it by writing the incident to a log file. Any time a change is written to the log file (a new incident is recorded) our python script communicates with the Twilio API and send us a text notification detailing the incident.

How we built it

We flashed a Raspbian image to an SD card to use in the Raspberry Pi. From there we installed and setup SSH network configurations of the Pi, then wrote the python script. Then, we used a Linux program to make the OS recognize our python script as a service, then set up the Raspberry Pi to start up both Suricata and our new Twilio SMS notification service when the Pi boots.

Challenges we ran into

We tried using a brand new Raspberry Pi 3B+ for the faster ethernet speeds and built in wi-fi, but there was an issue with the SD card reader of the Pi so we used a Raspberry Pi 2 with a USB wi-fi dongle.
We were having issues for a while running the python script on startup. It wasn't until we created a new service for the python script that we got it working on startup.

Accomplishments that we're proud of

Getting the whole thing to work feels pretty rewarding,  especially since we came in with no knowledge of what Twilio even was. Through the project, everyone was able to learn new, valuable, transferable skills.

What we learned

Members of our group learned about intrusion detection software and a base level of networking and network security. Members also learned about python, Twilio, and how to integrate the two to work together.

What's next for Campfire

Next is configuring a firewall to work on the Raspberry Pi as well, to make it a sort of all in one security device.
","",,"Best Hardware Hack, Best Undergrad Hack (Undergrad Research), Best Use of Twilio","raspberry-pi, raspbian, suricata, twilio, python",,"University of Cincinnati, Miami University",3,860D-2,"University of Cincinnati, Miami University","",""
Parental Display,https://revuc-viii.devpost.com/submissions/114883-parental-display,Submitted (Gallery/Visible),Pending,,03/03/2019 12:10:46,"Inspiration

We wanted to use the Dragonboard 410c to create an IoT device for a single parent household.  Single parents who are living on one income have a hard time keeping in touch with kids.  On a single income, it gets hard to pay for 2 phone bills. ""Parental Display"" offers a solution.

What it does

""Parental Display"" would be placed in a home on a kitchen counter or somewhere that the kids can see when they come home from school.  The parent will download ""Parental Display"" app from the store and connect to the Display.  Once connected, the parent can send a message to the display from anywhere.  For example, if the parent is working late and the kids come home before them, the parent can send a message like ""I will be home later.  Please clean your room before I get home.""  Once the kids come home, they can see the display.

How I built it

We used Android Studio to create an app for the mobile device.  This device is connected to an Amazon Web Service (AWS) IoT Core.  The Android device publishes the message to the IoT Core while the Dragonboard is subscribed to AWS.  Once the message is published, the Dragonboard displays the message on the screen.

Challenges I ran into

We ran into problems with the connection of AWS on both ends.  Pub/Sub is an unfamiliar concept to us, so this project brought this concept to a real-life application.  We also had problems with the user interface on the Android end.

Accomplishments that I'm proud of

We are proud of this IoT project because we were able to connect multiple devices from different programming languages to communicate together. 

What I learned

We learned how to use AWS IoT Core to connect devices to an MQTT server and write python scripts to subscribe to that server. 

What's next for Parental Display

We hope to create a better user-friendly UI on the Dragonboard side.
","",," Best IoT Hack using a Qualcomm Device (MLH), Best Design, Best Hardware Hack, Best Hack for Social Good (JP Morgan Chase & Co)","amazon-web-services, dragonboard, iot, android, android-studio, linux, python",,Lawrence Technological University,3,860D-4,Lawrence Technological University,"",""
CookWithKroger,https://revuc-viii.devpost.com/submissions/114884-cookwithkroger,Submitted (Gallery/Visible),Pending,,03/03/2019 12:12:32,"Inspiration

The inspiration behind cook with Kroger was to try to make an interactive and dynamic webpage that can help simplify the shopping experience for any Kroger customer. 

What it does

CookWithKroger was made with convenience in mind. Customers will be able to search recipes within their budget from CookWithKroger.com while filtering recipes by price, category, and time to cook, and even number or servings, scaling the recipe to fit your needs. Once a recipe is selected, CookWithKroger will list all the ingredients needed ready to be added to the cart with one click. It will also provide resources to help with the preparation, including step by step instructions and even videos.

How we built it

We created the database using PostgreSQL, modeled after 84.51's data provided. The back-end was written in java and front-end was HTML, CSS, and Bootstrap.

Challenges we ran into

We struggled with CSS formatting and database design.

Accomplishments that we're proud of

We are proud of the product we were able to pump out in our first hackathon with only 7 weeks of coding knowledge. Our idea was ambitious given our skills, but we were able to complete everything we set out to do and present a workable MVP.

What we learned

We learned how to integrate a full-stack application from database to user. None of us had much experience using CSS, HTML or bootstrap.

What's next for CookWithKroger

In the future, we believe that CookWithKroger can effectively cut google out as the middle man between meal planning and shopping. This could be used online through ClickList or even in store; using the Kroger mobile application and showing aisle locations of the products needed. We will also be able to offer the ability to filter out any allergies or dietary restrictions. Using CookWithKroger regularly will allow the application to make smarter suggestions, based on your grocery buying pattern and what ingredients it believes you already have at home. Connecting your calendar app will also allow you to schedule selected recipes to your upcoming week, making life simpler and eliminating the daily ""What's for dinner?"" from the rest of the family.
",https://github.com/kuttley/revolution2019,," Best Domain Registered with Domain.com (MLH), Best Design, Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences","css, postgresql, java, html, bootstrap",,"",3,801E-1,Tech Elevator,"",""
Emoji Feel,https://revuc-viii.devpost.com/submissions/114892-emoji-feel,Submitted (Gallery/Visible),Pending,,03/03/2019 12:18:22,"Inspiration

Saw in a documentary about how a person got detained at the US airport because of a joke tweet that got screened by the system as an actual threat to the US. The man had implied he is going to party hard which would ""wreck america"" followed by a series of wink emojis. If AI systems could recognize what kind of emojis are being used, it could save the authorities from wrongfully detaining someone and would allow people to use more sarcastic language without fear.

What it does

It takes as an input an image of an emoji and then classifies into 3 groups: positive, negative, neutral. 

How I built it

We found a youtube video of someone explaining computer vision, who had a link to his github. We cloned his repositories and made some changes to the data sets and weights on the training models to output, with reasonable accuracy, what emotion is the emoji trying to convey.

Challenges I ran into

As beginners, our biggest challenge was actually setting everything up. Since, none of us had any experience with tensorflow or keras, and the fact that the repository was written a year ago, we ran into some compatibility issues which we had to figure out and change accordingly.
Also, finding out the weights so that our model is the right combination of quick and accurate was a bit challenging. 

Accomplishments that I'm proud of

Finishing the project!! And training a model to accurately identify emotions was nice.

What I learned

We learned a great deal about tensorflow and keras. We also learned about various python IDEs and pip and how to work in a team using git. 

What's next for Emoji Feel

The model can further be expanded to recognize what emotions are displayed by human faces, which could help make better care-taking robots for the elderly and young.
",https://github.com/krillian11/emojiFeel,,"Best Useless Hack, Best Demonstration of the Use of Data to enable Better Customer Experiences","keras, tensorflow, github, python",,"Wright State University, Illinois Institute of Technology",1,801-2,"Illinois Institute of Technology, Wright State University","",""
Ohio University League of Legends Website,https://revuc-viii.devpost.com/submissions/114908-ohio-university-league-of-legends-website,Submitted (Gallery/Visible),Pending,,03/03/2019 12:24:53,"oulolwebsite

Official website for the Ohio University League of Legends Club
Our goal is to facilitate an open and supportive community filled with those who love the game League of Legends where people can play with friends or meet new people who play. We host open, game-related activities such as tournaments, along with fun events that people who don't play the game could enjoy. 
We consistently hold events for our members that include:
-Host Scrimmages and Tournaments in a fun and competitive environment to encourage players to become better at League
-Provide opportunities for players to be matched with a higher skilled player to help them improve
-Host Viewing Parties for professional events such as NA LCS, Worlds, and more
-Provide students, both experts and novice alike, with a space to meet others who play and love League of Legends
","https://github.com/Micah-Tobon/oulolwebsite, https://www.ohioulol.com",,"Best Use of Snapkit (MLH), Best Use of Google Cloud Platform (MLH), Best Design, Most Innovative Hack(TCS)","html, css, javascript, jquery, snapchat, google-spreadsheets",,"",1,801M-5,Ohio University,"",Google Cloud Platform and Snap
